cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label
0,"['0.4253', '0.2806', '0.0525', '0.0016', '0.0016', '0.3619', '0.7847', '0.1121', '0.4461', '0.2173']","['0.3320', '0.4245', '0.1584', '0.1667', '0.0769', '0.2542', '0.2037', '0.2193', '0.2951', '0.3654']","['0.4253', '0.2806', '0.0525', '0.0016', '0.0016', '0.3619', '0.7847', '0.1121', '0.4461', '0.2173']","['0.3729', '0.3378', '0.0789', '0.0031', '0.0031', '0.2987', '0.3234', '0.1483', '0.3552', '0.2725']","['0.4253', '0.2806', '0.0525', '0.0016', '0.0016', '0.3619', '0.7847', '0.1121', '0.4461', '0.2173']","['0.9103', '0.9592', '0.9685', '0.9991', '0.9978', '0.8857', '0.6654', '0.9566', '0.8829', '0.9571']","[[242, 28, 10, 0, 0, 39, 40, 31, 152, 27], [36, 163, 21, 3, 1, 16, 108, 22, 149, 62], [92, 25, 32, 0, 3, 81, 304, 30, 27, 15], [45, 14, 28, 1, 3, 181, 302, 37, 20, 13], [32, 12, 27, 0, 1, 66, 427, 20, 31, 13], [38, 18, 28, 2, 1, 211, 245, 19, 15, 6], [21, 10, 7, 0, 0, 58, 463, 18, 5, 8], [30, 21, 31, 0, 4, 100, 276, 66, 33, 28], [150, 40, 9, 0, 0, 47, 19, 5, 265, 59], [43, 53, 9, 0, 0, 31, 89, 53, 201, 133]]",-1,-1
1,"['0.4675', '0.5387', '0.0542', '0.0839', '0.1002', '0.4871', '0.5254', '0.3548', '0.4007', '0.4199']","['0.3731', '0.3549', '0.2598', '0.2389', '0.3333', '0.3021', '0.3291', '0.3235', '0.3667', '0.3746']","['0.4675', '0.5387', '0.0542', '0.0839', '0.1002', '0.4871', '0.5254', '0.3548', '0.4007', '0.4199']","['0.4150', '0.4279', '0.0897', '0.1241', '0.1540', '0.3729', '0.4047', '0.3385', '0.3829', '0.3960']","['0.4675', '0.5387', '0.0542', '0.0839', '0.1002', '0.4871', '0.5254', '0.3548', '0.4007', '0.4199']","['0.9177', '0.8950', '0.9826', '0.9679', '0.9765', '0.8789', '0.8832', '0.9192', '0.9240', '0.9204']","[[266, 58, 5, 4, 2, 25, 11, 36, 116, 46], [17, 313, 2, 6, 0, 6, 28, 14, 82, 113], [93, 65, 33, 20, 49, 91, 144, 86, 11, 17], [34, 56, 12, 54, 16, 234, 101, 81, 16, 40], [45, 40, 28, 14, 63, 92, 227, 72, 14, 34], [27, 34, 7, 51, 10, 284, 60, 79, 11, 20], [17, 53, 17, 35, 17, 63, 310, 42, 4, 32], [23, 51, 19, 28, 32, 105, 45, 209, 20, 57], [159, 85, 3, 4, 0, 25, 3, 7, 238, 70], [32, 127, 1, 10, 0, 15, 13, 20, 137, 257]]","[0, 1, 1, 5, 2, 4, 4, 9, 3, 9, 0, 9, 2, 6, 6, 8, 5, 8, 7, 8, 4, 0, 0, 5, 7, 5, 6, 6, 8, 2, 8, 2]","[8, 8, 2, 3, 6, 2, 5, 6, 2, 5, 5, 4, 3, 3, 4, 9, 2, 9, 1, 2, 7, 0, 5, 5, 6, 3, 2, 4, 0, 8, 8, 0]"
2,"['0.4253', '0.5301', '0.0870', '0.0947', '0.1781', '0.5197', '0.6356', '0.4601', '0.3855', '0.4118']","['0.4523', '0.5000', '0.3029', '0.2798', '0.3191', '0.2637', '0.3267', '0.3589', '0.4473', '0.4658']","['0.4253', '0.5301', '0.0870', '0.0947', '0.1781', '0.5197', '0.6356', '0.4601', '0.3855', '0.4118']","['0.4384', '0.5146', '0.1352', '0.1415', '0.2286', '0.3499', '0.4315', '0.4033', '0.4141', '0.4371']","['0.4253', '0.5301', '0.0870', '0.0947', '0.1781', '0.5197', '0.6356', '0.4601', '0.3855', '0.4118']","['0.9461', '0.9432', '0.9774', '0.9707', '0.9555', '0.8438', '0.8571', '0.9106', '0.9477', '0.9464']","[[242, 50, 14, 5, 5, 47, 14, 54, 104, 34], [15, 308, 2, 12, 4, 16, 39, 34, 44, 107], [51, 30, 53, 17, 82, 134, 151, 73, 10, 8], [17, 9, 13, 61, 29, 281, 159, 50, 8, 17], [33, 14, 29, 14, 112, 96, 226, 81, 10, 14], [10, 6, 15, 42, 27, 303, 87, 73, 13, 7], [8, 6, 15, 33, 35, 73, 375, 33, 2, 10], [15, 15, 19, 17, 55, 112, 54, 271, 9, 22], [127, 67, 8, 3, 0, 46, 13, 31, 229, 70], [17, 111, 7, 14, 2, 41, 30, 55, 83, 252]]","[3, 3, 0, 2, 5, 2, 2, 8, 8, 5, 8, 8, 2, 7, 6, 8, 5, 9, 5, 5, 7, 2, 6, 7, 8, 3, 7, 4, 7, 8, 8, 5]","[2, 0, 6, 4, 2, 6, 5, 5, 5, 3, 6, 0, 4, 9, 2, 7, 0, 9, 4, 6, 0, 5, 3, 2, 5, 2, 5, 6, 7, 3, 1, 4]"
3,"['0.4165', '0.6076', '0.0985', '0.1848', '0.2909', '0.4134', '0.6288', '0.5246', '0.4108', '0.4428']","['0.4405', '0.4682', '0.3175', '0.3352', '0.3433', '0.3114', '0.3766', '0.3853', '0.4784', '0.4839']","['0.4165', '0.6076', '0.0985', '0.1848', '0.2909', '0.4134', '0.6288', '0.5246', '0.4108', '0.4428']","['0.4282', '0.5288', '0.1504', '0.2382', '0.3150', '0.3552', '0.4711', '0.4443', '0.4420', '0.4625']","['0.4165', '0.6076', '0.0985', '0.1848', '0.2909', '0.4134', '0.6288', '0.5246', '0.4108', '0.4428']","['0.9446', '0.9260', '0.9761', '0.9559', '0.9348', '0.9016', '0.8865', '0.9089', '0.9508', '0.9464']","[[237, 66, 24, 11, 13, 18, 11, 49, 109, 31], [13, 353, 1, 11, 5, 6, 32, 31, 40, 89], [61, 38, 60, 27, 136, 83, 111, 75, 9, 9], [16, 15, 21, 119, 51, 178, 142, 66, 9, 27], [35, 18, 30, 10, 183, 76, 169, 83, 11, 14], [14, 7, 13, 87, 33, 241, 79, 83, 12, 14], [11, 10, 13, 38, 57, 40, 371, 37, 4, 9], [17, 21, 13, 21, 53, 82, 36, 309, 7, 30], [118, 88, 8, 7, 1, 34, 11, 17, 244, 66], [16, 138, 6, 24, 1, 16, 23, 52, 65, 271]]","[7, 7, 5, 9, 8, 7, 7, 3, 5, 2, 9, 4, 7, 4, 4, 8, 8, 8, 8, 9, 9, 6, 4, 3, 7, 8, 5, 9, 1, 5, 0, 3]","[3, 4, 0, 2, 8, 4, 1, 3, 0, 4, 5, 4, 4, 9, 6, 4, 5, 7, 9, 2, 6, 3, 2, 1, 7, 1, 8, 9, 1, 2, 1, 2]"
4,"['0.4376', '0.5525', '0.1215', '0.2407', '0.2814', '0.4374', '0.5864', '0.5076', '0.3906', '0.4967']","['0.4293', '0.5297', '0.2857', '0.3216', '0.3464', '0.2865', '0.3927', '0.4430', '0.4833', '0.4780']","['0.4376', '0.5525', '0.1215', '0.2407', '0.2814', '0.4374', '0.5864', '0.5076', '0.3906', '0.4967']","['0.4334', '0.5409', '0.1705', '0.2753', '0.3105', '0.3462', '0.4704', '0.4731', '0.4320', '0.4872']","['0.4376', '0.5525', '0.1215', '0.2407', '0.2814', '0.4374', '0.5864', '0.5076', '0.3906', '0.4967']","['0.9391', '0.9474', '0.9657', '0.9389', '0.9378', '0.8828', '0.9011', '0.9305', '0.9541', '0.9384']","[[249, 50, 29, 13, 13, 23, 11, 34, 105, 42], [17, 321, 8, 19, 6, 8, 25, 28, 39, 110], [63, 27, 74, 30, 123, 115, 98, 59, 10, 10], [21, 9, 24, 155, 45, 199, 120, 43, 9, 19], [37, 10, 39, 19, 177, 92, 157, 71, 13, 14], [11, 5, 23, 114, 29, 255, 65, 57, 12, 12], [11, 7, 22, 59, 67, 44, 346, 22, 4, 8], [18, 15, 17, 30, 45, 101, 28, 299, 8, 28], [135, 59, 12, 13, 3, 33, 8, 10, 232, 89], [18, 103, 11, 30, 3, 20, 23, 52, 48, 304]]","[1, 0, 9, 0, 4, 9, 3, 1, 8, 2, 4, 3, 3, 0, 6, 0, 0, 5, 5, 2, 3, 0, 1, 1, 1, 0, 0, 0, 5, 4, 2, 2]","[7, 0, 2, 8, 9, 2, 5, 9, 2, 6, 2, 8, 6, 9, 2, 6, 6, 9, 0, 0, 9, 3, 5, 6, 3, 3, 9, 8, 0, 5, 5, 2]"
5,"['0.4763', '0.6024', '0.1658', '0.1910', '0.3657', '0.3602', '0.5898', '0.5059', '0.4899', '0.4461']","['0.4308', '0.4795', '0.3355', '0.3379', '0.3382', '0.3360', '0.4123', '0.4620', '0.4619', '0.4946']","['0.4763', '0.6024', '0.1658', '0.1910', '0.3657', '0.3602', '0.5898', '0.5059', '0.4899', '0.4461']","['0.4524', '0.5339', '0.2220', '0.2440', '0.3514', '0.3477', '0.4854', '0.4830', '0.4755', '0.4691']","['0.4763', '0.6024', '0.1658', '0.1910', '0.3657', '0.3602', '0.5898', '0.5059', '0.4899', '0.4461']","['0.9341', '0.9299', '0.9629', '0.9550', '0.9162', '0.9234', '0.9083', '0.9359', '0.9373', '0.9482']","[[271, 56, 23, 8, 20, 12, 9, 27, 113, 30], [20, 350, 7, 12, 9, 2, 20, 22, 54, 85], [71, 40, 101, 22, 148, 68, 85, 48, 17, 9], [23, 24, 30, 123, 66, 155, 133, 51, 18, 21], [49, 13, 45, 11, 230, 60, 128, 64, 17, 12], [18, 11, 31, 94, 42, 210, 72, 66, 21, 18], [15, 12, 20, 44, 93, 20, 348, 22, 6, 10], [23, 23, 22, 23, 64, 62, 28, 298, 11, 35], [116, 68, 11, 8, 2, 26, 6, 7, 291, 59], [23, 133, 11, 19, 6, 10, 15, 40, 82, 273]]","[2, 8, 0, 6, 9, 0, 3, 2, 0, 0, 5, 9, 1, 4, 5, 7, 0, 4, 7, 8, 9, 0, 4, 6, 9, 2, 7, 3, 1, 5, 1, 0]","[0, 0, 3, 2, 2, 0, 8, 6, 9, 7, 1, 2, 2, 2, 8, 0, 6, 1, 6, 1, 6, 3, 0, 9, 0, 4, 1, 3, 6, 1, 2, 0]"
6,"['0.4341', '0.5456', '0.2069', '0.2019', '0.2989', '0.3842', '0.6237', '0.5297', '0.4394', '0.4951']","['0.4732', '0.5222', '0.3360', '0.3325', '0.3602', '0.3085', '0.3802', '0.4228', '0.5210', '0.4662']","['0.4341', '0.5456', '0.2069', '0.2019', '0.2989', '0.3842', '0.6237', '0.5297', '0.4394', '0.4951']","['0.4528', '0.5337', '0.2561', '0.2512', '0.3267', '0.3422', '0.4724', '0.4702', '0.4767', '0.4802']","['0.4341', '0.5456', '0.2069', '0.2019', '0.2989', '0.3842', '0.6237', '0.5297', '0.4394', '0.4951']","['0.9494', '0.9465', '0.9538', '0.9513', '0.9378', '0.9073', '0.8891', '0.9213', '0.9556', '0.9356']","[[247, 44, 37, 7, 11, 30, 12, 37, 99, 45], [21, 317, 7, 11, 4, 4, 35, 31, 33, 118], [46, 24, 126, 27, 106, 93, 103, 60, 13, 11], [14, 11, 37, 130, 53, 164, 146, 57, 9, 23], [32, 10, 61, 14, 188, 73, 148, 73, 15, 15], [9, 4, 31, 102, 35, 224, 78, 70, 13, 17], [9, 9, 23, 47, 67, 24, 368, 26, 5, 12], [14, 18, 23, 26, 50, 72, 39, 312, 5, 30], [103, 69, 19, 5, 4, 32, 11, 14, 261, 76], [27, 101, 11, 22, 4, 10, 28, 58, 48, 303]]","[7, 2, 8, 9, 6, 7, 8, 5, 2, 5, 4, 4, 9, 6, 0, 8, 2, 0, 4, 0, 2, 2, 2, 1, 7, 3, 8, 0, 3, 3, 7, 1]","[8, 3, 1, 9, 4, 3, 3, 9, 3, 5, 8, 2, 6, 5, 1, 7, 4, 0, 7, 6, 7, 9, 5, 9, 6, 5, 6, 9, 1, 9, 2, 3]"
7,"['0.4482', '0.5473', '0.2118', '0.2174', '0.2385', '0.3962', '0.5678', '0.5246', '0.4916', '0.4902']","['0.4412', '0.5154', '0.3042', '0.3423', '0.3589', '0.3039', '0.4284', '0.4137', '0.4570', '0.4792']","['0.4482', '0.5473', '0.2118', '0.2174', '0.2385', '0.3962', '0.5678', '0.5246', '0.4916', '0.4902']","['0.4446', '0.5309', '0.2498', '0.2659', '0.2865', '0.3440', '0.4883', '0.4626', '0.4736', '0.4847']","['0.4482', '0.5473', '0.2118', '0.2174', '0.2385', '0.3962', '0.5678', '0.5246', '0.4916', '0.4902']","['0.9405', '0.9448', '0.9453', '0.9498', '0.9501', '0.9023', '0.9174', '0.9191', '0.9358', '0.9395']","[[255, 49, 34, 7, 7, 21, 8, 32, 122, 34], [25, 318, 12, 7, 6, 5, 17, 32, 46, 113], [62, 32, 129, 25, 90, 93, 89, 58, 21, 10], [15, 13, 36, 140, 39, 189, 99, 65, 27, 21], [40, 11, 85, 12, 150, 78, 142, 73, 20, 18], [12, 7, 38, 105, 25, 231, 49, 78, 21, 17], [14, 11, 32, 57, 54, 32, 335, 34, 8, 13], [25, 16, 29, 29, 34, 82, 24, 309, 10, 31], [99, 66, 19, 10, 6, 20, 3, 10, 292, 69], [31, 94, 10, 17, 7, 9, 16, 56, 72, 300]]","[4, 1, 9, 3, 9, 9, 5, 4, 6, 4, 8, 0, 2, 0, 6, 6, 2, 1, 8, 1, 3, 1, 1, 0, 2, 3, 1, 3, 0, 8, 7, 7]","[0, 3, 6, 9, 4, 6, 9, 4, 9, 2, 6, 1, 0, 3, 8, 9, 7, 1, 5, 7, 8, 2, 2, 5, 0, 1, 2, 9, 4, 8, 9, 1]"
8,"['0.4446', '0.5852', '0.2430', '0.1925', '0.2814', '0.4082', '0.5763', '0.5059', '0.4764', '0.4314']","['0.4340', '0.5082', '0.3090', '0.3397', '0.3703', '0.3047', '0.4136', '0.4300', '0.4788', '0.4898']","['0.4446', '0.5852', '0.2430', '0.1925', '0.2814', '0.4082', '0.5763', '0.5059', '0.4764', '0.4314']","['0.4392', '0.5440', '0.2721', '0.2458', '0.3198', '0.3490', '0.4816', '0.4649', '0.4776', '0.4587']","['0.4446', '0.5852', '0.2430', '0.1925', '0.2814', '0.4082', '0.5763', '0.5059', '0.4764', '0.4314']","['0.9392', '0.9393', '0.9386', '0.9550', '0.9440', '0.8998', '0.9109', '0.9270', '0.9430', '0.9490']","[[253, 44, 39, 6, 16, 19, 11, 31, 113, 37], [27, 340, 14, 7, 8, 5, 20, 24, 44, 92], [61, 31, 148, 25, 86, 94, 89, 51, 16, 8], [18, 12, 41, 124, 48, 190, 115, 57, 20, 19], [38, 8, 87, 6, 177, 76, 136, 72, 16, 13], [12, 8, 42, 101, 27, 238, 59, 70, 14, 12], [15, 9, 37, 45, 58, 46, 340, 24, 6, 10], [23, 15, 34, 28, 46, 79, 26, 298, 9, 31], [101, 81, 21, 6, 6, 26, 5, 12, 283, 53], [35, 121, 16, 17, 6, 8, 21, 54, 70, 264]]","[4, 8, 6, 3, 3, 6, 6, 8, 0, 9, 9, 0, 6, 8, 9, 2, 1, 7, 5, 0, 8, 1, 9, 5, 4, 5, 4, 0, 6, 1, 1, 4]","[4, 6, 9, 9, 6, 7, 6, 9, 7, 2, 0, 9, 9, 3, 6, 6, 4, 1, 9, 3, 8, 9, 5, 3, 0, 3, 6, 0, 7, 5, 3, 2]"
9,"['0.4499', '0.5594', '0.2397', '0.2624', '0.2798', '0.3568', '0.5373', '0.5144', '0.5051', '0.4101']","['0.4197', '0.5151', '0.2908', '0.3674', '0.3417', '0.3128', '0.4210', '0.4304', '0.4580', '0.4970']","['0.4499', '0.5594', '0.2397', '0.2624', '0.2798', '0.3568', '0.5373', '0.5144', '0.5051', '0.4101']","['0.4343', '0.5363', '0.2628', '0.3062', '0.3077', '0.3333', '0.4721', '0.4687', '0.4804', '0.4494']","['0.4499', '0.5594', '0.2397', '0.2624', '0.2798', '0.3568', '0.5373', '0.5144', '0.5051', '0.4101']","['0.9348', '0.9435', '0.9340', '0.9457', '0.9369', '0.9156', '0.9194', '0.9259', '0.9343', '0.9529']","[[256, 40, 37, 7, 15, 20, 13, 31, 117, 33], [32, 325, 16, 8, 7, 3, 14, 24, 60, 92], [59, 28, 146, 32, 100, 83, 79, 52, 21, 9], [21, 13, 49, 169, 49, 152, 98, 56, 23, 14], [45, 10, 95, 17, 176, 59, 130, 73, 17, 7], [14, 10, 45, 124, 33, 208, 48, 72, 16, 13], [11, 10, 34, 52, 80, 41, 317, 24, 10, 11], [24, 15, 43, 28, 43, 70, 29, 303, 6, 28], [106, 69, 23, 8, 5, 20, 6, 10, 300, 47], [42, 111, 14, 15, 7, 9, 19, 59, 85, 251]]","[3, 0, 7, 0, 6, 7, 7, 3, 9, 9, 1, 0, 4, 0, 5, 4, 1, 3, 7, 3, 1, 9, 5, 6, 7, 2, 5, 6, 1, 4, 1, 1]","[6, 0, 7, 6, 4, 1, 8, 9, 3, 1, 1, 0, 4, 0, 8, 0, 3, 4, 3, 5, 6, 6, 9, 3, 8, 9, 1, 6, 9, 6, 6, 5]"
