cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label
0,"['0.4148', '0.6007', '0.0427', '0.0202', '0.0397', '0.3756', '0.7661', '0.1375', '0.2811', '0.1242']","['0.3430', '0.3113', '0.2989', '0.2407', '0.2016', '0.2783', '0.2101', '0.2935', '0.3662', '0.2969']","['0.4148', '0.6007', '0.0427', '0.0202', '0.0397', '0.3756', '0.7661', '0.1375', '0.2811', '0.1242']","['0.3755', '0.4101', '0.0747', '0.0372', '0.0664', '0.3197', '0.3298', '0.1873', '0.3181', '0.1751']","['0.4148', '0.6007', '0.0427', '0.0202', '0.0397', '0.3756', '0.7661', '0.1375', '0.2811', '0.1242']","['0.9168', '0.8575', '0.9887', '0.9923', '0.9816', '0.8951', '0.6860', '0.9640', '0.9465', '0.9666']","[[236, 88, 4, 1, 8, 29, 47, 18, 111, 27], [27, 349, 0, 4, 0, 6, 79, 13, 66, 37], [81, 39, 26, 4, 32, 95, 287, 26, 6, 13], [34, 39, 18, 13, 16, 180, 286, 43, 3, 12], [40, 22, 10, 4, 25, 67, 414, 18, 14, 15], [33, 32, 8, 13, 18, 219, 223, 28, 4, 5], [15, 26, 9, 2, 8, 54, 452, 20, 0, 4], [29, 49, 5, 11, 16, 106, 250, 81, 11, 31], [159, 175, 6, 1, 1, 22, 18, 9, 167, 36], [34, 302, 1, 1, 0, 9, 95, 20, 74, 76]]",-1,-1
1,"['0.3603', '0.5026', '0.0952', '0.0466', '0.3068', '0.4185', '0.6102', '0.3922', '0.3451', '0.4199']","['0.4437', '0.4345', '0.2871', '0.2970', '0.2560', '0.3165', '0.3098', '0.2969', '0.4253', '0.4172']","['0.3603', '0.5026', '0.0952', '0.0466', '0.3068', '0.4185', '0.6102', '0.3922', '0.3451', '0.4199']","['0.3977', '0.4661', '0.1430', '0.0805', '0.2791', '0.3604', '0.4110', '0.3380', '0.3810', '0.4186']","['0.3603', '0.5026', '0.0952', '0.0466', '0.3068', '0.4185', '0.6102', '0.3922', '0.3451', '0.4199']","['0.9527', '0.9299', '0.9733', '0.9867', '0.8956', '0.9027', '0.8518', '0.8989', '0.9488', '0.9334']","[[205, 54, 18, 0, 18, 39, 24, 54, 115, 42], [9, 292, 1, 2, 1, 8, 52, 33, 54, 129], [49, 20, 58, 15, 167, 66, 144, 70, 4, 16], [9, 15, 28, 30, 97, 187, 142, 109, 5, 22], [21, 11, 31, 8, 193, 52, 220, 64, 12, 17], [13, 11, 20, 13, 84, 244, 88, 100, 4, 6], [6, 8, 18, 15, 82, 33, 360, 54, 3, 11], [12, 20, 15, 13, 101, 88, 70, 231, 8, 31], [127, 94, 11, 1, 5, 33, 17, 16, 205, 85], [11, 147, 2, 4, 6, 21, 45, 47, 72, 257]]","[3, 0, 8, 0, 2, 3, 0, 0, 2, 5, 3, 1, 5, 7, 5, 4, 6, 4, 5, 3, 3, 5, 5, 3, 4, 8, 6, 3, 9, 7, 6, 7]","[2, 5, 5, 2, 7, 3, 0, 5, 2, 8, 9, 3, 6, 6, 4, 1, 3, 7, 4, 6, 2, 1, 1, 2, 5, 6, 7, 3, 4, 7, 6, 9]"
2,"['0.3708', '0.6282', '0.1987', '0.0932', '0.2496', '0.5060', '0.5373', '0.4160', '0.4158', '0.4020']","['0.4369', '0.4479', '0.2821', '0.3226', '0.3435', '0.3060', '0.3712', '0.3398', '0.4891', '0.4198']","['0.3708', '0.6282', '0.1987', '0.0932', '0.2496', '0.5060', '0.5373', '0.4160', '0.4158', '0.4020']","['0.4011', '0.5229', '0.2331', '0.1446', '0.2891', '0.3814', '0.4391', '0.3740', '0.4495', '0.4107']","['0.3708', '0.6282', '0.1987', '0.0932', '0.2496', '0.5060', '0.5373', '0.4160', '0.4158', '0.4020']","['0.9499', '0.9170', '0.9429', '0.9765', '0.9441', '0.8765', '0.9007', '0.9120', '0.9523', '0.9369']","[[211, 58, 25, 6, 12, 27, 17, 41, 126, 46], [9, 365, 1, 1, 1, 11, 37, 17, 39, 100], [56, 26, 121, 28, 115, 83, 95, 66, 4, 15], [14, 12, 52, 60, 30, 251, 105, 87, 5, 28], [33, 11, 93, 14, 157, 63, 149, 78, 15, 16], [18, 11, 51, 24, 35, 295, 59, 75, 3, 12], [8, 15, 41, 31, 61, 37, 317, 60, 2, 18], [9, 25, 32, 13, 40, 150, 35, 245, 4, 36], [116, 100, 11, 2, 4, 23, 11, 11, 247, 69], [9, 192, 2, 7, 2, 24, 29, 41, 60, 246]]","[1, 7, 9, 5, 7, 9, 5, 7, 6, 1, 7, 0, 3, 2, 8, 2, 9, 0, 4, 8, 7, 2, 1, 1, 6, 0, 1, 7, 8, 4, 6, 8]","[4, 9, 6, 3, 3, 4, 7, 8, 5, 9, 4, 4, 1, 4, 4, 4, 0, 3, 2, 6, 2, 5, 8, 7, 6, 0, 3, 6, 7, 2, 2, 5]"
3,"['0.3902', '0.6059', '0.1478', '0.2469', '0.3243', '0.4305', '0.5119', '0.4228', '0.4764', '0.4592']","['0.4142', '0.4607', '0.3136', '0.3589', '0.3592', '0.3570', '0.4048', '0.3946', '0.4965', '0.3737']","['0.3902', '0.6059', '0.1478', '0.2469', '0.3243', '0.4305', '0.5119', '0.4228', '0.4764', '0.4592']","['0.4018', '0.5234', '0.2009', '0.2925', '0.3409', '0.3904', '0.4521', '0.4082', '0.4863', '0.4120']","['0.3902', '0.6059', '0.1478', '0.2469', '0.3243', '0.4305', '0.5119', '0.4228', '0.4764', '0.4592']","['0.9422', '0.9240', '0.9635', '0.9470', '0.9322', '0.9166', '0.9179', '0.9294', '0.9469', '0.9126']","[[222, 57, 20, 12, 18, 11, 12, 34, 133, 50], [13, 352, 2, 6, 0, 5, 23, 11, 46, 123], [72, 25, 90, 46, 148, 58, 82, 56, 9, 23], [24, 10, 35, 159, 39, 171, 90, 66, 9, 41], [40, 12, 49, 30, 204, 40, 133, 78, 14, 29], [18, 11, 33, 81, 40, 251, 51, 67, 6, 25], [9, 13, 31, 52, 72, 24, 302, 40, 5, 42], [11, 21, 18, 45, 41, 113, 23, 249, 8, 60], [114, 82, 7, 2, 4, 11, 7, 6, 283, 78], [13, 181, 2, 10, 2, 19, 23, 24, 57, 281]]","[3, 2, 8, 8, 5, 1, 3, 4, 4, 2, 5, 6, 7, 5, 7, 1, 4, 7, 2, 1, 7, 6, 6, 0, 4, 1, 4, 1, 0, 7, 0, 4]","[7, 2, 2, 2, 5, 4, 2, 4, 3, 7, 6, 7, 3, 3, 9, 6, 5, 5, 7, 9, 3, 4, 1, 7, 3, 8, 5, 4, 4, 0, 0, 4]"
4,"['0.3093', '0.6317', '0.1708', '0.1879', '0.3037', '0.3859', '0.6119', '0.4771', '0.5657', '0.4265']","['0.4444', '0.4582', '0.2842', '0.3528', '0.3505', '0.3879', '0.3800', '0.4043', '0.4603', '0.4394']","['0.3093', '0.6317', '0.1708', '0.1879', '0.3037', '0.3859', '0.6119', '0.4771', '0.5657', '0.4265']","['0.3648', '0.5311', '0.2133', '0.2452', '0.3254', '0.3869', '0.4688', '0.4377', '0.5076', '0.4328']","['0.3093', '0.6317', '0.1708', '0.1879', '0.3037', '0.3859', '0.6119', '0.4771', '0.5657', '0.4265']","['0.9595', '0.9199', '0.9514', '0.9586', '0.9341', '0.9345', '0.8911', '0.9235', '0.9271', '0.9382']","[[176, 53, 25, 7, 19, 6, 19, 31, 189, 44], [9, 367, 3, 4, 1, 3, 35, 13, 57, 89], [67, 29, 104, 31, 131, 42, 112, 61, 19, 13], [18, 14, 45, 121, 43, 154, 136, 69, 12, 32], [29, 12, 62, 21, 191, 31, 151, 91, 22, 19], [8, 13, 53, 75, 39, 225, 63, 83, 12, 12], [7, 14, 33, 33, 66, 20, 361, 31, 5, 20], [10, 20, 28, 35, 48, 81, 34, 281, 8, 44], [67, 94, 7, 1, 4, 6, 11, 8, 336, 60], [5, 185, 6, 15, 3, 12, 28, 27, 70, 261]]","[2, 7, 9, 7, 7, 0, 8, 0, 7, 1, 9, 7, 3, 9, 7, 4, 1, 9, 0, 0, 5, 6, 6, 5, 0, 9, 4, 9, 7, 4, 8, 0]","[2, 3, 1, 5, 7, 2, 2, 7, 9, 5, 3, 2, 3, 3, 8, 4, 4, 3, 7, 3, 8, 5, 2, 4, 9, 5, 3, 1, 8, 3, 1, 9]"
5,"['0.3339', '0.5904', '0.1921', '0.1988', '0.2782', '0.4906', '0.5661', '0.4550', '0.5774', '0.4395']","['0.4634', '0.4757', '0.3259', '0.3565', '0.3425', '0.3429', '0.3929', '0.4344', '0.4851', '0.4256']","['0.3339', '0.5904', '0.1921', '0.1988', '0.2782', '0.4906', '0.5661', '0.4550', '0.5774', '0.4395']","['0.3882', '0.5269', '0.2417', '0.2552', '0.3070', '0.4037', '0.4639', '0.4444', '0.5273', '0.4325']","['0.3339', '0.5904', '0.1921', '0.1988', '0.2782', '0.4906', '0.5661', '0.4550', '0.5774', '0.4395']","['0.9595', '0.9302', '0.9551', '0.9569', '0.9374', '0.8988', '0.9046', '0.9355', '0.9327', '0.9326']","[[190, 52, 27, 8, 18, 20, 17, 27, 168, 42], [13, 343, 2, 8, 3, 6, 27, 14, 56, 109], [62, 20, 117, 36, 120, 69, 99, 49, 20, 17], [18, 8, 40, 128, 33, 208, 109, 54, 14, 32], [28, 7, 72, 24, 175, 55, 147, 78, 19, 24], [11, 8, 38, 66, 39, 286, 53, 58, 9, 15], [6, 9, 35, 51, 65, 27, 334, 32, 7, 24], [7, 16, 17, 22, 45, 129, 33, 268, 10, 42], [65, 84, 7, 1, 7, 11, 8, 10, 343, 58], [10, 174, 4, 15, 6, 23, 23, 27, 61, 269]]","[6, 6, 0, 5, 9, 6, 8, 0, 2, 4, 3, 7, 8, 5, 5, 3, 9, 5, 7, 5, 0, 9, 5, 3, 5, 0, 2, 8, 1, 9, 6, 5]","[6, 3, 2, 7, 5, 6, 6, 5, 8, 9, 1, 9, 2, 1, 5, 2, 9, 2, 5, 5, 3, 3, 4, 5, 0, 8, 6, 5, 7, 3, 2, 4]"
6,"['0.3480', '0.4974', '0.1954', '0.1879', '0.3339', '0.4871', '0.5305', '0.5382', '0.4966', '0.5229']","['0.4371', '0.5161', '0.3036', '0.3758', '0.3349', '0.3688', '0.4140', '0.4049', '0.5034', '0.4261']","['0.3480', '0.4974', '0.1954', '0.1879', '0.3339', '0.4871', '0.5305', '0.5382', '0.4966', '0.5229']","['0.3875', '0.5066', '0.2378', '0.2505', '0.3344', '0.4198', '0.4651', '0.4621', '0.5000', '0.4696']","['0.3480', '0.4974', '0.1954', '0.1879', '0.3339', '0.4871', '0.5305', '0.5382', '0.4966', '0.5229']","['0.9530', '0.9500', '0.9494', '0.9625', '0.9224', '0.9103', '0.9181', '0.9139', '0.9462', '0.9200']","[[198, 41, 48, 4, 26, 15, 10, 43, 129, 55], [21, 289, 5, 3, 3, 9, 28, 17, 54, 152], [55, 13, 119, 33, 147, 59, 89, 68, 8, 18], [18, 7, 38, 121, 47, 199, 97, 73, 13, 31], [28, 5, 58, 26, 210, 43, 123, 102, 12, 22], [8, 7, 49, 45, 50, 284, 43, 76, 5, 16], [5, 11, 38, 45, 77, 32, 313, 38, 2, 29], [7, 9, 20, 26, 49, 95, 20, 317, 8, 38], [101, 67, 9, 1, 12, 14, 9, 16, 295, 70], [12, 111, 8, 18, 6, 20, 24, 33, 60, 320]]","[2, 5, 1, 5, 5, 7, 9, 8, 9, 7, 9, 1, 6, 9, 0, 1, 2, 7, 2, 3, 9, 8, 8, 9, 5, 5, 6, 3, 8, 8, 1, 8]","[3, 2, 4, 9, 5, 0, 1, 2, 8, 7, 4, 7, 3, 3, 7, 7, 5, 4, 8, 2, 2, 8, 1, 6, 6, 7, 3, 2, 7, 6, 3, 5]"
7,"['0.3902', '0.4836', '0.1708', '0.2298', '0.3180', '0.3859', '0.6119', '0.5195', '0.4781', '0.5327']","['0.4606', '0.5147', '0.3152', '0.3318', '0.3215', '0.3940', '0.3741', '0.4080', '0.5462', '0.4245']","['0.3902', '0.4836', '0.1708', '0.2298', '0.3180', '0.3859', '0.6119', '0.5195', '0.4781', '0.5327']","['0.4225', '0.4987', '0.2215', '0.2716', '0.3197', '0.3899', '0.4643', '0.4571', '0.5099', '0.4725']","['0.3902', '0.4836', '0.1708', '0.2298', '0.3180', '0.3859', '0.6119', '0.5195', '0.4781', '0.5327']","['0.9521', '0.9511', '0.9581', '0.9444', '0.9214', '0.9361', '0.8884', '0.9179', '0.9563', '0.9180']","[[222, 43, 35, 16, 29, 7, 18, 35, 102, 62], [18, 281, 8, 6, 6, 6, 33, 15, 45, 163], [58, 14, 104, 45, 140, 43, 110, 67, 8, 20], [18, 7, 37, 148, 44, 150, 146, 61, 11, 22], [30, 5, 49, 28, 200, 32, 155, 100, 8, 22], [8, 6, 34, 90, 52, 225, 61, 85, 9, 13], [5, 10, 27, 49, 69, 19, 361, 31, 3, 16], [7, 12, 18, 46, 59, 64, 35, 306, 5, 37], [101, 67, 9, 2, 14, 10, 13, 7, 284, 87], [15, 101, 9, 16, 9, 15, 33, 43, 45, 326]]","[7, 9, 2, 5, 7, 9, 9, 6, 0, 4, 5, 2, 4, 5, 2, 0, 7, 9, 3, 1, 1, 4, 3, 1, 7, 8, 2, 3, 5, 2, 9, 0]","[9, 6, 7, 5, 4, 6, 5, 9, 4, 1, 5, 1, 5, 3, 1, 6, 4, 2, 2, 2, 9, 3, 6, 3, 6, 7, 8, 9, 1, 5, 0, 6]"
8,"['0.3673', '0.5542', '0.1888', '0.2717', '0.2941', '0.4082', '0.5627', '0.4992', '0.5387', '0.4690']","['0.4860', '0.5023', '0.2979', '0.3411', '0.3304', '0.3667', '0.3948', '0.4083', '0.5396', '0.4303']","['0.3673', '0.5542', '0.1888', '0.2717', '0.2941', '0.4082', '0.5627', '0.4992', '0.5387', '0.4690']","['0.4184', '0.5270', '0.2312', '0.3025', '0.3112', '0.3864', '0.4640', '0.4492', '0.5392', '0.4488']","['0.3673', '0.5542', '0.1888', '0.2717', '0.2941', '0.4082', '0.5627', '0.4992', '0.5387', '0.4690']","['0.9593', '0.9411', '0.9497', '0.9369', '0.9302', '0.9241', '0.9059', '0.9213', '0.9495', '0.9295']","[[209, 55, 40, 8, 27, 11, 16, 32, 123, 48], [15, 322, 6, 8, 4, 9, 28, 17, 47, 125], [52, 17, 115, 48, 128, 56, 97, 67, 9, 20], [16, 7, 41, 175, 33, 165, 113, 58, 11, 25], [26, 8, 63, 44, 185, 37, 133, 100, 11, 22], [6, 7, 45, 95, 46, 238, 50, 77, 7, 12], [5, 10, 38, 62, 61, 23, 332, 33, 4, 22], [8, 12, 20, 46, 57, 80, 29, 294, 6, 37], [77, 73, 10, 4, 13, 13, 11, 4, 320, 69], [16, 130, 8, 23, 6, 17, 32, 38, 55, 287]]","[5, 6, 3, 6, 2, 5, 9, 2, 8, 2, 7, 7, 7, 7, 9, 2, 6, 1, 6, 4, 7, 3, 0, 7, 5, 6, 2, 0, 9, 0, 9, 7]","[7, 2, 3, 2, 5, 1, 9, 4, 1, 4, 3, 3, 9, 2, 6, 5, 5, 5, 9, 5, 4, 2, 6, 9, 4, 6, 5, 4, 7, 2, 9, 3]"
9,"['0.3234', '0.5904', '0.1938', '0.2733', '0.2878', '0.3894', '0.5881', '0.4805', '0.5926', '0.4363']","['0.4946', '0.4851', '0.3113', '0.3333', '0.3261', '0.3934', '0.3731', '0.4137', '0.5072', '0.4652']","['0.3234', '0.5904', '0.1938', '0.2733', '0.2878', '0.3894', '0.5881', '0.4805', '0.5926', '0.4363']","['0.3911', '0.5326', '0.2389', '0.3003', '0.3057', '0.3914', '0.4566', '0.4446', '0.5466', '0.4503']","['0.3234', '0.5904', '0.1938', '0.2733', '0.2878', '0.3894', '0.5881', '0.4805', '0.5926', '0.4363']","['0.9654', '0.9328', '0.9516', '0.9343', '0.9304', '0.9354', '0.8922', '0.9259', '0.9367', '0.9430']","[[184, 55, 35, 16, 30, 12, 19, 27, 147, 44], [14, 343, 5, 10, 5, 6, 29, 13, 55, 101], [47, 23, 118, 50, 127, 46, 108, 65, 13, 12], [15, 11, 43, 176, 36, 141, 132, 58, 14, 18], [23, 7, 58, 48, 181, 27, 149, 96, 16, 24], [11, 12, 44, 97, 38, 227, 65, 66, 9, 14], [6, 16, 33, 59, 62, 16, 347, 31, 6, 14], [3, 22, 25, 47, 58, 80, 32, 283, 12, 27], [56, 79, 11, 5, 12, 8, 10, 8, 352, 53], [13, 139, 7, 20, 6, 14, 39, 37, 70, 267]]","[7, 0, 5, 7, 7, 9, 4, 6, 7, 7, 6, 8, 1, 2, 5, 7, 7, 5, 9, 7, 8, 1, 3, 3, 2, 8, 8, 6, 1, 6, 5, 5]","[2, 1, 2, 7, 6, 5, 4, 2, 7, 8, 0, 5, 1, 8, 7, 0, 6, 5, 8, 9, 0, 8, 7, 3, 4, 6, 1, 5, 5, 3, 5, 8]"
