cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label
0,"['0.3866', '0.3735', '0.0361', '0.0435', '0.0016', '0.2281', '0.6610', '0.2190', '0.3199', '0.5000']","['0.3679', '0.2921', '0.2391', '0.2569', '0.2500', '0.2720', '0.2102', '0.2087', '0.3276', '0.3355']","['0.3866', '0.3735', '0.0361', '0.0435', '0.0016', '0.2281', '0.6610', '0.2190', '0.3199', '0.5000']","['0.3770', '0.3278', '0.0628', '0.0744', '0.0032', '0.2481', '0.3190', '0.2138', '0.3237', '0.4016']","['0.3866', '0.3735', '0.0361', '0.0435', '0.0016', '0.2281', '0.6610', '0.2190', '0.3199', '0.5000']","['0.9304', '0.9029', '0.9870', '0.9849', '0.9994', '0.9343', '0.7292', '0.9096', '0.9279', '0.8875']","[[220, 62, 7, 4, 0, 11, 21, 32, 126, 86], [17, 217, 1, 2, 0, 16, 51, 39, 98, 140], [80, 53, 22, 15, 1, 52, 267, 51, 27, 41], [31, 46, 12, 28, 0, 113, 266, 105, 9, 34], [37, 27, 8, 16, 1, 34, 391, 55, 21, 39], [26, 58, 17, 18, 0, 133, 227, 70, 9, 25], [14, 30, 7, 11, 2, 44, 390, 72, 4, 16], [13, 61, 12, 10, 0, 51, 199, 129, 19, 95], [139, 87, 2, 5, 0, 19, 10, 12, 190, 130], [21, 102, 4, 0, 0, 16, 33, 53, 77, 306]]",-1,-1
1,"['0.3585', '0.6248', '0.1626', '0.0186', '0.3672', '0.3825', '0.2254', '0.3430', '0.3872', '0.4624']","['0.4016', '0.3731', '0.1904', '0.2927', '0.2711', '0.2938', '0.2771', '0.3344', '0.4122', '0.4014']","['0.3585', '0.6248', '0.1626', '0.0186', '0.3672', '0.3825', '0.2254', '0.3430', '0.3872', '0.4624']","['0.3788', '0.4672', '0.1754', '0.0350', '0.3120', '0.3323', '0.2486', '0.3386', '0.3993', '0.4298']","['0.3585', '0.6248', '0.1626', '0.0186', '0.3672', '0.3825', '0.2254', '0.3430', '0.3872', '0.4624']","['0.9440', '0.8874', '0.9219', '0.9946', '0.8844', '0.9011', '0.9359', '0.9257', '0.9393', '0.9217']","[[204, 69, 18, 2, 6, 26, 7, 34, 143, 60], [8, 363, 7, 1, 3, 5, 13, 13, 45, 123], [64, 53, 99, 4, 170, 71, 58, 54, 19, 17], [24, 39, 83, 12, 111, 194, 57, 84, 10, 30], [33, 25, 79, 9, 231, 59, 98, 53, 22, 20], [17, 40, 87, 5, 74, 223, 49, 60, 6, 22], [14, 44, 52, 6, 211, 54, 133, 63, 2, 11], [19, 54, 76, 2, 41, 78, 57, 202, 14, 46], [117, 97, 11, 0, 1, 35, 2, 8, 230, 93], [8, 189, 8, 0, 4, 14, 6, 33, 67, 283]]","[1, 9, 8, 3, 4, 4, 4, 1, 7, 4, 7, 6, 6, 1, 4, 3, 5, 5, 4, 5, 8, 2, 2, 8, 4, 2, 0, 1, 1, 9, 5, 0]","[5, 3, 4, 2, 8, 8, 4, 5, 2, 5, 3, 2, 2, 2, 2, 4, 2, 2, 7, 5, 9, 5, 7, 0, 4, 4, 6, 3, 7, 2, 1, 3]"
2,"['0.3919', '0.5577', '0.1166', '0.0901', '0.5008', '0.3962', '0.3627', '0.4007', '0.3232', '0.4134']","['0.3982', '0.4807', '0.2158', '0.2339', '0.2538', '0.3655', '0.3537', '0.3496', '0.4238', '0.4340']","['0.3919', '0.5577', '0.1166', '0.0901', '0.5008', '0.3962', '0.3627', '0.4007', '0.3232', '0.4134']","['0.3950', '0.5163', '0.1514', '0.1300', '0.3369', '0.3802', '0.3582', '0.3734', '0.3668', '0.4234']","['0.3919', '0.5577', '0.1166', '0.0901', '0.5008', '0.3962', '0.3627', '0.4007', '0.3232', '0.4134']","['0.9379', '0.9354', '0.9521', '0.9645', '0.8276', '0.9260', '0.9277', '0.9189', '0.9517', '0.9388']","[[223, 49, 17, 15, 13, 17, 12, 48, 122, 53], [10, 324, 12, 1, 5, 6, 40, 21, 40, 122], [63, 23, 71, 41, 240, 44, 54, 53, 11, 9], [22, 11, 52, 58, 173, 171, 74, 69, 5, 9], [41, 6, 43, 37, 315, 32, 78, 57, 14, 6], [15, 4, 48, 36, 122, 231, 55, 65, 5, 2], [11, 12, 29, 28, 220, 37, 214, 31, 2, 6], [14, 12, 29, 24, 140, 58, 49, 236, 8, 19], [147, 74, 14, 7, 4, 23, 10, 19, 192, 104], [14, 159, 14, 1, 9, 13, 19, 76, 54, 253]]","[1, 4, 3, 6, 6, 9, 7, 9, 1, 1, 9, 9, 5, 2, 1, 7, 8, 3, 4, 7, 9, 3, 7, 4, 8, 4, 1, 1, 1, 4, 4, 1]","[3, 7, 3, 3, 5, 4, 2, 6, 5, 3, 4, 5, 4, 2, 0, 6, 9, 9, 5, 2, 9, 5, 6, 2, 3, 0, 2, 2, 5, 2, 3, 9]"
3,"['0.3497', '0.5542', '0.1839', '0.1382', '0.2719', '0.3928', '0.5356', '0.4499', '0.5017', '0.5261']","['0.4422', '0.4542', '0.2587', '0.2486', '0.3353', '0.3664', '0.3683', '0.4128', '0.4435', '0.4334']","['0.3497', '0.5542', '0.1839', '0.1382', '0.2719', '0.3928', '0.5356', '0.4499', '0.5017', '0.5261']","['0.3906', '0.4992', '0.2150', '0.1776', '0.3003', '0.3791', '0.4365', '0.4305', '0.4708', '0.4753']","['0.3497', '0.5542', '0.1839', '0.1382', '0.2719', '0.3928', '0.5356', '0.4499', '0.5017', '0.5261']","['0.9538', '0.9286', '0.9405', '0.9498', '0.9369', '0.9269', '0.8998', '0.9303', '0.9308', '0.9219']","[[199, 47, 28, 14, 8, 8, 10, 27, 171, 57], [7, 322, 4, 3, 0, 4, 26, 10, 45, 160], [52, 34, 112, 49, 123, 49, 100, 56, 18, 16], [18, 15, 75, 89, 49, 177, 119, 62, 14, 26], [35, 10, 64, 49, 171, 39, 147, 75, 21, 18], [11, 15, 54, 73, 38, 229, 65, 71, 13, 14], [11, 29, 39, 35, 68, 44, 316, 33, 5, 10], [19, 26, 40, 37, 50, 58, 50, 265, 12, 32], [89, 72, 13, 6, 2, 11, 6, 9, 298, 88], [9, 139, 4, 3, 1, 6, 19, 34, 75, 322]]","[0, 2, 6, 1, 8, 9, 1, 6, 7, 2, 8, 6, 7, 4, 7, 7, 6, 6, 9, 1, 4, 7, 6, 3, 7, 9, 7, 1, 9, 2, 7, 4]","[5, 9, 6, 6, 6, 7, 2, 3, 8, 0, 3, 7, 2, 7, 6, 7, 2, 5, 8, 8, 2, 7, 9, 5, 7, 8, 6, 5, 2, 3, 2, 1]"
4,"['0.3708', '0.6007', '0.1511', '0.1242', '0.3975', '0.4683', '0.4508', '0.4550', '0.3889', '0.5310']","['0.4306', '0.4834', '0.2690', '0.2797', '0.3005', '0.3496', '0.3982', '0.4036', '0.4823', '0.4416']","['0.3708', '0.6007', '0.1511', '0.1242', '0.3975', '0.4683', '0.4508', '0.4550', '0.3889', '0.5310']","['0.3985', '0.5357', '0.1935', '0.1720', '0.3422', '0.4003', '0.4229', '0.4278', '0.4306', '0.4822']","['0.3708', '0.6007', '0.1511', '0.1242', '0.3975', '0.4683', '0.4508', '0.4550', '0.3889', '0.5310']","['0.9486', '0.9312', '0.9536', '0.9615', '0.8916', '0.9062', '0.9257', '0.9268', '0.9541', '0.9237']","[[211, 52, 27, 14, 12, 16, 7, 36, 130, 64], [15, 349, 4, 3, 3, 6, 29, 12, 28, 132], [48, 23, 92, 44, 185, 61, 67, 59, 14, 16], [17, 14, 52, 80, 98, 199, 91, 63, 6, 24], [31, 12, 48, 32, 250, 53, 92, 77, 15, 19], [12, 10, 42, 46, 61, 273, 49, 76, 3, 11], [10, 22, 28, 34, 135, 56, 266, 26, 3, 10], [11, 17, 28, 19, 84, 84, 39, 268, 6, 33], [123, 74, 14, 10, 3, 18, 7, 12, 231, 102], [12, 149, 7, 4, 1, 15, 21, 35, 43, 325]]","[9, 7, 0, 6, 6, 0, 5, 9, 5, 7, 4, 5, 4, 8, 3, 0, 8, 7, 4, 1, 6, 1, 0, 3, 4, 0, 0, 9, 8, 4, 8, 5]","[6, 5, 6, 8, 8, 6, 8, 3, 5, 9, 6, 8, 9, 3, 7, 3, 6, 0, 7, 4, 0, 5, 4, 3, 9, 6, 3, 3, 5, 2, 4, 6]"
5,"['0.3286', '0.6213', '0.1560', '0.2096', '0.3243', '0.3877', '0.5644', '0.4635', '0.5303', '0.5147']","['0.4506', '0.4744', '0.2819', '0.3020', '0.3429', '0.4036', '0.3712', '0.4347', '0.4795', '0.4481']","['0.3286', '0.6213', '0.1560', '0.2096', '0.3243', '0.3877', '0.5644', '0.4635', '0.5303', '0.5147']","['0.3801', '0.5380', '0.2008', '0.2475', '0.3333', '0.3955', '0.4479', '0.4486', '0.5036', '0.4791']","['0.3286', '0.6213', '0.1560', '0.2096', '0.3243', '0.3877', '0.5644', '0.4635', '0.5303', '0.5147']","['0.9580', '0.9262', '0.9551', '0.9417', '0.9272', '0.9383', '0.8957', '0.9344', '0.9367', '0.9280']","[[187, 52, 41, 19, 8, 6, 11, 30, 158, 57], [10, 361, 3, 1, 1, 3, 30, 11, 39, 122], [41, 28, 95, 68, 129, 45, 107, 58, 20, 18], [13, 21, 47, 135, 61, 144, 128, 56, 13, 26], [28, 15, 50, 40, 204, 30, 136, 80, 23, 23], [12, 15, 34, 88, 45, 226, 73, 67, 9, 14], [11, 30, 23, 41, 80, 34, 333, 21, 4, 13], [11, 21, 26, 36, 63, 58, 53, 273, 8, 40], [89, 69, 14, 11, 3, 6, 6, 6, 315, 75], [13, 149, 4, 8, 1, 8, 20, 26, 68, 315]]","[4, 1, 0, 2, 3, 0, 3, 4, 8, 4, 2, 3, 3, 9, 5, 4, 5, 0, 8, 9, 2, 8, 3, 5, 7, 6, 3, 6, 8, 8, 5, 7]","[6, 1, 7, 4, 8, 6, 2, 6, 7, 9, 8, 4, 9, 3, 2, 1, 8, 5, 9, 3, 3, 9, 9, 2, 9, 2, 9, 4, 4, 3, 2, 3]"
6,"['0.3357', '0.5921', '0.1494', '0.2220', '0.3927', '0.4563', '0.4712', '0.4194', '0.5976', '0.5212']","['0.4835', '0.4950', '0.2935', '0.2992', '0.3276', '0.3725', '0.4238', '0.4591', '0.4653', '0.4577']","['0.3357', '0.5921', '0.1494', '0.2220', '0.3927', '0.4563', '0.4712', '0.4194', '0.5976', '0.5212']","['0.3963', '0.5392', '0.1980', '0.2549', '0.3572', '0.4102', '0.4462', '0.4383', '0.5232', '0.4874']","['0.3357', '0.5921', '0.1494', '0.2220', '0.3927', '0.4563', '0.4712', '0.4194', '0.5976', '0.5212']","['0.9624', '0.9352', '0.9594', '0.9375', '0.9056', '0.9173', '0.9301', '0.9462', '0.9245', '0.9298']","[[191, 46, 31, 17, 14, 11, 6, 26, 182, 45], [6, 344, 3, 7, 3, 3, 23, 10, 61, 121], [46, 25, 91, 64, 165, 61, 72, 45, 21, 19], [13, 16, 47, 143, 77, 177, 86, 42, 12, 31], [29, 10, 42, 49, 247, 46, 91, 64, 27, 24], [11, 14, 33, 87, 46, 266, 46, 59, 6, 15], [10, 26, 21, 49, 112, 53, 278, 17, 9, 15], [16, 17, 28, 35, 81, 80, 31, 247, 10, 44], [63, 59, 10, 17, 7, 7, 6, 6, 355, 64], [10, 138, 4, 10, 2, 10, 17, 22, 80, 319]]","[9, 0, 3, 6, 7, 5, 1, 4, 1, 2, 3, 0, 2, 3, 4, 7, 7, 2, 8, 6, 0, 1, 4, 5, 8, 6, 6, 2, 7, 3, 1, 2]","[9, 4, 6, 7, 2, 9, 6, 3, 6, 3, 3, 5, 3, 6, 2, 1, 0, 8, 0, 3, 4, 7, 6, 5, 4, 4, 4, 9, 9, 6, 8, 7]"
7,"['0.3392', '0.6420', '0.1544', '0.1568', '0.3243', '0.4923', '0.5034', '0.4941', '0.5286', '0.5474']","['0.4617', '0.4807', '0.3588', '0.2798', '0.3662', '0.3619', '0.3867', '0.4363', '0.5182', '0.4230']","['0.3392', '0.6420', '0.1544', '0.1568', '0.3243', '0.4923', '0.5034', '0.4941', '0.5286', '0.5474']","['0.3911', '0.5497', '0.2158', '0.2010', '0.3440', '0.4172', '0.4374', '0.4634', '0.5233', '0.4772']","['0.3392', '0.6420', '0.1544', '0.1568', '0.3243', '0.4923', '0.5034', '0.4941', '0.5286', '0.5474']","['0.9586', '0.9256', '0.9688', '0.9515', '0.9343', '0.9066', '0.9129', '0.9305', '0.9460', '0.9152']","[[193, 63, 25, 10, 7, 14, 10, 32, 149, 66], [9, 373, 2, 2, 0, 4, 26, 10, 35, 120], [50, 31, 94, 55, 124, 62, 95, 65, 14, 19], [17, 17, 42, 101, 49, 203, 109, 61, 12, 33], [31, 13, 36, 47, 204, 53, 120, 73, 18, 34], [13, 11, 22, 66, 35, 287, 52, 75, 5, 17], [10, 28, 17, 39, 77, 65, 297, 25, 8, 24], [13, 18, 12, 26, 55, 87, 35, 291, 6, 46], [70, 69, 8, 11, 4, 7, 4, 9, 314, 98], [12, 153, 4, 4, 2, 11, 20, 26, 45, 335]]","[2, 2, 0, 3, 5, 9, 8, 0, 9, 6, 7, 4, 7, 5, 1, 5, 0, 8, 1, 1, 6, 1, 0, 2, 1, 0, 4, 0, 2, 6, 9, 2]","[6, 7, 7, 8, 6, 7, 2, 0, 1, 1, 8, 7, 6, 3, 6, 9, 2, 0, 7, 2, 9, 5, 1, 8, 5, 9, 7, 4, 6, 7, 6, 9]"
8,"['0.3779', '0.6231', '0.2184', '0.1568', '0.3895', '0.4871', '0.5034', '0.4397', '0.4747', '0.4820']","['0.4257', '0.4993', '0.3107', '0.2837', '0.3556', '0.3472', '0.4154', '0.4600', '0.4965', '0.4660']","['0.3779', '0.6231', '0.2184', '0.1568', '0.3895', '0.4871', '0.5034', '0.4397', '0.4747', '0.4820']","['0.4004', '0.5544', '0.2565', '0.2020', '0.3718', '0.4054', '0.4552', '0.4497', '0.4854', '0.4739']","['0.3779', '0.6231', '0.2184', '0.1568', '0.3895', '0.4871', '0.5034', '0.4397', '0.4747', '0.4820']","['0.9466', '0.9330', '0.9453', '0.9524', '0.9173', '0.9014', '0.9227', '0.9438', '0.9471', '0.9373']","[[215, 48, 42, 16, 15, 15, 7, 28, 139, 44], [11, 362, 3, 2, 2, 7, 29, 8, 45, 112], [51, 25, 133, 48, 142, 63, 72, 50, 11, 14], [20, 16, 62, 101, 61, 207, 104, 51, 6, 16], [35, 11, 52, 41, 245, 57, 102, 50, 17, 19], [12, 9, 47, 64, 41, 284, 51, 58, 4, 13], [9, 21, 30, 36, 95, 66, 297, 20, 4, 12], [13, 14, 38, 29, 76, 91, 25, 259, 6, 38], [116, 68, 14, 12, 9, 12, 6, 5, 282, 70], [23, 151, 7, 7, 3, 16, 22, 34, 54, 295]]","[0, 7, 7, 7, 8, 0, 4, 1, 4, 3, 4, 9, 8, 0, 8, 3, 0, 5, 1, 1, 6, 6, 7, 4, 5, 5, 0, 4, 2, 4, 9, 4]","[6, 4, 6, 4, 5, 0, 6, 8, 4, 1, 2, 4, 5, 8, 7, 4, 4, 2, 3, 6, 9, 3, 2, 3, 5, 5, 8, 2, 2, 2, 8, 1]"
9,"['0.4165', '0.6127', '0.1921', '0.1832', '0.3943', '0.4237', '0.5203', '0.4941', '0.4209', '0.5212']","['0.4389', '0.4965', '0.3324', '0.3207', '0.3589', '0.3554', '0.3881', '0.4224', '0.5423', '0.4583']","['0.4165', '0.6127', '0.1921', '0.1832', '0.3943', '0.4237', '0.5203', '0.4941', '0.4209', '0.5212']","['0.4274', '0.5485', '0.2435', '0.2332', '0.3758', '0.3865', '0.4446', '0.4554', '0.4739', '0.4878']","['0.4165', '0.6127', '0.1921', '0.1832', '0.3943', '0.4237', '0.5203', '0.4941', '0.4209', '0.5212']","['0.9442', '0.9334', '0.9564', '0.9533', '0.9175', '0.9173', '0.9105', '0.9264', '0.9610', '0.9300']","[[237, 52, 30, 11, 13, 9, 12, 40, 109, 56], [16, 356, 4, 1, 1, 4, 33, 14, 32, 120], [54, 24, 117, 44, 139, 58, 81, 68, 9, 15], [19, 18, 48, 118, 60, 175, 121, 64, 2, 19], [37, 9, 42, 40, 248, 45, 108, 68, 11, 21], [11, 11, 43, 77, 41, 247, 65, 72, 5, 11], [8, 22, 23, 36, 100, 55, 307, 24, 5, 10], [9, 10, 26, 25, 78, 79, 32, 291, 5, 34], [125, 71, 14, 10, 9, 9, 8, 7, 250, 91], [24, 144, 5, 6, 2, 14, 24, 41, 33, 319]]","[3, 8, 9, 7, 0, 1, 7, 5, 9, 6, 9, 6, 4, 6, 3, 0, 6, 7, 3, 6, 8, 1, 3, 3, 3, 4, 1, 3, 1, 7, 8, 0]","[8, 7, 9, 5, 3, 4, 6, 9, 1, 9, 0, 3, 1, 3, 6, 6, 6, 9, 4, 6, 1, 7, 4, 5, 8, 6, 9, 3, 7, 1, 3, 6]"
