cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations
0,"['0.0000', '0.0000', '0.3188', '0.0000', '0.0083', '0.0000', '0.7285', '0.1045', '0.5236', '0.0000']","['0.0000', '0.0000', '0.1012', '0.0000', '0.2083', '0.0000', '0.1785', '0.1556', '0.2396', '0.0000']","['0.0000', '0.0000', '0.3188', '0.0000', '0.0083', '0.0000', '0.7285', '0.1045', '0.5236', '0.0000']","['0.0000', '0.0000', '0.1536', '0.0000', '0.0160', '0.0000', '0.2867', '0.1250', '0.3287', '0.0000']","['0.0000', '0.0000', '0.3188', '0.0000', '0.0083', '0.0000', '0.7285', '0.1045', '0.5236', '0.0000']","['0.9998', '1.0000', '0.7003', '1.0000', '0.9965', '1.0000', '0.6247', '0.9366', '0.8180', '0.9996']","[[0, 0, 185, 0, 0, 0, 62, 46, 317, 1], [0, 0, 227, 0, 0, 0, 178, 37, 166, 0], [0, 0, 183, 0, 2, 0, 280, 40, 69, 0], [0, 0, 183, 0, 5, 0, 338, 43, 42, 0], [0, 0, 145, 0, 5, 0, 390, 28, 31, 1], [0, 0, 257, 0, 4, 0, 275, 31, 45, 0], [0, 0, 106, 0, 6, 0, 440, 30, 22, 0], [1, 0, 171, 0, 1, 0, 303, 63, 64, 0], [0, 0, 193, 0, 1, 0, 68, 20, 310, 0], [0, 0, 159, 0, 0, 0, 131, 67, 228, 0]]",-1,-1,-1,-1
1,"['0.8020', '0.1826', '0.0854', '0.0115', '0.3517', '0.0049', '0.4603', '0.0862', '0.0017', '0.0256']","['0.2290', '0.2467', '0.1210', '0.2188', '0.1601', '0.3750', '0.2147', '0.1912', '0.1111', '0.2113']","['0.8020', '0.1826', '0.0854', '0.0115', '0.3517', '0.0049', '0.4603', '0.0862', '0.0017', '0.0256']","['0.3562', '0.2098', '0.1001', '0.0218', '0.2200', '0.0097', '0.2928', '0.1189', '0.0033', '0.0457']","['0.8020', '0.1826', '0.0854', '0.0115', '0.3517', '0.0049', '0.4603', '0.0862', '0.0017', '0.0256']","['0.6938', '0.9371', '0.9344', '0.9954', '0.7950', '0.9991', '0.8115', '0.9592', '0.9985', '0.9897']","[[490, 22, 16, 1, 41, 0, 13, 25, 0, 3], [260, 111, 47, 7, 77, 0, 78, 16, 3, 9], [160, 23, 49, 1, 159, 1, 152, 26, 1, 2], [103, 38, 43, 7, 163, 0, 214, 38, 0, 5], [78, 17, 40, 2, 211, 0, 226, 21, 0, 5], [172, 42, 28, 6, 182, 3, 148, 27, 0, 4], [40, 20, 32, 3, 198, 1, 278, 21, 0, 11], [125, 44, 55, 2, 184, 0, 132, 52, 2, 7], [429, 57, 21, 1, 29, 3, 25, 16, 1, 10], [283, 76, 74, 2, 74, 0, 29, 30, 2, 15]]","[4, 3, 2, 2, 1, 3, 7, 7, 4, 5, 5, 2, 2, 0, 1, 4]","[4, 3, 2, 2, 1, 3, 7, 7, 4, 5, 5, 2, 2, 0, 1, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
2,"['0.7136', '0.1793', '0.1098', '0.0033', '0.1567', '0.0964', '0.6175', '0.1874', '0.1892', '0.0308']","['0.2840', '0.2732', '0.1302', '0.0645', '0.1661', '0.3734', '0.2334', '0.2890', '0.1659', '0.1104']","['0.7136', '0.1793', '0.1098', '0.0033', '0.1567', '0.0964', '0.6175', '0.1874', '0.1892', '0.0308']","['0.4063', '0.2165', '0.1191', '0.0062', '0.1612', '0.1532', '0.3388', '0.2274', '0.1768', '0.0481']","['0.7136', '0.1793', '0.1098', '0.0033', '0.1567', '0.0964', '0.6175', '0.1874', '0.1892', '0.0308']","['0.7961', '0.9462', '0.9224', '0.9946', '0.9126', '0.9816', '0.7730', '0.9485', '0.8959', '0.9732']","[[436, 22, 21, 1, 22, 1, 19, 21, 57, 11], [215, 109, 54, 4, 15, 18, 71, 14, 84, 24], [97, 27, 63, 2, 94, 10, 180, 47, 38, 16], [61, 39, 68, 2, 65, 27, 224, 54, 57, 14], [50, 12, 59, 6, 94, 2, 296, 34, 38, 9], [81, 40, 50, 5, 87, 59, 209, 44, 22, 15], [12, 16, 56, 5, 75, 7, 373, 28, 19, 13], [60, 26, 54, 1, 77, 15, 153, 113, 83, 21], [329, 45, 18, 0, 7, 17, 34, 8, 112, 22], [194, 63, 41, 5, 30, 2, 39, 28, 165, 18]]","[6, 3, 4, 2, 5, 3, 5, 6, 6, 5, 3, 6, 6, 3, 2, 0]","[6, 3, 4, 2, 5, 3, 5, 6, 6, 5, 3, 6, 6, 3, 2, 0]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
3,"['0.5908', '0.1760', '0.0296', '0.0311', '0.1317', '0.1536', '0.7434', '0.2322', '0.1622', '0.1607']","['0.3617', '0.3302', '0.0794', '0.1792', '0.1474', '0.3615', '0.2101', '0.2198', '0.2370', '0.2454']","['0.5908', '0.1760', '0.0296', '0.0311', '0.1317', '0.1536', '0.7434', '0.2322', '0.1622', '0.1607']","['0.4487', '0.2296', '0.0431', '0.0530', '0.1391', '0.2156', '0.3276', '0.2258', '0.1926', '0.1942']","['0.5908', '0.1760', '0.0296', '0.0311', '0.1317', '0.1536', '0.7434', '0.2322', '0.1622', '0.1607']","['0.8818', '0.9598', '0.9637', '0.9839', '0.9154', '0.9692', '0.6872', '0.9079', '0.9429', '0.9466']","[[361, 18, 14, 5, 26, 8, 34, 68, 52, 25], [116, 107, 46, 5, 28, 17, 131, 33, 68, 57], [61, 17, 17, 15, 88, 16, 261, 72, 12, 15], [30, 20, 14, 19, 51, 55, 311, 75, 13, 23], [24, 11, 14, 11, 79, 6, 378, 44, 18, 15], [47, 23, 17, 20, 72, 94, 261, 56, 8, 14], [2, 13, 11, 10, 55, 6, 449, 40, 5, 13], [29, 14, 33, 4, 91, 25, 205, 140, 23, 39], [232, 41, 20, 8, 10, 25, 38, 34, 96, 88], [96, 60, 28, 9, 36, 8, 69, 75, 110, 94]]","[5, 5, 2, 5, 0, 5, 7, 3, 7, 6, 3, 4, 6, 7, 8, 5]","[5, 5, 2, 5, 0, 5, 7, 3, 7, 6, 3, 4, 6, 7, 8, 5]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
4,"['0.5270', '0.1809', '0.0209', '0.0769', '0.1150', '0.2173', '0.6689', '0.3002', '0.2939', '0.1060']","['0.3847', '0.3284', '0.0976', '0.1469', '0.1971', '0.3276', '0.2206', '0.2413', '0.2260', '0.2230']","['0.5270', '0.1809', '0.0209', '0.0769', '0.1150', '0.2173', '0.6689', '0.3002', '0.2939', '0.1060']","['0.4448', '0.2333', '0.0344', '0.1010', '0.1453', '0.2613', '0.3318', '0.2676', '0.2555', '0.1437']","['0.5270', '0.1809', '0.0209', '0.0769', '0.1150', '0.2173', '0.6689', '0.3002', '0.2939', '0.1060']","['0.9044', '0.9583', '0.9795', '0.9493', '0.9480', '0.9493', '0.7355', '0.8946', '0.8898', '0.9601']","[[322, 17, 4, 22, 12, 12, 31, 89, 84, 18], [94, 110, 25, 36, 17, 31, 90, 31, 132, 42], [48, 22, 12, 46, 52, 38, 235, 80, 24, 17], [28, 24, 18, 47, 35, 73, 250, 89, 25, 22], [20, 12, 10, 29, 69, 14, 337, 62, 31, 16], [31, 23, 10, 30, 47, 133, 229, 75, 21, 13], [2, 18, 7, 37, 45, 16, 404, 47, 11, 17], [19, 18, 15, 27, 54, 39, 174, 181, 55, 21], [198, 34, 10, 13, 1, 42, 33, 37, 174, 50], [75, 57, 12, 33, 18, 8, 48, 59, 213, 62]]","[5, 8, 3, 5, 6, 7, 3, 5, 3, 2, 3, 3, 8, 6, 6, 3]","[5, 8, 3, 5, 6, 7, 3, 5, 3, 2, 3, 3, 8, 6, 6, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
5,"['0.4141', '0.1891', '0.0645', '0.1031', '0.2000', '0.2729', '0.6093', '0.2322', '0.2618', '0.1863']","['0.4274', '0.3594', '0.1125', '0.1486', '0.1676', '0.3224', '0.2334', '0.2778', '0.2558', '0.2633']","['0.4141', '0.1891', '0.0645', '0.1031', '0.2000', '0.2729', '0.6093', '0.2322', '0.2618', '0.1863']","['0.4206', '0.2478', '0.0819', '0.1217', '0.1824', '0.2956', '0.3375', '0.2529', '0.2588', '0.2182']","['0.4141', '0.1891', '0.0645', '0.1031', '0.2000', '0.2729', '0.6093', '0.2322', '0.2618', '0.1863']","['0.9371', '0.9620', '0.9462', '0.9330', '0.8896', '0.9349', '0.7759', '0.9326', '0.9166', '0.9437']","[[253, 12, 17, 22, 33, 29, 26, 86, 106, 27], [71, 115, 66, 43, 37, 22, 84, 22, 86, 62], [27, 21, 37, 49, 111, 50, 196, 49, 23, 11], [7, 21, 35, 63, 83, 101, 214, 48, 15, 24], [13, 11, 24, 27, 120, 20, 307, 39, 23, 16], [9, 15, 21, 70, 101, 167, 172, 31, 12, 14], [1, 13, 29, 42, 82, 27, 368, 22, 5, 15], [11, 16, 30, 41, 101, 50, 148, 140, 31, 35], [144, 34, 25, 30, 15, 41, 21, 26, 155, 101], [56, 62, 45, 37, 33, 11, 41, 41, 150, 109]]","[4, 2, 3, 4, 9, 4, 3, 5, 2, 8, 6, 6, 7, 7, 8, 3]","[4, 2, 3, 4, 9, 4, 3, 5, 2, 8, 6, 6, 7, 7, 8, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
6,"['0.4861', '0.3766', '0.0557', '0.0720', '0.1667', '0.3529', '0.3361', '0.3499', '0.3936', '0.1333']","['0.4024', '0.2672', '0.1356', '0.2085', '0.2203', '0.2838', '0.3142', '0.2651', '0.2346', '0.2532']","['0.4861', '0.3766', '0.0557', '0.0720', '0.1667', '0.3529', '0.3361', '0.3499', '0.3936', '0.1333']","['0.4403', '0.3126', '0.0790', '0.1071', '0.1898', '0.3146', '0.3248', '0.3016', '0.2940', '0.1747']","['0.4861', '0.3766', '0.0557', '0.0720', '0.1667', '0.3529', '0.3361', '0.3499', '0.3936', '0.1333']","['0.9182', '0.8835', '0.9624', '0.9690', '0.9344', '0.8988', '0.9179', '0.8916', '0.8595', '0.9575']","[[297, 40, 6, 3, 8, 16, 11, 85, 131, 14], [84, 229, 15, 17, 16, 26, 24, 23, 124, 50], [42, 69, 32, 30, 75, 88, 80, 93, 47, 18], [22, 93, 34, 44, 49, 138, 73, 92, 37, 29], [17, 55, 40, 20, 100, 77, 140, 89, 48, 14], [32, 51, 15, 35, 68, 216, 61, 91, 28, 15], [1, 85, 51, 32, 61, 64, 203, 60, 22, 25], [19, 44, 18, 17, 60, 86, 36, 211, 85, 27], [155, 80, 8, 5, 2, 45, 6, 20, 233, 38], [69, 111, 17, 8, 15, 5, 12, 32, 238, 78]]","[0, 0, 4, 8, 3, 1, 8, 7, 5, 8, 2, 0, 5, 0, 0, 0]","[0, 0, 4, 8, 3, 1, 8, 7, 5, 8, 2, 0, 5, 0, 0, 0]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
7,"['0.5221', '0.2632', '0.0331', '0.1408', '0.2117', '0.2680', '0.5762', '0.3184', '0.2382', '0.1880']","['0.3857', '0.3524', '0.1275', '0.2092', '0.1830', '0.3424', '0.2522', '0.2936', '0.2681', '0.2582']","['0.5221', '0.2632', '0.0331', '0.1408', '0.2117', '0.2680', '0.5762', '0.3184', '0.2382', '0.1880']","['0.4437', '0.3013', '0.0526', '0.1683', '0.1963', '0.3006', '0.3508', '0.3055', '0.2522', '0.2176']","['0.5221', '0.2632', '0.0331', '0.1408', '0.2117', '0.2680', '0.5762', '0.3184', '0.2382', '0.1880']","['0.9057', '0.9455', '0.9760', '0.9397', '0.8950', '0.9415', '0.8087', '0.9144', '0.9288', '0.9416']","[[319, 21, 11, 7, 26, 14, 29, 79, 83, 22], [101, 160, 28, 32, 40, 12, 79, 25, 65, 66], [47, 24, 19, 55, 105, 50, 172, 67, 21, 14], [24, 24, 16, 86, 82, 90, 183, 67, 13, 26], [19, 16, 9, 38, 127, 32, 263, 56, 24, 16], [32, 18, 10, 73, 97, 164, 137, 56, 13, 12], [2, 15, 13, 52, 82, 24, 348, 40, 4, 24], [22, 22, 11, 28, 88, 57, 115, 192, 28, 40], [183, 55, 12, 19, 12, 30, 16, 28, 141, 96], [78, 99, 20, 21, 35, 6, 38, 44, 134, 110]]","[0, 0, 4, 2, 2, 1, 6, 4, 7, 1, 9, 4, 9, 7, 3, 4]","[0, 0, 4, 2, 2, 1, 6, 4, 7, 1, 9, 4, 9, 7, 3, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
8,"['0.4664', '0.3487', '0.0470', '0.0818', '0.2183', '0.2843', '0.5811', '0.3051', '0.2669', '0.1265']","['0.4095', '0.3033', '0.1598', '0.2212', '0.1812', '0.3308', '0.2505', '0.2734', '0.2655', '0.2534']","['0.4664', '0.3487', '0.0470', '0.0818', '0.2183', '0.2843', '0.5811', '0.3051', '0.2669', '0.1265']","['0.4361', '0.3244', '0.0727', '0.1195', '0.1980', '0.3058', '0.3501', '0.2884', '0.2662', '0.1688']","['0.4664', '0.3487', '0.0470', '0.0818', '0.2183', '0.2843', '0.5811', '0.3051', '0.2669', '0.1265']","['0.9237', '0.9097', '0.9738', '0.9673', '0.8904', '0.9347', '0.8054', '0.9094', '0.9192', '0.9597']","[[285, 45, 12, 4, 25, 20, 26, 78, 101, 15], [77, 212, 22, 11, 42, 13, 76, 29, 74, 52], [40, 36, 27, 30, 105, 56, 177, 67, 25, 11], [17, 46, 21, 50, 87, 99, 185, 74, 16, 16], [14, 23, 15, 21, 131, 34, 268, 58, 23, 13], [23, 29, 12, 44, 101, 174, 152, 52, 16, 9], [1, 31, 13, 36, 82, 29, 351, 41, 7, 13], [20, 34, 19, 13, 102, 67, 106, 184, 29, 29], [151, 105, 8, 7, 18, 29, 23, 33, 158, 60], [68, 138, 20, 10, 30, 5, 37, 57, 146, 74]]","[1, 4, 7, 7, 4, 7, 4, 2, 5, 2, 2, 7, 0, 9, 2, 5]","[1, 4, 7, 7, 4, 7, 4, 2, 5, 2, 2, 7, 0, 9, 2, 5]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
9,"['0.4861', '0.3059', '0.1202', '0.0687', '0.3433', '0.2859', '0.4437', '0.1774', '0.3547', '0.1009']","['0.3783', '0.3698', '0.1127', '0.2456', '0.1802', '0.3253', '0.2833', '0.3754', '0.2652', '0.2622']","['0.4861', '0.3059', '0.1202', '0.0687', '0.3433', '0.2859', '0.4437', '0.1774', '0.3547', '0.1009']","['0.4255', '0.3348', '0.1164', '0.1074', '0.2364', '0.3043', '0.3458', '0.2410', '0.3035', '0.1457']","['0.4861', '0.3059', '0.1202', '0.0687', '0.3433', '0.2859', '0.4437', '0.1774', '0.3547', '0.1009']","['0.9094', '0.9412', '0.8999', '0.9761', '0.8265', '0.9326', '0.8744', '0.9670', '0.8924', '0.9693']","[[297, 28, 42, 1, 44, 14, 15, 37, 124, 9], [90, 186, 77, 9, 53, 11, 34, 10, 100, 38], [48, 19, 69, 24, 175, 57, 120, 20, 30, 12], [26, 23, 79, 42, 149, 105, 113, 29, 21, 24], [20, 17, 60, 16, 206, 36, 186, 17, 33, 9], [32, 18, 44, 28, 159, 175, 110, 23, 16, 7], [1, 22, 85, 27, 130, 40, 268, 7, 9, 15], [28, 18, 68, 14, 163, 60, 70, 107, 57, 18], [164, 71, 26, 5, 26, 29, 13, 14, 210, 34], [79, 101, 62, 5, 38, 11, 17, 21, 192, 59]]","[8, 8, 5, 8, 8, 0, 7, 1, 4, 5, 5, 2, 0, 8, 0, 2]","[8, 8, 5, 8, 8, 0, 7, 1, 4, 5, 5, 2, 0, 8, 0, 2]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
