cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations
0,"['0.0049', '0.5329', '0.0122', '0.0131', '0.2583', '0.0359', '0.1093', '0.2222', '0.6014', '0.0940']","['0.2000', '0.1843', '0.1556', '0.2353', '0.1938', '0.2095', '0.2694', '0.1491', '0.1871', '0.2806']","['0.0049', '0.5329', '0.0122', '0.0131', '0.2583', '0.0359', '0.1093', '0.2222', '0.6014', '0.0940']","['0.0096', '0.2739', '0.0226', '0.0248', '0.2214', '0.0614', '0.1555', '0.1784', '0.2854', '0.1408']","['0.0049', '0.5329', '0.0122', '0.0131', '0.2583', '0.0359', '0.1093', '0.2222', '0.6014', '0.0940']","['0.9978', '0.7341', '0.9930', '0.9952', '0.8806', '0.9846', '0.9668', '0.8583', '0.7139', '0.9740']","[[3, 85, 13, 3, 58, 20, 4, 24, 380, 21], [0, 324, 0, 0, 19, 3, 6, 50, 175, 31], [3, 150, 7, 4, 103, 9, 28, 91, 171, 8], [1, 182, 2, 8, 100, 11, 40, 139, 119, 9], [3, 146, 3, 1, 155, 8, 26, 143, 103, 12], [2, 136, 6, 8, 96, 22, 46, 94, 194, 8], [2, 213, 2, 2, 67, 12, 66, 151, 75, 14], [1, 127, 8, 4, 150, 6, 19, 134, 132, 22], [0, 136, 1, 2, 36, 14, 8, 23, 356, 16], [0, 259, 3, 2, 16, 0, 2, 50, 198, 55]]",-1,-1,-1,-1
1,"['0.0196', '0.1908', '0.2073', '0.3781', '0.0900', '0.0474', '0.3791', '0.0017', '0.6014', '0.0308']","['0.2353', '0.2843', '0.1534', '0.1568', '0.1403', '0.2929', '0.2418', '0.5000', '0.1977', '0.3103']","['0.0196', '0.1908', '0.2073', '0.3781', '0.0900', '0.0474', '0.3791', '0.0017', '0.6014', '0.0308']","['0.0363', '0.2283', '0.1763', '0.2217', '0.1096', '0.0816', '0.2953', '0.0033', '0.2975', '0.0560']","['0.0196', '0.1908', '0.2073', '0.3781', '0.0900', '0.0474', '0.3791', '0.0017', '0.6014', '0.0308']","['0.9928', '0.9458', '0.8789', '0.7695', '0.9387', '0.9870', '0.8669', '0.9998', '0.7328', '0.9926']","[[12, 18, 119, 43, 33, 9, 40, 0, 333, 4], [3, 116, 28, 120, 34, 5, 98, 0, 196, 8], [8, 25, 119, 141, 37, 8, 98, 0, 136, 2], [3, 28, 81, 231, 21, 16, 110, 1, 119, 1], [8, 17, 92, 224, 54, 7, 100, 0, 90, 8], [1, 13, 90, 156, 31, 29, 109, 0, 181, 2], [5, 26, 62, 172, 37, 7, 229, 0, 64, 2], [6, 23, 113, 210, 48, 5, 69, 1, 120, 8], [2, 63, 34, 66, 22, 13, 31, 0, 356, 5], [3, 79, 38, 110, 68, 0, 63, 0, 206, 18]]","[0, 8, 1, 8, 3, 6, 5, 8, 4, 9, 2, 9, 4, 1, 4, 6]","[5, 6, 2, 8, 3, 9, 2, 2, 5, 2, 8, 8, 2, 2, 8, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 2. 0. 0. 1. 1. 0. 0. 1. 1.]
 [0. 0. 0. 1. 0. 0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 1. 0. 0. 0. 1. 1.]
 [0. 0. 0. 0. 0. 0. 1. 0. 0. 0.]]",16
2,"['0.4059', '0.2434', '0.2944', '0.0900', '0.0633', '0.0931', '0.2881', '0.0614', '0.3581', '0.2103']","['0.2768', '0.2896', '0.1019', '0.2191', '0.2159', '0.2244', '0.2944', '0.1259', '0.2385', '0.2562']","['0.4059', '0.2434', '0.2944', '0.0900', '0.0633', '0.0931', '0.2881', '0.0614', '0.3581', '0.2103']","['0.3291', '0.2645', '0.1514', '0.1276', '0.0979', '0.1316', '0.2912', '0.0825', '0.2863', '0.2310']","['0.4059', '0.2434', '0.2944', '0.0900', '0.0633', '0.0931', '0.2881', '0.0614', '0.3581', '0.2103']","['0.8798', '0.9327', '0.7256', '0.9636', '0.9744', '0.9634', '0.9227', '0.9524', '0.8748', '0.9341']","[[248, 36, 128, 1, 9, 13, 14, 10, 116, 36], [48, 148, 110, 17, 9, 19, 32, 20, 126, 79], [131, 22, 169, 27, 26, 23, 74, 43, 34, 25], [60, 37, 207, 55, 9, 40, 82, 38, 55, 28], [70, 25, 236, 26, 38, 27, 58, 53, 31, 36], [70, 24, 182, 42, 15, 57, 87, 11, 101, 23], [51, 44, 145, 40, 31, 20, 174, 46, 16, 37], [52, 34, 271, 26, 23, 17, 38, 37, 68, 37], [113, 72, 73, 10, 4, 33, 9, 10, 212, 56], [53, 69, 137, 7, 12, 5, 23, 26, 130, 123]]","[5, 4, 1, 5, 4, 0, 9, 9, 3, 1, 3, 1, 8, 7, 6, 1]","[2, 2, 3, 8, 4, 4, 0, 2, 6, 3, 2, 3, 9, 4, 0, 4]","[[0. 0. 0. 0. 0. 0. 1. 0. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 2. 0. 1. 2. 2. 0. 0. 1. 2.]
 [0. 3. 0. 1. 0. 0. 1. 0. 0. 0.]
 [1. 1. 0. 0. 1. 0. 0. 1. 0. 0.]
 [1. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
 [0. 0. 0. 1. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 1. 1. 0. 0. 1. 1.]
 [0. 0. 0. 0. 0. 0. 1. 0. 1. 0.]]",32
3,"['0.2700', '0.3734', '0.2596', '0.0917', '0.1150', '0.0539', '0.3195', '0.1725', '0.3598', '0.1060']","['0.3340', '0.2415', '0.1330', '0.1965', '0.1243', '0.1941', '0.2570', '0.1683', '0.2497', '0.2897']","['0.2700', '0.3734', '0.2596', '0.0917', '0.1150', '0.0539', '0.3195', '0.1725', '0.3598', '0.1060']","['0.2986', '0.2933', '0.1759', '0.1250', '0.1195', '0.0844', '0.2849', '0.1704', '0.2948', '0.1552']","['0.2700', '0.3734', '0.2596', '0.0917', '0.1150', '0.0539', '0.3195', '0.1725', '0.3598', '0.1060']","['0.9389', '0.8678', '0.8210', '0.9575', '0.9100', '0.9746', '0.8966', '0.9048', '0.8817', '0.9719']","[[165, 72, 144, 5, 42, 13, 19, 11, 120, 20], [22, 227, 48, 26, 52, 10, 48, 31, 110, 34], [69, 61, 149, 28, 59, 17, 83, 73, 33, 2], [34, 75, 138, 56, 38, 36, 100, 82, 46, 6], [36, 69, 143, 20, 69, 16, 76, 128, 34, 9], [34, 48, 136, 50, 38, 33, 118, 42, 105, 8], [31, 73, 92, 35, 55, 10, 193, 87, 17, 11], [23, 53, 160, 31, 82, 11, 54, 104, 65, 20], [59, 119, 48, 16, 31, 22, 19, 23, 213, 42], [21, 143, 62, 18, 89, 2, 41, 37, 110, 62]]","[1, 6, 0, 1, 9, 6, 6, 7, 4, 9, 8, 2, 6, 3, 8, 9]","[4, 7, 3, 2, 4, 5, 8, 0, 2, 2, 4, 6, 7, 2, 2, 6]","[[0. 0. 0. 0. 0. 0. 1. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 3. 0. 2. 3. 2. 0. 0. 2. 3.]
 [1. 3. 0. 1. 0. 0. 1. 0. 0. 0.]
 [1. 2. 0. 0. 1. 0. 0. 1. 1. 1.]
 [1. 0. 0. 0. 1. 0. 1. 0. 0. 0.]
 [0. 0. 1. 1. 0. 0. 0. 0. 1. 1.]
 [0. 0. 0. 0. 0. 0. 2. 0. 0. 0.]
 [0. 0. 1. 0. 1. 1. 1. 0. 1. 1.]
 [0. 0. 0. 0. 0. 0. 1. 0. 1. 0.]]",48
4,"['0.3142', '0.3355', '0.1934', '0.1097', '0.0500', '0.0899', '0.2434', '0.2139', '0.3277', '0.2530']","['0.3200', '0.2372', '0.1274', '0.1754', '0.1007', '0.2045', '0.2702', '0.1709', '0.2369', '0.2458']","['0.3142', '0.3355', '0.1934', '0.1097', '0.0500', '0.0899', '0.2434', '0.2139', '0.3277', '0.2530']","['0.3171', '0.2779', '0.1536', '0.1349', '0.0668', '0.1249', '0.2561', '0.1900', '0.2750', '0.2494']","['0.3142', '0.3355', '0.1934', '0.1097', '0.0500', '0.0899', '0.2434', '0.2139', '0.3277', '0.2530']","['0.9243', '0.8783', '0.8599', '0.9415', '0.9504', '0.9603', '0.9264', '0.8840', '0.8844', '0.9162']","[[192, 57, 93, 8, 31, 33, 15, 17, 108, 57], [27, 204, 34, 34, 26, 17, 21, 43, 115, 87], [88, 63, 111, 39, 28, 29, 68, 86, 37, 25], [42, 76, 115, 67, 21, 40, 81, 89, 47, 33], [51, 81, 125, 23, 30, 23, 47, 156, 26, 38], [41, 48, 111, 52, 20, 55, 99, 63, 93, 30], [36, 69, 81, 61, 20, 12, 147, 115, 18, 45], [34, 46, 127, 47, 54, 19, 33, 129, 65, 49], [66, 94, 26, 22, 25, 38, 12, 25, 194, 90], [23, 122, 48, 29, 43, 3, 21, 32, 116, 148]]","[1, 3, 6, 3, 2, 2, 7, 1, 8, 7, 0, 7, 7, 9, 1, 8]","[4, 2, 6, 3, 2, 4, 2, 2, 2, 6, 4, 6, 6, 4, 4, 4]","[[0. 0. 0. 0. 0. 0. 1. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 4. 1. 3. 3. 2. 0. 1. 3. 3.]
 [1. 3. 0. 2. 0. 0. 1. 0. 0. 0.]
 [2. 4. 1. 0. 1. 0. 0. 1. 2. 2.]
 [1. 0. 0. 0. 1. 0. 1. 0. 0. 0.]
 [0. 0. 1. 1. 0. 0. 1. 3. 1. 1.]
 [0. 0. 0. 0. 0. 0. 2. 0. 0. 0.]
 [0. 0. 1. 0. 1. 1. 1. 0. 1. 1.]
 [0. 0. 0. 0. 0. 0. 1. 0. 1. 0.]]",64
5,"['0.3552', '0.3322', '0.1394', '0.1571', '0.0900', '0.0180', '0.3129', '0.1957', '0.3953', '0.2325']","['0.3385', '0.2393', '0.1426', '0.1939', '0.1109', '0.1100', '0.2365', '0.2138', '0.2356', '0.2576']","['0.3552', '0.3322', '0.1394', '0.1571', '0.0900', '0.0180', '0.3129', '0.1957', '0.3953', '0.2325']","['0.3466', '0.2782', '0.1410', '0.1736', '0.0994', '0.0309', '0.2694', '0.2043', '0.2953', '0.2444']","['0.3552', '0.3322', '0.1394', '0.1571', '0.0900', '0.0180', '0.3129', '0.1957', '0.3953', '0.2325']","['0.9213', '0.8809', '0.9114', '0.9260', '0.9198', '0.9835', '0.8870', '0.9196', '0.8597', '0.9276']","[[217, 58, 64, 13, 36, 10, 24, 16, 122, 51], [22, 202, 21, 28, 35, 6, 54, 23, 135, 82], [91, 70, 80, 50, 44, 9, 94, 71, 45, 20], [49, 69, 79, 96, 43, 19, 101, 61, 64, 30], [50, 83, 77, 36, 54, 11, 81, 131, 40, 37], [47, 43, 76, 83, 43, 11, 123, 38, 122, 26], [38, 70, 49, 75, 53, 6, 189, 62, 28, 34], [40, 50, 76, 57, 77, 13, 65, 118, 71, 36], [64, 83, 17, 24, 40, 14, 24, 16, 234, 76], [23, 116, 22, 33, 62, 1, 44, 16, 132, 136]]","[7, 8, 7, 5, 6, 8, 2, 0, 3, 1, 0, 7, 6, 7, 1, 4]","[8, 4, 2, 5, 5, 5, 6, 7, 2, 2, 2, 6, 5, 2, 9, 2]","[[0. 0. 0. 0. 0. 0. 1. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 5. 1. 4. 4. 2. 0. 3. 3. 3.]
 [1. 3. 0. 2. 0. 0. 1. 0. 0. 0.]
 [2. 4. 1. 0. 1. 0. 0. 1. 3. 2.]
 [1. 0. 0. 0. 1. 1. 3. 0. 1. 0.]
 [0. 0. 2. 1. 0. 0. 1. 4. 1. 1.]
 [1. 0. 0. 0. 0. 0. 2. 0. 0. 0.]
 [0. 0. 1. 0. 1. 1. 1. 1. 1. 1.]
 [0. 1. 0. 0. 0. 0. 1. 0. 1. 0.]]",80
6,"['0.2684', '0.3388', '0.1899', '0.1457', '0.0783', '0.0621', '0.2616', '0.2471', '0.3581', '0.2410']","['0.3770', '0.2227', '0.1432', '0.1809', '0.1193', '0.1659', '0.2358', '0.2126', '0.2497', '0.2592']","['0.2684', '0.3388', '0.1899', '0.1457', '0.0783', '0.0621', '0.2616', '0.2471', '0.3581', '0.2410']","['0.3136', '0.2688', '0.1633', '0.1614', '0.0946', '0.0904', '0.2480', '0.2285', '0.2942', '0.2498']","['0.2684', '0.3388', '0.1899', '0.1457', '0.0783', '0.0621', '0.2616', '0.2471', '0.3581', '0.2410']","['0.9497', '0.8667', '0.8798', '0.9252', '0.9357', '0.9646', '0.9051', '0.8977', '0.8822', '0.9256']","[[164, 71, 96, 16, 30, 27, 23, 23, 113, 48], [10, 206, 37, 39, 34, 21, 46, 31, 101, 83], [66, 74, 109, 49, 32, 22, 76, 90, 39, 17], [39, 75, 98, 89, 39, 27, 91, 77, 50, 26], [38, 82, 95, 34, 47, 21, 60, 152, 29, 42], [25, 48, 98, 66, 35, 38, 109, 49, 118, 26], [25, 72, 67, 79, 48, 11, 158, 76, 26, 42], [25, 55, 96, 58, 44, 20, 52, 149, 64, 40], [35, 97, 35, 29, 29, 38, 19, 19, 212, 79], [8, 145, 30, 33, 56, 4, 36, 35, 97, 141]]","[2, 7, 4, 7, 6, 4, 2, 7, 7, 4, 4, 0, 1, 3, 4, 6]","[4, 4, 0, 0, 6, 8, 4, 8, 5, 3, 2, 7, 4, 4, 8, 2]","[[0. 0. 0. 0. 1. 0. 1. 2. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 5. 1. 4. 5. 2. 1. 3. 3. 3.]
 [1. 3. 0. 2. 1. 0. 1. 0. 0. 0.]
 [2. 5. 3. 1. 1. 0. 0. 2. 3. 2.]
 [1. 0. 0. 0. 1. 1. 3. 1. 1. 0.]
 [0. 0. 2. 1. 0. 0. 2. 4. 1. 1.]
 [2. 0. 0. 0. 0. 0. 2. 0. 0. 0.]
 [0. 0. 1. 0. 3. 1. 1. 2. 1. 1.]
 [0. 1. 0. 0. 0. 0. 1. 0. 1. 0.]]",96
7,"['0.2455', '0.2961', '0.1707', '0.1342', '0.0650', '0.0588', '0.2268', '0.2670', '0.4172', '0.2667']","['0.3659', '0.2045', '0.1315', '0.1806', '0.1211', '0.1525', '0.2272', '0.2277', '0.2391', '0.2557']","['0.2455', '0.2961', '0.1707', '0.1342', '0.0650', '0.0588', '0.2268', '0.2670', '0.4172', '0.2667']","['0.2938', '0.2419', '0.1486', '0.1540', '0.0846', '0.0849', '0.2270', '0.2458', '0.3040', '0.2611']","['0.2455', '0.2961', '0.1707', '0.1342', '0.0650', '0.0588', '0.2268', '0.2670', '0.4172', '0.2667']","['0.9518', '0.8702', '0.8808', '0.9310', '0.9476', '0.9629', '0.9136', '0.8988', '0.8547', '0.9162']","[[150, 62, 96, 13, 16, 25, 19, 25, 146, 59], [12, 180, 41, 29, 23, 22, 36, 32, 143, 90], [64, 86, 98, 47, 27, 20, 74, 89, 46, 23], [31, 77, 92, 82, 44, 29, 84, 81, 58, 33], [32, 89, 92, 39, 39, 21, 51, 150, 42, 45], [27, 50, 87, 56, 34, 36, 105, 56, 133, 28], [28, 84, 75, 86, 46, 11, 137, 63, 29, 45], [23, 52, 84, 57, 41, 21, 49, 161, 69, 46], [31, 80, 32, 21, 18, 40, 16, 22, 247, 85], [12, 120, 48, 24, 34, 11, 32, 28, 120, 156]]","[1, 7, 1, 7, 8, 7, 0, 2, 6, 4, 1, 1, 2, 2, 6, 4]","[4, 1, 3, 7, 4, 2, 8, 7, 4, 2, 0, 0, 4, 7, 7, 5]","[[0. 2. 0. 0. 1. 0. 1. 2. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
 [1. 5. 1. 4. 6. 2. 1. 4. 3. 3.]
 [1. 4. 0. 2. 1. 0. 1. 0. 0. 0.]
 [2. 6. 4. 1. 1. 0. 1. 2. 4. 2.]
 [1. 0. 0. 0. 2. 1. 3. 1. 1. 0.]
 [0. 0. 2. 1. 0. 0. 2. 4. 1. 1.]
 [2. 0. 2. 0. 0. 0. 3. 1. 0. 0.]
 [1. 0. 1. 0. 3. 1. 1. 2. 1. 1.]
 [0. 1. 0. 0. 0. 0. 1. 0. 1. 0.]]",112
8,"['0.2422', '0.2911', '0.2369', '0.1244', '0.0633', '0.0425', '0.2500', '0.2653', '0.4020', '0.2103']","['0.3482', '0.2065', '0.1381', '0.1747', '0.1191', '0.1256', '0.2160', '0.2428', '0.2461', '0.2752']","['0.2422', '0.2911', '0.2369', '0.1244', '0.0633', '0.0425', '0.2500', '0.2653', '0.4020', '0.2103']","['0.2857', '0.2416', '0.1745', '0.1453', '0.0827', '0.0635', '0.2318', '0.2536', '0.3053', '0.2384']","['0.2422', '0.2911', '0.2369', '0.1244', '0.0633', '0.0425', '0.2500', '0.2653', '0.4020', '0.2103']","['0.9486', '0.8739', '0.8435', '0.9334', '0.9480', '0.9664', '0.8984', '0.9075', '0.8652', '0.9402']","[[148, 60, 122, 11, 23, 33, 31, 26, 127, 30], [19, 177, 51, 33, 21, 19, 57, 36, 127, 68], [57, 81, 136, 33, 32, 15, 81, 79, 43, 17], [36, 66, 131, 76, 36, 22, 94, 74, 55, 21], [37, 87, 130, 35, 38, 21, 56, 127, 37, 32], [24, 48, 115, 54, 44, 26, 104, 51, 126, 20], [27, 88, 94, 79, 37, 8, 151, 57, 28, 35], [24, 50, 102, 56, 33, 26, 57, 160, 63, 32], [36, 80, 48, 23, 24, 30, 25, 19, 238, 69], [17, 120, 56, 35, 31, 7, 43, 30, 123, 123]]","[7, 1, 3, 9, 7, 1, 6, 2, 0, 6, 9, 4, 0, 9, 8, 9]","[0, 2, 5, 4, 2, 0, 7, 4, 2, 5, 0, 6, 2, 4, 4, 6]","[[0. 3. 0. 0. 1. 0. 1. 3. 0. 2.]
 [0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
 [3. 6. 1. 4. 6. 2. 1. 5. 3. 3.]
 [1. 4. 0. 2. 1. 0. 1. 0. 0. 0.]
 [2. 6. 5. 1. 1. 0. 1. 2. 5. 4.]
 [1. 0. 0. 1. 2. 1. 4. 1. 1. 0.]
 [0. 0. 2. 1. 1. 0. 2. 4. 1. 2.]
 [2. 0. 2. 0. 0. 0. 4. 1. 0. 0.]
 [1. 0. 1. 0. 3. 1. 1. 2. 1. 1.]
 [0. 1. 0. 0. 0. 0. 1. 0. 1. 0.]]",128
9,"['0.3552', '0.2303', '0.2282', '0.1375', '0.0600', '0.0703', '0.2086', '0.2836', '0.2905', '0.2034']","['0.2940', '0.2473', '0.1268', '0.1564', '0.1065', '0.1569', '0.2188', '0.2135', '0.2464', '0.2711']","['0.3552', '0.2303', '0.2282', '0.1375', '0.0600', '0.0703', '0.2086', '0.2836', '0.2905', '0.2034']","['0.3217', '0.2385', '0.1630', '0.1463', '0.0768', '0.0971', '0.2136', '0.2436', '0.2667', '0.2324']","['0.3552', '0.2303', '0.2282', '0.1375', '0.0600', '0.0703', '0.2086', '0.2836', '0.2905', '0.2034']","['0.9033', '0.9210', '0.8338', '0.9159', '0.9441', '0.9571', '0.9166', '0.8833', '0.9027', '0.9409']","[[217, 46, 123, 13, 23, 34, 25, 24, 79, 27], [50, 140, 58, 53, 16, 34, 47, 42, 98, 70], [83, 41, 131, 47, 38, 12, 68, 105, 31, 18], [51, 38, 131, 84, 36, 39, 81, 84, 45, 22], [53, 49, 130, 49, 36, 20, 42, 163, 24, 34], [54, 23, 129, 55, 47, 43, 91, 65, 88, 17], [38, 44, 93, 105, 33, 7, 126, 95, 19, 44], [41, 34, 123, 49, 37, 23, 48, 171, 47, 30], [97, 64, 54, 28, 29, 52, 23, 15, 172, 58], [54, 87, 61, 54, 43, 10, 25, 37, 95, 119]]","[5, 4, 3, 4, 8, 5, 0, 0, 4, 3, 1, 3, 4, 8, 7, 8]","[0, 0, 3, 6, 6, 2, 3, 2, 1, 2, 6, 0, 4, 5, 3, 5]","[[0. 3. 0. 1. 2. 1. 1. 3. 0. 2.]
 [0. 0. 0. 0. 1. 0. 0. 1. 0. 0.]
 [4. 6. 1. 5. 6. 3. 1. 5. 3. 3.]
 [2. 4. 0. 3. 1. 0. 1. 1. 0. 0.]
 [2. 6. 5. 1. 2. 0. 1. 2. 5. 4.]
 [1. 0. 0. 1. 2. 1. 4. 1. 3. 0.]
 [0. 1. 2. 1. 2. 0. 2. 4. 2. 2.]
 [2. 0. 2. 0. 0. 0. 4. 1. 0. 0.]
 [1. 0. 1. 0. 3. 1. 1. 2. 1. 1.]
 [0. 1. 0. 0. 0. 0. 1. 0. 1. 0.]]",144
