cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations
0,"['0.9396', '0.9504', '0.8309', '0.8364', '0.7173', '0.5527', '0.8533', '0.7931', '0.4228', '0.7004']","['0.7978', '0.7234', '0.7567', '0.8205', '0.6744', '0.7732', '0.8539', '0.7762', '0.6919', '0.7177']","['0.9396', '0.9504', '0.8309', '0.8364', '0.7173', '0.5527', '0.8533', '0.7931', '0.4228', '0.7004']","['0.8629', '0.8215', '0.7920', '0.8284', '0.6952', '0.6446', '0.8536', '0.7845', '0.5249', '0.7089']","['0.9396', '0.9504', '0.8309', '0.8364', '0.7173', '0.5527', '0.8533', '0.7931', '0.4228', '0.7004']","['0.9742', '0.9589', '0.9706', '0.9793', '0.9618', '0.9821', '0.9835', '0.9746', '0.9793', '0.9691']","[[2568, 8, 60, 17, 10, 3, 36, 24, 7, 0], [0, 2701, 11, 12, 1, 32, 1, 30, 53, 1], [57, 88, 2304, 33, 29, 2, 159, 76, 24, 1], [51, 62, 64, 2377, 27, 38, 5, 132, 4, 82], [9, 40, 113, 8, 1997, 21, 149, 8, 92, 347], [315, 87, 39, 260, 94, 1541, 41, 60, 264, 87], [41, 28, 293, 1, 16, 7, 2420, 0, 30, 0], [27, 352, 17, 30, 4, 11, 0, 2223, 11, 128], [131, 316, 142, 68, 446, 310, 20, 34, 1172, 133], [20, 52, 2, 91, 337, 28, 3, 277, 37, 1980]]",-1,-1,-1,-1
1,"['0.9605', '0.9370', '0.8633', '0.8723', '0.8258', '0.8268', '0.9520', '0.9222', '0.7204', '0.7605']","['0.8877', '0.8939', '0.9261', '0.9034', '0.8421', '0.7891', '0.8732', '0.8543', '0.8151', '0.8545']","['0.9605', '0.9370', '0.8633', '0.8723', '0.8258', '0.8268', '0.9520', '0.9222', '0.7204', '0.7605']","['0.9227', '0.9150', '0.8936', '0.8876', '0.8339', '0.8075', '0.9109', '0.8869', '0.7648', '0.8048']","['0.9605', '0.9370', '0.8633', '0.8723', '0.8258', '0.8268', '0.9520', '0.9222', '0.7204', '0.7605']","['0.9869', '0.9874', '0.9924', '0.9895', '0.9829', '0.9756', '0.9844', '0.9825', '0.9820', '0.9855']","[[2625, 5, 8, 12, 8, 26, 39, 2, 8, 0], [0, 2663, 6, 14, 3, 39, 3, 50, 61, 3], [43, 27, 2394, 17, 29, 14, 170, 51, 28, 0], [37, 29, 49, 2479, 10, 111, 18, 52, 28, 29], [13, 11, 32, 2, 2299, 17, 111, 6, 105, 188], [137, 7, 9, 136, 40, 2305, 40, 6, 99, 9], [37, 13, 26, 1, 10, 28, 2700, 0, 21, 0], [12, 68, 10, 1, 3, 14, 0, 2585, 15, 95], [38, 136, 50, 52, 92, 329, 10, 26, 1997, 42], [15, 20, 1, 30, 236, 38, 1, 248, 88, 2150]]","[8, 5, 8, 8, 9, 5, 5, 8, 8, 5, 8, 5, 5, 8, 6, 3]","[8, 5, 8, 8, 9, 5, 5, 8, 8, 5, 8, 5, 5, 8, 6, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
2,"['0.9557', '0.9602', '0.9073', '0.9008', '0.9019', '0.8601', '0.9799', '0.9222', '0.7987', '0.8475']","['0.9423', '0.9356', '0.9413', '0.9123', '0.8677', '0.8534', '0.8979', '0.9020', '0.9237', '0.8650']","['0.9557', '0.9602', '0.9073', '0.9008', '0.9019', '0.8601', '0.9799', '0.9222', '0.7987', '0.8475']","['0.9490', '0.9477', '0.9240', '0.9065', '0.8845', '0.8567', '0.9371', '0.9120', '0.8566', '0.8562']","['0.9557', '0.9602', '0.9073', '0.9008', '0.9019', '0.8601', '0.9799', '0.9222', '0.7987', '0.8475']","['0.9937', '0.9925', '0.9938', '0.9902', '0.9848', '0.9837', '0.9874', '0.9888', '0.9927', '0.9851']","[[2612, 3, 11, 12, 11, 20, 57, 3, 2, 2], [0, 2729, 6, 6, 8, 29, 6, 20, 35, 3], [18, 15, 2516, 20, 41, 10, 104, 30, 18, 1], [14, 14, 50, 2560, 7, 77, 15, 48, 24, 33], [5, 8, 20, 0, 2511, 6, 78, 1, 18, 137], [69, 8, 7, 149, 51, 2398, 43, 5, 45, 13], [10, 10, 7, 1, 11, 16, 2779, 0, 2, 0], [3, 39, 10, 0, 4, 5, 0, 2585, 11, 146], [35, 82, 44, 39, 65, 217, 13, 24, 2214, 39], [6, 9, 2, 19, 185, 32, 0, 150, 28, 2396]]","[2, 4, 2, 2, 0, 5, 5, 0, 5, 9, 2, 0, 9, 5, 8, 8]","[2, 4, 2, 2, 0, 5, 5, 0, 5, 9, 2, 0, 9, 5, 8, 8]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
3,"['0.9718', '0.9680', '0.9297', '0.8987', '0.9070', '0.8931', '0.9669', '0.9372', '0.8521', '0.8751']","['0.9459', '0.9437', '0.9478', '0.9210', '0.9008', '0.8783', '0.9468', '0.9179', '0.9180', '0.8789']","['0.9718', '0.9680', '0.9297', '0.8987', '0.9070', '0.8931', '0.9669', '0.9372', '0.8521', '0.8751']","['0.9587', '0.9557', '0.9386', '0.9097', '0.9039', '0.8856', '0.9567', '0.9274', '0.8838', '0.8770']","['0.9718', '0.9680', '0.9297', '0.8987', '0.9070', '0.8931', '0.9669', '0.9372', '0.8521', '0.8751']","['0.9940', '0.9935', '0.9944', '0.9913', '0.9890', '0.9863', '0.9939', '0.9907', '0.9916', '0.9865']","[[2656, 3, 6, 11, 11, 19, 21, 1, 3, 2], [0, 2751, 5, 5, 6, 23, 2, 7, 41, 2], [21, 14, 2578, 19, 49, 8, 48, 19, 17, 0], [25, 13, 41, 2554, 5, 91, 12, 39, 33, 29], [5, 9, 21, 2, 2525, 3, 45, 1, 21, 152], [53, 9, 6, 110, 40, 2490, 20, 2, 44, 14], [24, 20, 5, 1, 19, 23, 2742, 0, 2, 0], [2, 36, 10, 0, 4, 2, 0, 2627, 14, 108], [19, 51, 45, 50, 40, 149, 6, 16, 2362, 34], [3, 9, 3, 21, 104, 27, 0, 150, 36, 2474]]","[0, 2, 7, 2, 2, 0, 2, 5, 2, 2, 3, 0, 5, 3, 5, 3]","[0, 2, 7, 2, 2, 0, 2, 5, 2, 2, 3, 0, 5, 3, 5, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
4,"['0.9751', '0.9701', '0.9455', '0.9001', '0.8951', '0.9182', '0.9623', '0.9440', '0.8918', '0.9112']","['0.9621', '0.9698', '0.9510', '0.9349', '0.9372', '0.8920', '0.9609', '0.9184', '0.9234', '0.8682']","['0.9751', '0.9701', '0.9455', '0.9001', '0.8951', '0.9182', '0.9623', '0.9440', '0.8918', '0.9112']","['0.9686', '0.9699', '0.9483', '0.9172', '0.9157', '0.9049', '0.9616', '0.9310', '0.9073', '0.8892']","['0.9751', '0.9701', '0.9455', '0.9001', '0.8951', '0.9182', '0.9623', '0.9440', '0.8918', '0.9112']","['0.9958', '0.9966', '0.9946', '0.9929', '0.9934', '0.9877', '0.9956', '0.9907', '0.9919', '0.9845']","[[2665, 4, 4, 12, 9, 16, 14, 6, 1, 2], [0, 2757, 4, 5, 4, 16, 3, 17, 33, 3], [17, 8, 2622, 17, 33, 6, 17, 33, 19, 1], [18, 7, 30, 2558, 1, 93, 13, 41, 42, 39], [5, 8, 36, 2, 2492, 8, 45, 2, 13, 173], [34, 4, 4, 87, 17, 2560, 14, 2, 55, 11], [17, 18, 17, 1, 13, 27, 2729, 0, 14, 0], [1, 12, 10, 0, 4, 0, 0, 2646, 12, 118], [10, 24, 29, 38, 18, 114, 5, 18, 2472, 44], [3, 1, 1, 16, 68, 30, 0, 116, 16, 2576]]","[2, 3, 8, 9, 3, 2, 5, 5, 3, 2, 8, 8, 2, 5, 0, 3]","[2, 3, 8, 9, 3, 2, 5, 5, 3, 2, 8, 8, 2, 5, 0, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
5,"['0.9824', '0.9599', '0.9589', '0.9131', '0.9335', '0.9024', '0.9609', '0.9540', '0.8929', '0.9031']","['0.9478', '0.9855', '0.9396', '0.9258', '0.9171', '0.9199', '0.9622', '0.9253', '0.9350', '0.9028']","['0.9824', '0.9599', '0.9589', '0.9131', '0.9335', '0.9024', '0.9609', '0.9540', '0.8929', '0.9031']","['0.9648', '0.9725', '0.9491', '0.9194', '0.9252', '0.9111', '0.9615', '0.9394', '0.9135', '0.9029']","['0.9824', '0.9599', '0.9589', '0.9131', '0.9335', '0.9024', '0.9609', '0.9540', '0.8929', '0.9031']","['0.9941', '0.9984', '0.9932', '0.9917', '0.9907', '0.9913', '0.9957', '0.9914', '0.9932', '0.9891']","[[2685, 1, 4, 6, 9, 10, 9, 1, 4, 4], [1, 2728, 10, 5, 16, 11, 6, 16, 47, 2], [16, 2, 2659, 17, 35, 3, 15, 20, 6, 0], [24, 2, 44, 2595, 1, 58, 12, 42, 38, 26], [4, 2, 22, 2, 2599, 4, 34, 1, 11, 105], [58, 0, 6, 106, 28, 2516, 23, 3, 38, 10], [19, 11, 26, 1, 20, 27, 2725, 0, 7, 0], [2, 6, 14, 0, 5, 1, 0, 2674, 5, 96], [20, 15, 43, 52, 24, 81, 8, 22, 2475, 32], [4, 1, 2, 19, 97, 24, 0, 111, 16, 2553]]","[3, 2, 2, 0, 4, 8, 2, 8, 3, 5, 8, 8, 5, 2, 2, 3]","[3, 2, 2, 0, 4, 8, 2, 8, 3, 5, 8, 8, 5, 2, 2, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
6,"['0.9802', '0.9715', '0.9585', '0.9437', '0.9479', '0.8960', '0.9612', '0.9522', '0.8939', '0.9013']","['0.9640', '0.9829', '0.9476', '0.9027', '0.9081', '0.9416', '0.9677', '0.9401', '0.9440', '0.9113']","['0.9802', '0.9715', '0.9585', '0.9437', '0.9479', '0.8960', '0.9612', '0.9522', '0.8939', '0.9013']","['0.9721', '0.9772', '0.9530', '0.9228', '0.9276', '0.9182', '0.9644', '0.9461', '0.9183', '0.9063']","['0.9802', '0.9715', '0.9585', '0.9437', '0.9479', '0.8960', '0.9612', '0.9522', '0.8939', '0.9013']","['0.9960', '0.9981', '0.9942', '0.9885', '0.9894', '0.9939', '0.9964', '0.9933', '0.9942', '0.9901']","[[2679, 1, 3, 12, 9, 9, 12, 4, 2, 2], [0, 2761, 11, 7, 14, 1, 7, 7, 31, 3], [16, 1, 2658, 24, 34, 1, 16, 18, 5, 0], [14, 3, 28, 2682, 0, 37, 8, 29, 24, 17], [2, 5, 17, 3, 2639, 0, 34, 1, 9, 74], [33, 3, 4, 148, 29, 2498, 12, 2, 43, 16], [17, 9, 21, 1, 22, 26, 2726, 0, 14, 0], [2, 8, 15, 6, 7, 0, 0, 2669, 6, 90], [11, 13, 47, 63, 26, 68, 2, 18, 2478, 46], [5, 5, 1, 25, 126, 13, 0, 91, 13, 2548]]","[8, 3, 0, 3, 3, 8, 0, 4, 1, 1, 0, 5, 8, 9, 1, 0]","[8, 3, 0, 3, 3, 8, 0, 4, 1, 1, 0, 5, 8, 9, 1, 0]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
7,"['0.9795', '0.9743', '0.9603', '0.9342', '0.9397', '0.9304', '0.9753', '0.9558', '0.9131', '0.9027']","['0.9671', '0.9875', '0.9541', '0.9280', '0.9244', '0.9173', '0.9535', '0.9592', '0.9441', '0.9304']","['0.9795', '0.9743', '0.9603', '0.9342', '0.9397', '0.9304', '0.9753', '0.9558', '0.9131', '0.9027']","['0.9733', '0.9809', '0.9572', '0.9311', '0.9320', '0.9238', '0.9643', '0.9575', '0.9283', '0.9163']","['0.9795', '0.9743', '0.9603', '0.9342', '0.9397', '0.9304', '0.9753', '0.9558', '0.9131', '0.9027']","['0.9964', '0.9986', '0.9949', '0.9918', '0.9915', '0.9907', '0.9946', '0.9955', '0.9941', '0.9924']","[[2677, 2, 3, 10, 8, 10, 18, 2, 1, 2], [0, 2769, 8, 3, 12, 4, 9, 3, 32, 2], [19, 2, 2663, 18, 28, 3, 21, 10, 8, 1], [15, 3, 31, 2655, 0, 63, 13, 30, 25, 7], [7, 4, 23, 3, 2616, 8, 44, 1, 10, 68], [21, 0, 1, 94, 10, 2594, 19, 1, 37, 11], [16, 4, 10, 1, 9, 28, 2766, 0, 2, 0], [3, 3, 17, 4, 7, 1, 0, 2679, 10, 79], [5, 11, 32, 52, 11, 90, 11, 8, 2531, 21], [5, 6, 3, 21, 129, 27, 0, 59, 25, 2552]]","[8, 7, 8, 8, 3, 2, 3, 0, 3, 5, 9, 1, 8, 9, 5, 2]","[8, 7, 8, 8, 3, 2, 3, 0, 3, 5, 9, 1, 8, 9, 5, 2]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
8,"['0.9854', '0.9785', '0.9661', '0.9476', '0.9167', '0.9369', '0.9591', '0.9579', '0.9026', '0.9441']","['0.9587', '0.9841', '0.9490', '0.9232', '0.9554', '0.9246', '0.9756', '0.9552', '0.9675', '0.9066']","['0.9854', '0.9785', '0.9661', '0.9476', '0.9167', '0.9369', '0.9591', '0.9579', '0.9026', '0.9441']","['0.9719', '0.9813', '0.9575', '0.9352', '0.9357', '0.9307', '0.9673', '0.9565', '0.9339', '0.9250']","['0.9854', '0.9785', '0.9661', '0.9476', '0.9167', '0.9369', '0.9591', '0.9579', '0.9026', '0.9441']","['0.9954', '0.9982', '0.9943', '0.9911', '0.9953', '0.9916', '0.9973', '0.9950', '0.9967', '0.9891']","[[2693, 2, 1, 2, 8, 10, 5, 8, 1, 3], [0, 2781, 14, 4, 7, 3, 5, 5, 22, 1], [16, 2, 2679, 22, 26, 2, 4, 14, 7, 1], [10, 3, 31, 2693, 0, 55, 6, 25, 13, 6], [8, 3, 29, 5, 2552, 5, 35, 0, 9, 138], [28, 2, 1, 95, 9, 2612, 9, 2, 16, 14], [33, 7, 26, 0, 14, 32, 2720, 0, 4, 0], [2, 7, 15, 16, 3, 0, 0, 2685, 4, 71], [17, 15, 24, 60, 12, 85, 4, 12, 2502, 41], [2, 4, 3, 20, 40, 21, 0, 60, 8, 2669]]","[3, 2, 4, 9, 4, 4, 9, 9, 5, 8, 8, 3, 5, 4, 8, 4]","[3, 2, 4, 9, 4, 4, 9, 9, 5, 8, 8, 3, 5, 4, 8, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
9,"['0.9780', '0.9747', '0.9704', '0.9455', '0.9501', '0.9254', '0.9535', '0.9658', '0.9358', '0.9158']","['0.9745', '0.9882', '0.9373', '0.9259', '0.9350', '0.9348', '0.9776', '0.9640', '0.9365', '0.9421']","['0.9780', '0.9747', '0.9704', '0.9455', '0.9501', '0.9254', '0.9535', '0.9658', '0.9358', '0.9158']","['0.9763', '0.9814', '0.9536', '0.9356', '0.9425', '0.9301', '0.9654', '0.9649', '0.9361', '0.9288']","['0.9780', '0.9747', '0.9704', '0.9455', '0.9501', '0.9254', '0.9535', '0.9658', '0.9358', '0.9158']","['0.9972', '0.9987', '0.9929', '0.9915', '0.9927', '0.9929', '0.9975', '0.9960', '0.9930', '0.9937']","[[2673, 1, 5, 13, 9, 11, 15, 0, 2, 4], [0, 2770, 16, 3, 10, 1, 7, 3, 32, 0], [11, 2, 2691, 19, 26, 2, 6, 8, 8, 0], [10, 3, 39, 2687, 0, 44, 4, 25, 25, 5], [2, 4, 26, 2, 2645, 4, 19, 1, 18, 63], [21, 0, 2, 113, 13, 2580, 7, 0, 36, 16], [12, 5, 49, 1, 23, 30, 2704, 0, 12, 0], [6, 7, 13, 3, 5, 2, 0, 2707, 7, 53], [5, 6, 28, 43, 12, 57, 4, 5, 2594, 18], [3, 5, 2, 18, 86, 29, 0, 59, 36, 2589]]","[4, 8, 5, 8, 8, 8, 7, 5, 2, 8, 7, 5, 8, 4, 4, 8]","[4, 8, 5, 8, 8, 8, 7, 5, 2, 8, 7, 5, 8, 4, 4, 8]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0
