cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations
0,"['0.9319', '0.8969', '0.6462', '0.7973', '0.2942', '0.4527', '0.9457', '0.6525', '0.7572', '0.8946']","['0.8091', '0.8517', '0.8493', '0.8325', '0.8576', '0.8591', '0.6516', '0.8535', '0.6275', '0.5059']","['0.9319', '0.8969', '0.6462', '0.7973', '0.2942', '0.4527', '0.9457', '0.6525', '0.7572', '0.8946']","['0.8662', '0.8737', '0.7340', '0.8145', '0.4381', '0.5929', '0.7716', '0.7396', '0.6863', '0.6463']","['0.9319', '0.8969', '0.6462', '0.7973', '0.2942', '0.4527', '0.9457', '0.6525', '0.7572', '0.8946']","['0.9762', '0.9824', '0.9874', '0.9819', '0.9946', '0.9918', '0.9430', '0.9875', '0.9506', '0.9019']","[[2547, 1, 26, 22, 8, 5, 64, 4, 54, 2], [0, 2549, 2, 7, 5, 41, 43, 54, 106, 35], [63, 14, 1792, 94, 10, 17, 620, 22, 118, 23], [104, 9, 101, 2266, 2, 24, 52, 85, 48, 151], [16, 16, 24, 0, 819, 17, 53, 5, 412, 1422], [249, 16, 12, 230, 48, 1262, 501, 28, 373, 69], [78, 4, 44, 1, 1, 5, 2682, 2, 19, 0], [7, 300, 8, 52, 4, 3, 1, 1829, 35, 564], [71, 47, 101, 31, 20, 91, 99, 9, 2099, 204], [13, 37, 0, 19, 38, 4, 1, 105, 81, 2529]]",-1,-1,-1,-1
1,"['0.9502', '0.9444', '0.8027', '0.8973', '0.8301', '0.6915', '0.9580', '0.8980', '0.8276', '0.8373']","['0.9157', '0.8911', '0.9229', '0.8298', '0.8604', '0.8784', '0.8289', '0.8626', '0.8582', '0.8115']","['0.9502', '0.9444', '0.8027', '0.8973', '0.8301', '0.6915', '0.9580', '0.8980', '0.8276', '0.8373']","['0.9327', '0.9170', '0.8586', '0.8622', '0.8450', '0.7738', '0.8888', '0.8799', '0.8426', '0.8242']","['0.9502', '0.9444', '0.8027', '0.8973', '0.8301', '0.6915', '0.9580', '0.8980', '0.8276', '0.8373']","['0.9905', '0.9870', '0.9926', '0.9792', '0.9851', '0.9894', '0.9777', '0.9841', '0.9850', '0.9782']","[[2597, 2, 5, 51, 12, 7, 12, 13, 33, 1], [0, 2684, 2, 14, 13, 40, 14, 31, 42, 2], [25, 39, 2226, 55, 59, 17, 252, 34, 64, 2], [14, 26, 54, 2550, 11, 40, 21, 42, 49, 35], [19, 24, 37, 1, 2311, 3, 63, 8, 41, 277], [117, 35, 10, 281, 112, 1928, 174, 33, 83, 15], [38, 6, 40, 4, 5, 13, 2717, 0, 13, 0], [3, 99, 7, 6, 11, 1, 0, 2517, 11, 148], [18, 73, 30, 80, 38, 136, 24, 9, 2294, 70], [5, 24, 1, 31, 114, 10, 1, 231, 43, 2367]]","[3, 3, 8, 3, 3, 8, 8, 3, 9, 3, 3, 3, 8, 0, 8, 9]","[3, 3, 8, 3, 3, 3, 3, 3, 9, 3, 3, 3, 8, 0, 8, 8]","[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 8. 0. 0. 0. 0. 2. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 3. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]]",16
2,"['0.9590', '0.9659', '0.8608', '0.8768', '0.8969', '0.8146', '0.9612', '0.9194', '0.8009', '0.8596']","['0.9354', '0.9174', '0.9227', '0.8812', '0.8616', '0.8402', '0.8967', '0.8951', '0.9328', '0.8405']","['0.9590', '0.9659', '0.8608', '0.8768', '0.8969', '0.8146', '0.9612', '0.9194', '0.8009', '0.8596']","['0.9471', '0.9410', '0.8907', '0.8790', '0.8789', '0.8272', '0.9278', '0.9071', '0.8618', '0.8499']","['0.9590', '0.9659', '0.8608', '0.8768', '0.8969', '0.8146', '0.9612', '0.9194', '0.8009', '0.8596']","['0.9928', '0.9902', '0.9921', '0.9866', '0.9841', '0.9829', '0.9875', '0.9880', '0.9937', '0.9817']","[[2621, 2, 12, 25, 20, 21, 15, 12, 4, 1], [0, 2745, 5, 11, 25, 33, 6, 4, 12, 1], [21, 25, 2387, 33, 65, 16, 155, 27, 40, 4], [27, 24, 49, 2492, 6, 114, 6, 41, 34, 49], [7, 25, 38, 1, 2497, 2, 42, 1, 10, 161], [74, 25, 14, 171, 108, 2271, 75, 33, 8, 9], [30, 16, 22, 1, 8, 31, 2726, 0, 2, 0], [3, 43, 12, 0, 10, 2, 0, 2577, 5, 151], [17, 64, 41, 72, 57, 193, 14, 9, 2220, 85], [2, 23, 7, 22, 102, 20, 1, 175, 45, 2430]]","[5, 9, 5, 4, 2, 2, 9, 9, 3, 4, 8, 5, 8, 9, 2, 8]","[5, 8, 5, 4, 2, 8, 8, 8, 3, 3, 8, 5, 8, 9, 4, 8]","[[1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 9. 1. 0. 0. 0. 2. 0.]
 [0. 0. 1. 0. 1. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 3. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 0. 0. 0. 0. 6. 4.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 2.]]",32
3,"['0.9660', '0.9602', '0.8720', '0.9029', '0.8858', '0.8544', '0.9573', '0.9533', '0.7980', '0.8592']","['0.9449', '0.9562', '0.9494', '0.8646', '0.8880', '0.8262', '0.9317', '0.8726', '0.9601', '0.8385']","['0.9660', '0.9602', '0.8720', '0.9029', '0.8858', '0.8544', '0.9573', '0.9533', '0.7980', '0.8592']","['0.9553', '0.9582', '0.9090', '0.8833', '0.8869', '0.8401', '0.9443', '0.9112', '0.8716', '0.8487']","['0.9660', '0.9602', '0.8720', '0.9029', '0.8858', '0.8544', '0.9573', '0.9533', '0.7980', '0.8592']","['0.9939', '0.9950', '0.9949', '0.9840', '0.9877', '0.9801', '0.9921', '0.9845', '0.9964', '0.9814']","[[2640, 2, 5, 24, 17, 24, 5, 12, 3, 1], [0, 2729, 5, 13, 24, 43, 5, 8, 12, 3], [28, 14, 2418, 41, 67, 24, 116, 28, 31, 6], [18, 9, 40, 2566, 2, 109, 5, 31, 26, 36], [12, 13, 21, 0, 2466, 2, 35, 3, 1, 231], [39, 13, 5, 181, 78, 2382, 25, 48, 5, 12], [39, 11, 9, 2, 13, 45, 2715, 0, 2, 0], [4, 15, 9, 1, 7, 3, 0, 2672, 2, 90], [11, 36, 29, 109, 44, 219, 8, 15, 2212, 89], [3, 12, 6, 31, 59, 32, 0, 245, 10, 2429]]","[5, 0, 5, 9, 3, 2, 3, 3, 0, 0, 5, 3, 9, 5, 8, 2]","[8, 8, 5, 0, 3, 2, 3, 3, 0, 0, 0, 3, 8, 0, 3, 2]","[[ 3.  0.  0.  0.  0.  2.  0.  0.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  3.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. 13.  1.  0.  0.  0.  3.  0.]
 [ 0.  0.  1.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  4.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  1.  0.  0.  1.  0.  0.  6.  5.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  2.]]",48
4,"['0.9715', '0.9416', '0.8933', '0.9205', '0.9192', '0.7909', '0.9707', '0.9247', '0.9105', '0.9119']","['0.9448', '0.9813', '0.9564', '0.8555', '0.8782', '0.9371', '0.9454', '0.9307', '0.9018', '0.8447']","['0.9715', '0.9416', '0.8933', '0.9205', '0.9192', '0.7909', '0.9707', '0.9247', '0.9105', '0.9119']","['0.9580', '0.9610', '0.9237', '0.8868', '0.8982', '0.8578', '0.9579', '0.9277', '0.9061', '0.8770']","['0.9715', '0.9416', '0.8933', '0.9205', '0.9192', '0.7909', '0.9707', '0.9247', '0.9105', '0.9119']","['0.9939', '0.9980', '0.9955', '0.9824', '0.9859', '0.9941', '0.9937', '0.9923', '0.9891', '0.9812']","[[2655, 1, 6, 28, 15, 8, 7, 2, 10, 1], [2, 2676, 6, 23, 39, 28, 6, 7, 48, 7], [16, 6, 2477, 52, 61, 10, 63, 16, 62, 10], [15, 4, 35, 2616, 3, 50, 1, 22, 51, 45], [14, 4, 16, 0, 2559, 0, 32, 2, 4, 153], [56, 5, 4, 247, 101, 2205, 44, 38, 64, 24], [35, 6, 12, 5, 12, 6, 2753, 0, 7, 0], [4, 8, 9, 4, 10, 1, 0, 2592, 6, 169], [9, 12, 18, 61, 39, 35, 6, 3, 2524, 65], [4, 5, 7, 22, 75, 10, 0, 103, 23, 2578]]","[7, 4, 5, 9, 3, 3, 9, 4, 9, 5, 3, 5, 2, 2, 0, 2]","[7, 0, 5, 0, 3, 0, 0, 8, 8, 0, 3, 0, 8, 1, 0, 1]","[[ 4.  0.  0.  1.  1.  4.  0.  0.  0.  3.]
 [ 0.  0.  2.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  3.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. 15.  1.  0.  0.  0.  3.  0.]
 [ 0.  0.  1.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  5.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 1.  0.  2.  0.  1.  1.  0.  0.  6.  6.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  2.]]",64
5,"['0.9660', '0.9588', '0.9120', '0.8962', '0.9159', '0.8780', '0.9725', '0.9376', '0.9109', '0.9109']","['0.9667', '0.9715', '0.9419', '0.8937', '0.9186', '0.9033', '0.9484', '0.9382', '0.9212', '0.8603']","['0.9660', '0.9588', '0.9120', '0.8962', '0.9159', '0.8780', '0.9725', '0.9376', '0.9109', '0.9109']","['0.9663', '0.9651', '0.9267', '0.8949', '0.9173', '0.8905', '0.9603', '0.9379', '0.9160', '0.8849']","['0.9660', '0.9588', '0.9120', '0.8962', '0.9159', '0.8780', '0.9725', '0.9376', '0.9109', '0.9109']","['0.9964', '0.9968', '0.9938', '0.9880', '0.9910', '0.9896', '0.9940', '0.9931', '0.9914', '0.9834']","[[2640, 2, 6, 24, 12, 27, 9, 5, 7, 1], [0, 2725, 14, 8, 11, 27, 9, 6, 41, 1], [11, 9, 2529, 39, 50, 19, 53, 16, 42, 5], [12, 7, 52, 2547, 3, 92, 1, 27, 54, 47], [8, 6, 21, 0, 2550, 1, 27, 2, 8, 161], [24, 10, 6, 158, 45, 2448, 44, 18, 22, 13], [24, 6, 20, 1, 12, 11, 2758, 0, 4, 0], [4, 13, 10, 0, 9, 1, 0, 2628, 6, 132], [5, 15, 16, 53, 25, 66, 7, 2, 2525, 58], [3, 12, 11, 20, 59, 18, 0, 97, 32, 2575]]","[5, 3, 8, 2, 5, 0, 7, 3, 0, 5, 2, 3, 5, 2, 8, 2]","[5, 1, 1, 0, 0, 0, 0, 1, 0, 5, 8, 0, 5, 1, 8, 1]","[[ 6.  0.  1.  2.  1.  5.  0.  1.  0.  3.]
 [ 0.  0.  4.  2.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  3.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. 15.  1.  0.  0.  0.  3.  0.]
 [ 0.  0.  1.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  8.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 1.  0.  3.  0.  1.  1.  0.  0.  7.  6.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  2.]]",80
6,"['0.9780', '0.9483', '0.9088', '0.9039', '0.9371', '0.8992', '0.9686', '0.9458', '0.8968', '0.9080']","['0.9353', '0.9807', '0.9578', '0.8995', '0.9068', '0.8992', '0.9585', '0.9448', '0.9371', '0.8800']","['0.9780', '0.9483', '0.9088', '0.9039', '0.9371', '0.8992', '0.9686', '0.9458', '0.8968', '0.9080']","['0.9562', '0.9642', '0.9326', '0.9017', '0.9217', '0.8992', '0.9635', '0.9453', '0.9165', '0.8938']","['0.9780', '0.9483', '0.9088', '0.9039', '0.9371', '0.8992', '0.9686', '0.9458', '0.8968', '0.9080']","['0.9927', '0.9979', '0.9956', '0.9886', '0.9894', '0.9889', '0.9953', '0.9938', '0.9934', '0.9861']","[[2673, 1, 4, 6, 12, 28, 4, 0, 4, 1], [6, 2695, 12, 19, 27, 30, 11, 7, 33, 2], [29, 8, 2520, 42, 56, 19, 44, 16, 32, 7], [24, 4, 39, 2569, 1, 100, 1, 24, 45, 35], [12, 5, 15, 0, 2609, 0, 24, 1, 5, 113], [39, 2, 1, 143, 31, 2507, 25, 14, 12, 14], [47, 4, 15, 0, 12, 8, 2747, 0, 3, 0], [12, 10, 6, 3, 8, 1, 0, 2651, 8, 104], [12, 12, 15, 49, 38, 74, 10, 2, 2486, 74], [4, 7, 4, 25, 83, 21, 0, 91, 25, 2567]]","[5, 7, 3, 5, 2, 7, 3, 7, 8, 7, 5, 5, 2, 7, 0, 8]","[0, 7, 0, 0, 2, 7, 2, 3, 8, 3, 1, 1, 8, 7, 0, 8]","[[ 7.  0.  1.  3.  1.  7.  0.  1.  0.  3.]
 [ 0.  0.  4.  2.  0.  2.  0.  0.  1.  0.]
 [ 0.  0.  4.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. 15.  1.  0.  0.  2.  3.  0.]
 [ 0.  0.  1.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  8.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  4.  0.  0.]
 [ 1.  0.  4.  0.  1.  1.  0.  0.  9.  6.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  2.]]",96
7,"['0.9759', '0.9486', '0.9264', '0.9092', '0.9343', '0.8659', '0.9616', '0.9447', '0.9062', '0.9289']","['0.9511', '0.9797', '0.9421', '0.8804', '0.9162', '0.9281', '0.9626', '0.9403', '0.9328', '0.8753']","['0.9759', '0.9486', '0.9264', '0.9092', '0.9343', '0.8659', '0.9616', '0.9447', '0.9062', '0.9289']","['0.9633', '0.9639', '0.9342', '0.8946', '0.9251', '0.8959', '0.9621', '0.9425', '0.9193', '0.9013']","['0.9759', '0.9486', '0.9264', '0.9092', '0.9343', '0.8659', '0.9616', '0.9447', '0.9062', '0.9289']","['0.9946', '0.9978', '0.9937', '0.9860', '0.9906', '0.9926', '0.9958', '0.9933', '0.9928', '0.9851']","[[2667, 1, 9, 16, 12, 11, 5, 5, 4, 3], [0, 2696, 16, 16, 25, 33, 4, 7, 43, 2], [11, 9, 2569, 47, 46, 9, 27, 23, 27, 5], [18, 4, 45, 2584, 2, 73, 1, 24, 46, 45], [10, 4, 24, 0, 2601, 0, 31, 2, 3, 109], [29, 2, 3, 197, 32, 2414, 32, 28, 31, 20], [58, 7, 25, 0, 10, 4, 2727, 0, 5, 0], [2, 10, 6, 3, 9, 1, 0, 2648, 7, 117], [8, 13, 26, 52, 39, 41, 6, 2, 2512, 73], [1, 6, 4, 20, 63, 15, 0, 77, 15, 2626]]","[5, 7, 3, 3, 5, 2, 8, 7, 3, 8, 7, 3, 3, 5, 3, 3]","[8, 1, 0, 1, 1, 1, 8, 7, 1, 8, 0, 0, 0, 1, 1, 0]","[[ 7.  0.  1.  7.  1.  7.  0.  2.  0.  3.]
 [ 0.  0.  5.  5.  0.  4.  0.  1.  1.  0.]
 [ 0.  0.  4.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. 15.  1.  0.  0.  2.  3.  0.]
 [ 0.  0.  1.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  8.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  5.  0.  0.]
 [ 1.  0.  4.  0.  1.  2.  0.  0. 11.  6.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  2.]]",112
8,"['0.9766', '0.9377', '0.9210', '0.9078', '0.9325', '0.8784', '0.9654', '0.9611', '0.9008', '0.9232']","['0.9451', '0.9870', '0.9548', '0.8824', '0.9229', '0.9176', '0.9627', '0.9201', '0.9433', '0.8770']","['0.9766', '0.9377', '0.9210', '0.9078', '0.9325', '0.8784', '0.9654', '0.9611', '0.9008', '0.9232']","['0.9606', '0.9617', '0.9376', '0.8949', '0.9276', '0.8976', '0.9641', '0.9402', '0.9216', '0.8995']","['0.9766', '0.9377', '0.9210', '0.9078', '0.9325', '0.8784', '0.9654', '0.9611', '0.9008', '0.9232']","['0.9939', '0.9986', '0.9952', '0.9863', '0.9914', '0.9913', '0.9958', '0.9907', '0.9941', '0.9855']","[[2669, 1, 5, 14, 13, 12, 7, 7, 4, 1], [1, 2665, 16, 38, 27, 27, 3, 24, 38, 3], [19, 6, 2554, 43, 44, 11, 38, 26, 25, 7], [24, 1, 35, 2580, 2, 88, 1, 34, 37, 40], [13, 4, 13, 0, 2596, 0, 26, 2, 3, 127], [41, 2, 2, 168, 29, 2449, 24, 28, 23, 22], [46, 6, 20, 5, 12, 5, 2738, 0, 4, 0], [3, 4, 5, 1, 8, 0, 0, 2694, 4, 84], [8, 9, 21, 54, 30, 59, 7, 5, 2497, 82], [0, 2, 4, 21, 52, 18, 0, 108, 12, 2610]]","[4, 3, 0, 0, 6, 4, 5, 3, 6, 3, 6, 1, 5, 2, 9, 3]","[1, 0, 0, 0, 6, 1, 8, 3, 6, 1, 1, 1, 0, 2, 9, 0]","[[ 9.  0.  1.  9.  1.  8.  0.  2.  0.  3.]
 [ 0.  1.  5.  6.  2.  4.  1.  1.  1.  0.]
 [ 0.  0.  5.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. 16.  1.  0.  0.  2.  3.  0.]
 [ 0.  0.  1.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  8.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  2.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  5.  0.  0.]
 [ 1.  0.  4.  0.  1.  3.  0.  0. 11.  6.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  3.]]",128
9,"['0.9696', '0.9557', '0.9293', '0.9092', '0.9533', '0.8999', '0.9760', '0.9625', '0.9008', '0.8978']","['0.9668', '0.9763', '0.9374', '0.8972', '0.9145', '0.9110', '0.9545', '0.9307', '0.9487', '0.9192']","['0.9696', '0.9557', '0.9293', '0.9092', '0.9533', '0.8999', '0.9760', '0.9625', '0.9008', '0.8978']","['0.9682', '0.9659', '0.9334', '0.9032', '0.9335', '0.9054', '0.9651', '0.9463', '0.9241', '0.9084']","['0.9696', '0.9557', '0.9293', '0.9092', '0.9533', '0.8999', '0.9760', '0.9625', '0.9008', '0.8978']","['0.9964', '0.9974', '0.9932', '0.9882', '0.9902', '0.9903', '0.9948', '0.9920', '0.9946', '0.9911']","[[2650, 1, 7, 20, 12, 22, 9, 7, 4, 1], [1, 2716, 20, 18, 16, 29, 6, 6, 29, 1], [9, 10, 2577, 37, 46, 13, 47, 13, 16, 5], [10, 5, 61, 2584, 4, 84, 1, 30, 36, 27], [7, 5, 14, 0, 2654, 0, 34, 2, 6, 62], [24, 3, 3, 149, 25, 2509, 25, 29, 9, 12], [29, 8, 15, 1, 8, 6, 2768, 0, 1, 0], [4, 11, 8, 1, 8, 1, 0, 2698, 9, 63], [6, 14, 39, 48, 33, 69, 10, 4, 2497, 52], [1, 9, 5, 22, 96, 21, 0, 110, 25, 2538]]","[5, 7, 5, 3, 7, 2, 8, 2, 8, 5, 0, 3, 6, 5, 3, 3]","[1, 1, 0, 1, 8, 1, 8, 2, 1, 1, 0, 0, 8, 0, 0, 0]","[[10.  0.  1. 12.  1. 10.  0.  2.  0.  3.]
 [ 0.  1.  6.  7.  2.  6.  1.  2.  2.  0.]
 [ 0.  0.  6.  1.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0. 16.  1.  0.  0.  2.  3.  0.]
 [ 0.  0.  1.  0.  1.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  8.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  2.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  5.  0.  0.]
 [ 1.  0.  4.  0.  1.  3.  1.  1. 12.  6.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  3.]]",144
