cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label
0,"['0.9558', '0.9557', '0.9278', '0.9010', '0.8948', '0.7713', '0.9766', '0.9361', '0.8680', '0.8332']","['0.9439', '0.9608', '0.8901', '0.8659', '0.8956', '0.9510', '0.9061', '0.8708', '0.9289', '0.8459']","['0.9558', '0.9557', '0.9278', '0.9010', '0.8948', '0.7713', '0.9766', '0.9361', '0.8680', '0.8332']","['0.9498', '0.9582', '0.9086', '0.8831', '0.8952', '0.8518', '0.9400', '0.9022', '0.8974', '0.8395']","['0.9558', '0.9557', '0.9278', '0.9010', '0.8948', '0.7713', '0.9766', '0.9361', '0.8680', '0.8332']","['0.9937', '0.9952', '0.9872', '0.9847', '0.9886', '0.9963', '0.9888', '0.9836', '0.9924', '0.9831']","[[1145, 1, 3, 4, 2, 3, 16, 3, 16, 5], [0, 1250, 30, 5, 0, 2, 0, 11, 8, 2], [13, 2, 1118, 6, 19, 1, 13, 21, 9, 3], [8, 1, 43, 1065, 1, 20, 3, 23, 11, 7], [0, 4, 6, 1, 1055, 0, 21, 6, 1, 85], [31, 11, 2, 81, 13, 796, 51, 7, 23, 17], [6, 5, 0, 0, 8, 7, 1167, 0, 2, 0], [0, 7, 21, 2, 8, 1, 0, 1186, 3, 39], [2, 19, 29, 47, 8, 5, 15, 14, 1072, 24], [8, 1, 4, 19, 64, 2, 2, 91, 9, 999]]",-1,-1
1,"['0.9516', '0.9495', '0.9046', '0.9120', '0.8329', '0.8915', '0.9623', '0.9361', '0.8130', '0.8457']","['0.9564', '0.9718', '0.9229', '0.8280', '0.9290', '0.8410', '0.9297', '0.8759', '0.9401', '0.8197']","['0.9516', '0.9495', '0.9046', '0.9120', '0.8329', '0.8915', '0.9623', '0.9361', '0.8130', '0.8457']","['0.9540', '0.9606', '0.9137', '0.8680', '0.8784', '0.8655', '0.9457', '0.9050', '0.8719', '0.8325']","['0.9516', '0.9495', '0.9046', '0.9120', '0.8329', '0.8915', '0.9623', '0.9361', '0.8130', '0.8457']","['0.9952', '0.9966', '0.9916', '0.9793', '0.9931', '0.9841', '0.9919', '0.9843', '0.9941', '0.9794']","[[1140, 0, 2, 8, 2, 17, 10, 2, 13, 4], [0, 1242, 14, 18, 0, 14, 0, 14, 5, 1], [13, 5, 1090, 21, 16, 7, 17, 18, 16, 2], [8, 1, 31, 1078, 0, 38, 2, 15, 7, 2], [0, 3, 5, 2, 982, 2, 29, 7, 3, 146], [16, 3, 0, 55, 4, 920, 14, 4, 8, 8], [5, 5, 0, 0, 6, 27, 1150, 0, 2, 0], [0, 6, 22, 7, 6, 2, 1, 1186, 4, 33], [1, 13, 15, 87, 5, 59, 12, 12, 1004, 27], [9, 0, 2, 26, 36, 8, 2, 96, 6, 1014]]",5,5
2,"['0.9374', '0.7989', '0.8905', '0.8697', '0.8304', '0.9370', '0.9473', '0.8500', '0.9312', '0.7740']","['0.9549', '1.0000', '0.8774', '0.8704', '0.9324', '0.7669', '0.9325', '0.9365', '0.7025', '0.8730']","['0.9374', '0.7989', '0.8905', '0.8697', '0.8304', '0.9370', '0.9473', '0.8500', '0.9312', '0.7740']","['0.9461', '0.8882', '0.8839', '0.8701', '0.8784', '0.8434', '0.9398', '0.8912', '0.8008', '0.8205']","['0.9374', '0.7989', '0.8905', '0.8697', '0.8304', '0.9370', '0.9473', '0.8500', '0.9312', '0.7740']","['0.9951', '1.0000', '0.9861', '0.9859', '0.9934', '0.9732', '0.9924', '0.9932', '0.9548', '0.9875']","[[1123, 0, 2, 3, 2, 28, 6, 0, 31, 3], [0, 1045, 29, 20, 0, 34, 1, 7, 172, 0], [14, 0, 1073, 14, 13, 10, 21, 8, 49, 3], [9, 0, 32, 1028, 0, 82, 1, 3, 26, 1], [0, 0, 3, 3, 979, 20, 37, 1, 53, 83], [12, 0, 0, 24, 1, 967, 9, 0, 18, 1], [7, 0, 0, 0, 5, 47, 1132, 0, 4, 0], [3, 0, 74, 24, 5, 15, 1, 1077, 25, 43], [1, 0, 9, 31, 1, 36, 5, 1, 1150, 1], [7, 0, 1, 34, 44, 22, 1, 53, 109, 928]]",8,8
3,"['0.9349', '0.8563', '0.8730', '0.8765', '0.6302', '0.9128', '0.9046', '0.9566', '0.9296', '0.6756']","['0.9532', '0.9929', '0.9326', '0.8832', '0.9538', '0.8038', '0.9809', '0.7575', '0.7416', '0.6778']","['0.9349', '0.8563', '0.8730', '0.8765', '0.6302', '0.9128', '0.9046', '0.9566', '0.9296', '0.6756']","['0.9440', '0.9195', '0.9018', '0.8798', '0.7589', '0.8548', '0.9412', '0.8455', '0.8250', '0.6767']","['0.9349', '0.8563', '0.8730', '0.8765', '0.6302', '0.9128', '0.9046', '0.9566', '0.9296', '0.6756']","['0.9949', '0.9993', '0.9930', '0.9873', '0.9967', '0.9790', '0.9981', '0.9638', '0.9628', '0.9644']","[[1120, 0, 1, 2, 1, 28, 2, 4, 37, 3], [0, 1120, 16, 11, 0, 15, 0, 17, 129, 0], [14, 0, 1052, 16, 10, 10, 8, 25, 64, 6], [10, 0, 26, 1036, 0, 66, 0, 17, 26, 1], [0, 1, 2, 1, 743, 5, 8, 19, 37, 363], [12, 0, 0, 36, 0, 942, 2, 6, 30, 4], [14, 3, 1, 0, 8, 70, 1081, 0, 18, 0], [0, 1, 22, 7, 2, 5, 0, 1212, 12, 6], [0, 3, 7, 40, 1, 23, 1, 10, 1148, 2], [5, 0, 1, 24, 14, 8, 0, 290, 47, 810]]",7,7
4,"['0.8982', '0.4832', '0.9046', '0.8139', '0.5615', '0.8585', '0.8510', '0.8540', '0.9749', '0.4921']","['0.9694', '1.0000', '0.8177', '0.9215', '0.9678', '0.7841', '0.9807', '0.8440', '0.3985', '0.8116']","['0.8982', '0.4832', '0.9046', '0.8139', '0.5615', '0.8585', '0.8510', '0.8540', '0.9749', '0.4921']","['0.9324', '0.6515', '0.8589', '0.8643', '0.7107', '0.8196', '0.9113', '0.8490', '0.5658', '0.6127']","['0.8982', '0.4832', '0.9046', '0.8139', '0.5615', '0.8585', '0.8510', '0.8540', '0.9749', '0.4921']","['0.9969', '1.0000', '0.9775', '0.9924', '0.9980', '0.9778', '0.9981', '0.9814', '0.8312', '0.9873']","[[1076, 0, 8, 0, 1, 26, 0, 0, 87, 0], [0, 632, 49, 11, 0, 23, 0, 9, 584, 0], [6, 0, 1090, 5, 5, 5, 3, 8, 82, 1], [7, 0, 69, 962, 0, 69, 0, 4, 70, 1], [0, 0, 7, 1, 662, 11, 14, 9, 344, 131], [9, 0, 0, 26, 0, 886, 2, 2, 107, 0], [6, 0, 3, 0, 1, 83, 1017, 0, 85, 0], [2, 0, 98, 8, 1, 6, 0, 1082, 66, 4], [0, 0, 8, 9, 0, 11, 1, 2, 1204, 0], [4, 0, 1, 22, 14, 10, 0, 166, 392, 590]]",2,2
5,"['0.8898', '0.7752', '0.9618', '0.8147', '0.6463', '0.9254', '0.7900', '0.9163', '0.8818', '0.3286']","['0.9807', '0.9922', '0.6149', '0.9224', '0.9719', '0.7473', '0.9874', '0.6272', '0.7008', '0.7310']","['0.8898', '0.7752', '0.9618', '0.8147', '0.6463', '0.9254', '0.7900', '0.9163', '0.8818', '0.3286']","['0.9330', '0.8704', '0.7502', '0.8652', '0.7764', '0.8268', '0.8777', '0.7447', '0.7809', '0.4534']","['0.8898', '0.7752', '0.9618', '0.8147', '0.6463', '0.9254', '0.7900', '0.9163', '0.8818', '0.3286']","['0.9981', '0.9993', '0.9327', '0.9925', '0.9980', '0.9706', '0.9989', '0.9357', '0.9568', '0.9866']","[[1066, 0, 51, 0, 1, 34, 1, 2, 43, 0], [0, 1014, 195, 4, 0, 31, 0, 17, 47, 0], [4, 0, 1159, 1, 3, 5, 0, 13, 19, 1], [1, 0, 123, 963, 0, 63, 0, 17, 14, 1], [0, 1, 65, 1, 762, 42, 9, 47, 110, 142], [8, 0, 6, 28, 0, 955, 1, 5, 29, 0], [6, 3, 105, 0, 2, 101, 944, 0, 34, 0], [0, 1, 88, 1, 1, 6, 0, 1161, 8, 1], [0, 3, 77, 28, 0, 24, 1, 13, 1089, 0], [2, 0, 16, 18, 15, 17, 0, 576, 161, 394]]",2,2
6,"['0.8973', '0.6873', '0.9627', '0.6810', '0.8779', '0.8779', '0.9038', '0.8919', '0.8696', '0.5388']","['0.9693', '0.9945', '0.5585', '0.9664', '0.8861', '0.8259', '0.9827', '0.7528', '0.7080', '0.9295']","['0.8973', '0.6873', '0.9627', '0.6810', '0.8779', '0.8779', '0.9038', '0.8919', '0.8696', '0.5388']","['0.9319', '0.8128', '0.7069', '0.7990', '0.8820', '0.8511', '0.9416', '0.8165', '0.7805', '0.6822']","['0.8973', '0.6873', '0.9627', '0.6810', '0.8779', '0.8779', '0.9038', '0.8919', '0.8696', '0.5388']","['0.9969', '0.9995', '0.9151', '0.9974', '0.9877', '0.9826', '0.9982', '0.9654', '0.9588', '0.9955']","[[1075, 0, 55, 0, 2, 14, 3, 1, 48, 0], [0, 899, 298, 0, 0, 19, 0, 20, 72, 0], [5, 0, 1160, 0, 10, 2, 0, 9, 17, 2], [3, 0, 234, 805, 1, 97, 1, 25, 16, 0], [0, 1, 33, 1, 1035, 2, 9, 17, 41, 40], [13, 0, 11, 13, 5, 906, 5, 6, 73, 0], [9, 2, 44, 0, 6, 30, 1080, 0, 24, 0], [1, 0, 108, 0, 7, 1, 0, 1130, 14, 6], [0, 2, 120, 3, 5, 18, 1, 11, 1074, 1], [3, 0, 14, 11, 97, 8, 0, 282, 138, 646]]",4,4
7,"['0.8523', '0.0199', '0.9510', '0.6201', '0.6141', '0.7868', '0.7431', '0.7901', '0.9555', '0.1209']","['0.9827', '1.0000', '0.5560', '0.9619', '0.9577', '0.7976', '0.9911', '0.8293', '0.2890', '0.9539']","['0.8523', '0.0199', '0.9510', '0.6201', '0.6141', '0.7868', '0.7431', '0.7901', '0.9555', '0.1209']","['0.9128', '0.0390', '0.7018', '0.7541', '0.7483', '0.7922', '0.8494', '0.8092', '0.4438', '0.2147']","['0.8523', '0.0199', '0.9510', '0.6201', '0.6141', '0.7868', '0.7431', '0.7901', '0.9555', '0.1209']","['0.9983', '1.0000', '0.9152', '0.9973', '0.9970', '0.9812', '0.9993', '0.9808', '0.7303', '0.9994']","[[1021, 0, 49, 0, 0, 21, 0, 1, 106, 0], [0, 26, 234, 0, 0, 10, 0, 5, 1033, 0], [1, 0, 1146, 0, 4, 4, 0, 7, 43, 0], [3, 0, 254, 733, 1, 99, 1, 10, 81, 0], [0, 0, 55, 0, 724, 1, 7, 5, 380, 7], [4, 0, 10, 12, 1, 812, 0, 2, 191, 0], [6, 0, 88, 0, 2, 50, 888, 0, 161, 0], [2, 0, 160, 0, 1, 6, 0, 1001, 97, 0], [0, 0, 41, 3, 0, 10, 0, 1, 1180, 0], [2, 0, 24, 14, 23, 5, 0, 175, 811, 145]]",8,8
8,"['0.8556', '0.5711', '0.9378', '0.6667', '0.8405', '0.9176', '0.8293', '0.9124', '0.9393', '0.4579']","['0.9837', '1.0000', '0.7143', '0.9801', '0.9176', '0.6234', '0.9930', '0.7225', '0.5714', '0.9181']","['0.8556', '0.5711', '0.9378', '0.6667', '0.8405', '0.9176', '0.8293', '0.9124', '0.9393', '0.4579']","['0.9152', '0.7270', '0.8109', '0.7936', '0.8774', '0.7425', '0.9038', '0.8064', '0.7106', '0.6110']","['0.8556', '0.5711', '0.9378', '0.6667', '0.8405', '0.9176', '0.8293', '0.9124', '0.9393', '0.4579']","['0.9984', '1.0000', '0.9581', '0.9985', '0.9918', '0.9478', '0.9994', '0.9586', '0.9192', '0.9955']","[[1025, 0, 30, 0, 1, 61, 0, 2, 79, 0], [0, 747, 67, 0, 0, 210, 0, 16, 268, 0], [4, 0, 1130, 0, 8, 11, 0, 13, 39, 0], [2, 0, 182, 788, 1, 137, 0, 35, 37, 0], [0, 0, 22, 0, 991, 10, 5, 16, 91, 44], [4, 0, 3, 8, 3, 947, 1, 9, 56, 1], [6, 0, 26, 0, 12, 96, 991, 0, 64, 0], [0, 0, 75, 0, 4, 5, 0, 1156, 23, 4], [0, 0, 34, 3, 1, 27, 1, 9, 1160, 0], [1, 0, 13, 5, 59, 15, 0, 344, 213, 549]]",9,9
9,"['0.8698', '0.5910', '0.9336', '0.5203', '0.7082', '0.7771', '0.7707', '0.8777', '0.9668', '0.4679']","['0.9821', '0.9961', '0.6988', '0.9872', '0.9565', '0.7440', '0.9935', '0.8040', '0.3941', '0.8779']","['0.8698', '0.5910', '0.9336', '0.5203', '0.7082', '0.7771', '0.7707', '0.8777', '0.9668', '0.4679']","['0.9225', '0.7418', '0.7993', '0.6814', '0.8138', '0.7602', '0.8680', '0.8392', '0.5599', '0.6104']","['0.8698', '0.5910', '0.9336', '0.5203', '0.7082', '0.7771', '0.7707', '0.8777', '0.9668', '0.4679']","['0.9982', '0.9997', '0.9551', '0.9993', '0.9965', '0.9748', '0.9994', '0.9748', '0.8294', '0.9928']","[[1042, 0, 20, 0, 1, 24, 0, 1, 110, 0], [0, 773, 30, 0, 0, 35, 0, 9, 461, 0], [3, 0, 1125, 0, 8, 2, 0, 11, 55, 1], [3, 1, 260, 615, 0, 130, 1, 46, 125, 1], [0, 0, 23, 0, 835, 1, 4, 8, 237, 71], [4, 0, 4, 5, 2, 802, 1, 11, 203, 0], [7, 0, 30, 0, 5, 65, 921, 0, 167, 0], [0, 0, 87, 0, 1, 3, 0, 1112, 59, 5], [0, 2, 23, 1, 0, 12, 0, 3, 1194, 0], [2, 0, 8, 2, 21, 4, 0, 182, 419, 561]]",1,1
