cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations
0,"['0.9295', '1.0000', '0.0000', '0.8055', '0.0000', '0.0000', '0.6443', '0.0152', '0.0000', '0.7521']","['0.8869', '0.2655', '0.0000', '0.6103', '0.0000', '0.0000', '0.8262', '1.0000', '0.0000', '0.2982']","['0.9295', '1.0000', '0.0000', '0.8055', '0.0000', '0.0000', '0.6443', '0.0152', '0.0000', '0.7521']","['0.9077', '0.4196', '0.0000', '0.6944', '0.0000', '0.0000', '0.7240', '0.0300', '0.0000', '0.4270']","['0.9295', '1.0000', '0.0000', '0.8055', '0.0000', '0.0000', '0.6443', '0.0152', '0.0000', '0.7521']","['0.9866', '0.6456', '1.0000', '0.9434', '1.0000', '1.0000', '0.9853', '1.0000', '1.0000', '0.7989']","[[659, 17, 0, 1, 0, 0, 11, 0, 0, 21], [0, 795, 0, 0, 0, 0, 0, 0, 0, 0], [36, 619, 0, 13, 0, 0, 6, 0, 0, 45], [4, 113, 0, 559, 0, 0, 1, 0, 0, 17], [2, 170, 0, 13, 0, 0, 16, 0, 0, 463], [9, 261, 0, 290, 0, 0, 11, 0, 0, 38], [13, 151, 0, 2, 0, 0, 442, 0, 0, 78], [8, 197, 0, 2, 0, 0, 0, 11, 0, 504], [8, 520, 0, 21, 0, 0, 41, 0, 0, 98], [4, 151, 0, 15, 0, 0, 7, 0, 0, 537]]",-1,-1,-1,-1
1,"['0.9831', '0.9597', '0.5007', '0.8833', '0.0045', '0.2036', '0.6647', '0.5651', '0.1017', '0.6555']","['0.6520', '0.4672', '0.6870', '0.6729', '1.0000', '0.8158', '0.8231', '0.4945', '0.8642', '0.3750']","['0.9831', '0.9597', '0.5007', '0.8833', '0.0045', '0.2036', '0.6647', '0.5651', '0.1017', '0.6555']","['0.7840', '0.6285', '0.5792', '0.7639', '0.0090', '0.3259', '0.7355', '0.5275', '0.1821', '0.4771']","['0.9831', '0.9597', '0.5007', '0.8833', '0.0045', '0.2036', '0.6647', '0.5651', '0.1017', '0.6555']","['0.9409', '0.8598', '0.9739', '0.9527', '1.0000', '0.9956', '0.9845', '0.9336', '0.9983', '0.8759']","[[697, 2, 5, 1, 0, 0, 2, 2, 0, 0], [0, 763, 29, 3, 0, 0, 0, 0, 0, 0], [59, 195, 360, 19, 0, 1, 6, 66, 10, 3], [11, 35, 5, 613, 0, 0, 1, 25, 1, 3], [13, 76, 35, 12, 3, 7, 24, 51, 0, 443], [111, 105, 17, 212, 0, 124, 14, 25, 0, 1], [108, 64, 11, 3, 0, 2, 456, 1, 0, 41], [14, 45, 20, 4, 0, 2, 0, 408, 0, 229], [34, 279, 38, 26, 0, 8, 50, 123, 70, 60], [22, 69, 4, 18, 0, 8, 1, 124, 0, 468]]","[7, 8, 7, 7, 8, 9, 3, 2, 8, 7, 9, 2, 1, 7, 4, 2]","[5, 5, 4, 2, 2, 8, 8, 5, 8, 5, 8, 8, 8, 8, 2, 9]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 1. 0. 0. 1. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]
 [0. 0. 1. 0. 0. 0. 0. 2. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 1. 1. 0. 0. 0. 1. 1. 2.]
 [0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]]",16
2,"['0.9788', '0.8981', '0.6634', '0.9049', '0.1431', '0.1856', '0.8017', '0.7812', '0.3212', '0.6359']","['0.7895', '0.5877', '0.6863', '0.6236', '0.6985', '0.9339', '0.8308', '0.5709', '0.8340', '0.4399']","['0.9788', '0.8981', '0.6634', '0.9049', '0.1431', '0.1856', '0.8017', '0.7812', '0.3212', '0.6359']","['0.8741', '0.7104', '0.6747', '0.7384', '0.2375', '0.3096', '0.8160', '0.6596', '0.4638', '0.5200']","['0.9788', '0.8981', '0.6634', '0.9049', '0.1431', '0.1856', '0.8017', '0.7812', '0.3212', '0.6359']","['0.9706', '0.9193', '0.9653', '0.9399', '0.9935', '0.9987', '0.9823', '0.9325', '0.9930', '0.9080']","[[694, 2, 5, 1, 0, 0, 5, 2, 0, 0], [0, 714, 79, 2, 0, 0, 0, 0, 0, 0], [31, 109, 477, 21, 1, 0, 8, 52, 18, 2], [4, 18, 15, 628, 0, 0, 1, 22, 6, 0], [3, 47, 34, 21, 95, 1, 22, 17, 8, 416], [64, 55, 26, 260, 1, 113, 26, 52, 9, 3], [39, 40, 16, 2, 16, 1, 550, 0, 0, 22], [13, 31, 19, 5, 1, 0, 0, 564, 1, 88], [19, 161, 22, 29, 16, 2, 48, 123, 221, 47], [12, 38, 2, 38, 6, 4, 2, 156, 2, 454]]","[1, 8, 0, 9, 6, 7, 9, 2, 9, 0, 8, 1, 0, 0, 3, 3]","[8, 4, 4, 9, 8, 4, 8, 5, 8, 8, 4, 8, 5, 8, 8, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 1. 0. 0. 1. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 0. 0. 2. 2. 0.]
 [1. 0. 2. 0. 0. 0. 0. 2. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [2. 3. 1. 2. 0. 0. 1. 1. 1. 4.]
 [0. 0. 1. 0. 0. 0. 0. 0. 0. 1.]]",32
3,"['0.9803', '0.9220', '0.7051', '0.9035', '0.3223', '0.4811', '0.8513', '0.8740', '0.3227', '0.6653']","['0.8797', '0.6586', '0.7800', '0.7299', '0.6257', '0.9243', '0.8782', '0.6067', '0.7900', '0.5037']","['0.9803', '0.9220', '0.7051', '0.9035', '0.3223', '0.4811', '0.8513', '0.8740', '0.3227', '0.6653']","['0.9273', '0.7683', '0.7407', '0.8075', '0.4254', '0.6328', '0.8645', '0.7162', '0.4582', '0.5733']","['0.9803', '0.9220', '0.7051', '0.9035', '0.3223', '0.4811', '0.8513', '0.8740', '0.3227', '0.6653']","['0.9849', '0.9388', '0.9772', '0.9632', '0.9798', '0.9962', '0.9872', '0.9349', '0.9907', '0.9255']","[[695, 1, 4, 2, 0, 1, 4, 1, 1, 0], [0, 733, 57, 2, 0, 0, 0, 0, 3, 0], [14, 96, 507, 18, 2, 0, 7, 49, 25, 1], [3, 12, 18, 627, 0, 3, 1, 23, 7, 0], [4, 29, 17, 14, 214, 2, 20, 16, 9, 339], [24, 48, 13, 138, 4, 293, 15, 58, 11, 5], [26, 21, 8, 1, 34, 6, 584, 1, 3, 2], [3, 23, 17, 1, 1, 0, 0, 631, 0, 46], [11, 128, 7, 32, 57, 5, 34, 117, 222, 75], [10, 22, 2, 24, 30, 7, 0, 144, 0, 475]]","[9, 0, 7, 5, 7, 9, 3, 8, 3, 4, 7, 0, 1, 7, 4, 6]","[8, 8, 4, 4, 4, 0, 5, 6, 4, 4, 5, 8, 4, 2, 4, 5]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 1. 0. 0. 2. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 0. 2. 2. 1. 0. 4. 2. 0.]
 [1. 0. 2. 1. 0. 0. 1. 3. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [4. 3. 1. 2. 0. 0. 1. 1. 1. 5.]
 [0. 0. 1. 0. 0. 0. 0. 0. 0. 1.]]",48
4,"['0.9803', '0.8881', '0.7942', '0.8285', '0.4518', '0.5895', '0.9300', '0.8449', '0.4419', '0.6737']","['0.8167', '0.7385', '0.7302', '0.8712', '0.6211', '0.9398', '0.8159', '0.7110', '0.7735', '0.5639']","['0.9803', '0.8881', '0.7942', '0.8285', '0.4518', '0.5895', '0.9300', '0.8449', '0.4419', '0.6737']","['0.8910', '0.8064', '0.7608', '0.8493', '0.5231', '0.7245', '0.8692', '0.7722', '0.5624', '0.6139']","['0.9803', '0.8881', '0.7942', '0.8285', '0.4518', '0.5895', '0.9300', '0.8449', '0.4419', '0.6737']","['0.9752', '0.9597', '0.9664', '0.9865', '0.9711', '0.9964', '0.9772', '0.9605', '0.9859', '0.9408']","[[695, 0, 4, 0, 0, 0, 8, 1, 1, 0], [0, 706, 74, 0, 0, 0, 2, 1, 12, 0], [19, 53, 571, 6, 2, 0, 10, 34, 23, 1], [9, 10, 45, 575, 0, 7, 1, 27, 19, 1], [8, 25, 23, 10, 300, 2, 31, 2, 16, 247], [56, 45, 23, 44, 8, 359, 45, 19, 10, 0], [17, 8, 7, 0, 15, 1, 638, 0, 0, 0], [12, 15, 20, 1, 3, 0, 1, 610, 7, 53], [17, 73, 12, 9, 82, 3, 45, 73, 304, 70], [18, 21, 3, 15, 73, 10, 1, 91, 1, 481]]","[8, 1, 4, 5, 3, 8, 4, 0, 1, 9, 1, 6, 1, 4, 6, 1]","[4, 8, 3, 8, 4, 5, 8, 5, 5, 4, 4, 5, 4, 8, 4, 5]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 1. 0. 0. 2. 1. 0.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
 [1. 3. 0. 3. 2. 1. 1. 4. 3. 1.]
 [2. 2. 2. 1. 0. 0. 2. 3. 2. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [4. 4. 1. 2. 2. 1. 1. 1. 1. 5.]
 [0. 0. 1. 0. 0. 0. 0. 0. 0. 1.]]",64
5,"['0.9803', '0.9019', '0.7691', '0.8300', '0.5226', '0.6798', '0.9257', '0.8643', '0.3924', '0.6709']","['0.8414', '0.7923', '0.8144', '0.8930', '0.5552', '0.9000', '0.8663', '0.7239', '0.7068', '0.5425']","['0.9803', '0.9019', '0.7691', '0.8300', '0.5226', '0.6798', '0.9257', '0.8643', '0.3924', '0.6709']","['0.9055', '0.8435', '0.7911', '0.8603', '0.5384', '0.7746', '0.8950', '0.7879', '0.5047', '0.5999']","['0.9803', '0.9019', '0.7691', '0.8300', '0.5226', '0.6798', '0.9257', '0.8643', '0.3924', '0.6709']","['0.9792', '0.9697', '0.9799', '0.9891', '0.9561', '0.9928', '0.9845', '0.9621', '0.9823', '0.9357']","[[695, 1, 4, 0, 0, 1, 6, 1, 1, 0], [0, 717, 39, 0, 1, 1, 1, 1, 35, 0], [21, 42, 553, 13, 3, 0, 10, 45, 30, 2], [7, 5, 33, 576, 0, 19, 2, 33, 15, 4], [11, 10, 14, 5, 347, 1, 28, 1, 12, 235], [41, 43, 12, 28, 8, 414, 22, 26, 8, 7], [22, 4, 5, 0, 15, 3, 635, 0, 0, 2], [5, 12, 13, 0, 3, 1, 1, 624, 10, 53], [12, 58, 5, 17, 107, 7, 28, 83, 270, 101], [12, 13, 1, 6, 141, 13, 0, 48, 1, 479]]","[0, 0, 3, 3, 0, 7, 6, 6, 6, 1, 9, 3, 4, 5, 1, 4]","[8, 8, 8, 4, 0, 0, 5, 8, 4, 5, 5, 8, 4, 5, 5, 3]","[[1. 0. 0. 0. 0. 0. 0. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 1. 0. 0. 2. 1. 0.]
 [0. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
 [1. 3. 0. 4. 3. 1. 2. 4. 3. 1.]
 [2. 4. 2. 1. 0. 1. 3. 3. 2. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [6. 4. 1. 4. 2. 1. 2. 1. 1. 5.]
 [0. 0. 1. 0. 0. 0. 0. 0. 0. 1.]]",80
6,"['0.9803', '0.9069', '0.8526', '0.8617', '0.6235', '0.6535', '0.9184', '0.8712', '0.4390', '0.6373']","['0.8196', '0.7753', '0.7769', '0.8482', '0.6244', '0.9277', '0.8525', '0.7727', '0.7550', '0.6662']","['0.9803', '0.9069', '0.8526', '0.8617', '0.6235', '0.6535', '0.9184', '0.8712', '0.4390', '0.6373']","['0.8927', '0.8359', '0.8130', '0.8549', '0.6240', '0.7669', '0.8842', '0.8190', '0.5551', '0.6514']","['0.9803', '0.9069', '0.8526', '0.8617', '0.6235', '0.6535', '0.9184', '0.8712', '0.4390', '0.6373']","['0.9757', '0.9663', '0.9720', '0.9830', '0.9607', '0.9951', '0.9827', '0.9705', '0.9845', '0.9637']","[[695, 1, 6, 0, 0, 0, 5, 1, 1, 0], [0, 721, 27, 1, 0, 0, 1, 1, 44, 0], [15, 32, 613, 10, 2, 0, 8, 22, 17, 0], [11, 2, 43, 598, 0, 6, 0, 18, 14, 2], [10, 21, 31, 11, 414, 1, 32, 0, 7, 137], [40, 54, 14, 39, 5, 398, 32, 19, 6, 2], [23, 8, 8, 0, 13, 3, 630, 0, 0, 1], [12, 9, 25, 2, 4, 0, 1, 629, 9, 31], [22, 66, 15, 31, 98, 5, 30, 64, 302, 55], [20, 16, 7, 13, 127, 16, 0, 60, 0, 455]]","[5, 0, 6, 1, 2, 3, 1, 0, 0, 7, 7, 2, 8, 3, 7, 8]","[5, 8, 5, 4, 4, 4, 8, 4, 3, 8, 8, 7, 5, 6, 8, 5]","[[1. 0. 0. 0. 0. 0. 0. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 1. 0. 0. 2. 1. 0.]
 [1. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
 [2. 4. 1. 5. 3. 1. 2. 4. 3. 1.]
 [2. 4. 2. 1. 0. 2. 4. 3. 4. 1.]
 [0. 0. 0. 1. 0. 0. 0. 0. 1. 0.]
 [0. 0. 1. 0. 0. 0. 0. 0. 0. 0.]
 [7. 5. 1. 4. 2. 1. 2. 4. 1. 5.]
 [0. 0. 1. 0. 0. 0. 0. 0. 0. 1.]]",96
7,"['0.9929', '0.9220', '0.8693', '0.7911', '0.3208', '0.6043', '0.8426', '0.8255', '0.2108', '0.8025']","['0.6465', '0.8020', '0.7267', '0.9135', '0.6192', '0.8954', '0.8892', '0.7563', '0.8146', '0.4918']","['0.9929', '0.9220', '0.8693', '0.7911', '0.3208', '0.6043', '0.8426', '0.8255', '0.2108', '0.8025']","['0.7831', '0.8578', '0.7916', '0.8479', '0.4226', '0.7216', '0.8653', '0.7894', '0.3349', '0.6099']","['0.9929', '0.9220', '0.8693', '0.7911', '0.3208', '0.6043', '0.8426', '0.8255', '0.2108', '0.8025']","['0.9388', '0.9708', '0.9626', '0.9918', '0.9793', '0.9933', '0.9886', '0.9694', '0.9948', '0.9058']","[[704, 1, 1, 0, 0, 0, 2, 0, 1, 0], [0, 733, 48, 0, 1, 0, 0, 1, 12, 0], [31, 20, 625, 11, 4, 0, 5, 19, 1, 3], [39, 5, 51, 549, 0, 14, 0, 23, 5, 8], [18, 18, 15, 7, 213, 1, 14, 1, 8, 369], [123, 38, 18, 10, 4, 368, 21, 12, 3, 12], [70, 8, 9, 0, 16, 3, 578, 0, 1, 1], [27, 9, 33, 1, 2, 1, 0, 596, 2, 51], [50, 64, 55, 15, 80, 6, 29, 96, 145, 148], [27, 18, 5, 8, 24, 18, 1, 40, 0, 573]]","[3, 2, 6, 6, 1, 6, 6, 3, 0, 4, 9, 4, 0, 3, 2, 6]","[7, 8, 8, 8, 9, 8, 8, 8, 8, 8, 7, 4, 8, 9, 5, 8]","[[1. 0. 0. 0. 0. 0. 0. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 1. 0. 0. 2. 1. 0.]
 [1. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
 [2. 4. 1. 5. 4. 1. 2. 4. 3. 1.]
 [2. 4. 3. 1. 0. 2. 4. 3. 4. 1.]
 [0. 0. 0. 1. 0. 0. 0. 0. 1. 0.]
 [0. 0. 1. 1. 0. 0. 0. 0. 0. 1.]
 [9. 5. 2. 5. 3. 1. 7. 4. 1. 5.]
 [0. 1. 1. 1. 0. 0. 0. 0. 0. 1.]]",112
8,"['0.9774', '0.9874', '0.7524', '0.8300', '0.7349', '0.7274', '0.9300', '0.8934', '0.2892', '0.6022']","['0.8514', '0.6630', '0.8927', '0.8958', '0.5922', '0.8807', '0.7877', '0.7715', '0.7866', '0.8159']","['0.9774', '0.9874', '0.7524', '0.8300', '0.7349', '0.7274', '0.9300', '0.8934', '0.2892', '0.6022']","['0.9100', '0.7933', '0.8166', '0.8616', '0.6559', '0.7968', '0.8529', '0.8280', '0.4230', '0.6930']","['0.9774', '0.9874', '0.7524', '0.8300', '0.7349', '0.7274', '0.9300', '0.8934', '0.2892', '0.6022']","['0.9808', '0.9357', '0.9897', '0.9894', '0.9470', '0.9906', '0.9728', '0.9696', '0.9914', '0.9846']","[[693, 2, 2, 0, 0, 1, 9, 1, 1, 0], [0, 785, 0, 0, 1, 0, 0, 0, 9, 0], [14, 96, 541, 13, 3, 0, 9, 29, 13, 1], [8, 13, 27, 576, 2, 10, 2, 29, 22, 5], [8, 57, 15, 7, 488, 1, 55, 0, 0, 33], [29, 57, 5, 24, 6, 443, 24, 15, 3, 3], [18, 16, 3, 0, 6, 5, 638, 0, 0, 0], [9, 19, 9, 0, 7, 1, 1, 645, 4, 27], [18, 119, 0, 15, 148, 11, 68, 82, 199, 28], [17, 20, 4, 8, 163, 31, 4, 35, 2, 430]]","[9, 9, 1, 0, 2, 3, 7, 4, 0, 9, 5, 4, 6, 1, 1, 1]","[8, 5, 4, 5, 5, 5, 8, 8, 8, 9, 8, 5, 5, 5, 5, 5]","[[ 1.  0.  0.  0.  0.  0.  0.  1.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  2.  1.  0.]
 [ 1.  0.  0.  0.  2.  0.  0.  0.  0.  0.]
 [ 2.  5.  1.  5.  4.  1.  2.  4.  3.  1.]
 [ 3.  7.  4.  2.  1.  2.  5.  3.  4.  2.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  1.  1.  0.  0.  0.  0.  0.  1.]
 [10.  5.  2.  5.  4.  2.  7.  5.  1.  6.]
 [ 0.  1.  1.  1.  0.  0.  0.  0.  0.  2.]]",128
9,"['0.9831', '0.9409', '0.8554', '0.8501', '0.6792', '0.6814', '0.9271', '0.8989', '0.4346', '0.6821']","['0.8002', '0.8386', '0.8167', '0.8453', '0.6865', '0.8646', '0.8314', '0.7591', '0.7746', '0.7574']","['0.9831', '0.9409', '0.8554', '0.8501', '0.6792', '0.6814', '0.9271', '0.8989', '0.4346', '0.6821']","['0.8823', '0.8868', '0.8356', '0.8477', '0.6828', '0.7622', '0.8766', '0.8231', '0.5568', '0.7178']","['0.9831', '0.9409', '0.8554', '0.8501', '0.6792', '0.6814', '0.9271', '0.8989', '0.4346', '0.6821']","['0.9723', '0.9768', '0.9780', '0.9829', '0.9675', '0.9898', '0.9796', '0.9672', '0.9862', '0.9752']","[[697, 1, 4, 0, 0, 0, 5, 1, 1, 0], [0, 748, 4, 0, 1, 1, 1, 1, 39, 0], [14, 29, 615, 12, 2, 0, 9, 27, 11, 0], [8, 1, 38, 590, 1, 14, 2, 24, 15, 1], [15, 18, 33, 19, 451, 4, 44, 0, 5, 75], [56, 31, 22, 35, 2, 415, 26, 16, 5, 1], [28, 3, 6, 0, 8, 4, 636, 0, 0, 1], [9, 5, 19, 2, 4, 0, 1, 649, 10, 23], [24, 45, 7, 27, 97, 8, 39, 87, 299, 55], [20, 11, 5, 13, 91, 34, 2, 50, 1, 487]]","[3, 9, 3, 0, 9, 5, 5, 9, 7, 2, 9, 7, 9, 2, 6, 2]","[9, 8, 8, 8, 9, 8, 8, 8, 8, 9, 4, 8, 8, 8, 4, 4]","[[ 1.  0.  0.  0.  0.  0.  0.  1.  0.  1.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  1.  0.  0.  2.  1.  0.]
 [ 1.  0.  0.  0.  2.  0.  0.  0.  0.  0.]
 [ 2.  5.  2.  5.  4.  1.  3.  4.  3.  2.]
 [ 3.  7.  4.  2.  1.  2.  5.  3.  4.  2.]
 [ 0.  0.  0.  1.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  1.  1.  0.  0.  0.  0.  0.  1.]
 [11.  5.  3.  6.  4.  4.  7.  7.  1.  9.]
 [ 0.  1.  2.  2.  0.  0.  0.  0.  0.  3.]]",144
