cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label
0,"['0.8923', '0.9443', '0.7161', '0.8009', '0.7789', '0.8700', '0.0403', '0.8785', '0.9476', '0.9357']","['0.6824', '0.9802', '0.5541', '0.8367', '0.5809', '0.9326', '0.3457', '0.8491', '0.9582', '0.9008']","['0.8923', '0.9443', '0.7161', '0.8009', '0.7789', '0.8700', '0.0403', '0.8785', '0.9476', '0.9357']","['0.7733', '0.9619', '0.6248', '0.8184', '0.6655', '0.9002', '0.0723', '0.8636', '0.9528', '0.9179']","['0.8923', '0.9443', '0.7161', '0.8009', '0.7789', '0.8700', '0.0403', '0.8785', '0.9476', '0.9357']","['0.9527', '0.9979', '0.9344', '0.9832', '0.9366', '0.9930', '0.9916', '0.9844', '0.9952', '0.9877']","[[638, 0, 15, 35, 5, 2, 13, 0, 7, 0], [1, 644, 0, 31, 2, 1, 1, 0, 2, 0], [16, 1, 512, 4, 166, 0, 13, 0, 3, 0], [73, 7, 10, 543, 32, 0, 12, 0, 1, 0], [7, 1, 112, 22, 553, 0, 12, 0, 3, 0], [2, 0, 0, 0, 0, 609, 0, 63, 6, 20], [191, 2, 264, 12, 188, 2, 28, 0, 7, 0], [0, 0, 0, 0, 0, 19, 0, 557, 1, 57], [7, 2, 11, 2, 6, 8, 2, 0, 687, 0], [0, 0, 0, 0, 0, 12, 0, 36, 0, 699]]",-1,-1
1,"['0.8713', '0.9692', '0.7580', '0.8673', '0.7521', '0.9143', '0.1599', '0.9180', '0.9503', '0.9612']","['0.7329', '0.9822', '0.5841', '0.8317', '0.6717', '0.9453', '0.4476', '0.9108', '0.9650', '0.9337']","['0.8713', '0.9692', '0.7580', '0.8673', '0.7521', '0.9143', '0.1599', '0.9180', '0.9503', '0.9612']","['0.7962', '0.9756', '0.6598', '0.8491', '0.7096', '0.9296', '0.2357', '0.9144', '0.9576', '0.9472']","['0.8713', '0.9692', '0.7580', '0.8673', '0.7521', '0.9143', '0.1599', '0.9180', '0.9503', '0.9612']","['0.9639', '0.9981', '0.9386', '0.9812', '0.9585', '0.9941', '0.9783', '0.9910', '0.9960', '0.9918']","[[623, 0, 11, 44, 4, 1, 25, 0, 6, 1], [1, 661, 0, 17, 0, 1, 0, 0, 2, 0], [15, 0, 542, 5, 111, 1, 40, 0, 1, 0], [40, 4, 3, 588, 17, 0, 25, 0, 1, 0], [0, 1, 106, 28, 534, 0, 39, 0, 2, 0], [0, 0, 0, 0, 0, 640, 0, 36, 7, 17], [168, 4, 260, 19, 126, 1, 111, 0, 5, 0], [0, 0, 0, 0, 0, 18, 0, 582, 1, 33], [3, 3, 6, 6, 3, 7, 8, 0, 689, 0], [0, 0, 0, 0, 0, 8, 0, 21, 0, 718]]",1,1
2,"['0.8881', '0.9692', '0.6140', '0.8289', '0.8944', '0.9114', '0.3199', '0.9558', '0.9710', '0.9438']","['0.7350', '0.9836', '0.8026', '0.8823', '0.5924', '0.9580', '0.5781', '0.8912', '0.9488', '0.9579']","['0.8881', '0.9692', '0.6140', '0.8289', '0.8944', '0.9114', '0.3199', '0.9558', '0.9710', '0.9438']","['0.8043', '0.9764', '0.6957', '0.8548', '0.7127', '0.9341', '0.4119', '0.9224', '0.9598', '0.9508']","['0.8881', '0.9692', '0.6140', '0.8289', '0.8944', '0.9114', '0.3199', '0.9558', '0.9710', '0.9438']","['0.9636', '0.9983', '0.9828', '0.9881', '0.9305', '0.9956', '0.9743', '0.9884', '0.9939', '0.9950']","[[635, 0, 11, 28, 6, 0, 23, 0, 11, 1], [1, 661, 0, 15, 2, 1, 0, 0, 2, 0], [16, 1, 439, 4, 164, 1, 83, 0, 7, 0], [42, 2, 2, 562, 52, 0, 17, 0, 1, 0], [0, 2, 25, 10, 635, 0, 34, 0, 4, 0], [0, 0, 0, 1, 0, 638, 0, 39, 5, 17], [169, 5, 69, 12, 208, 1, 222, 0, 8, 0], [0, 0, 0, 0, 0, 15, 0, 606, 0, 13], [1, 1, 1, 5, 5, 2, 5, 1, 704, 0], [0, 0, 0, 0, 0, 8, 0, 34, 0, 705]]",8,8
3,"['0.8909', '0.9721', '0.7203', '0.8392', '0.7972', '0.9343', '0.4784', '0.9558', '0.9476', '0.9572']","['0.7416', '0.9866', '0.7756', '0.8989', '0.7075', '0.9520', '0.5764', '0.9127', '0.9717', '0.9688']","['0.8909', '0.9721', '0.7203', '0.8392', '0.7972', '0.9343', '0.4784', '0.9558', '0.9476', '0.9572']","['0.8094', '0.9793', '0.7469', '0.8680', '0.7497', '0.9430', '0.5228', '0.9337', '0.9595', '0.9630']","['0.8909', '0.9721', '0.7203', '0.8392', '0.7972', '0.9343', '0.4784', '0.9558', '0.9476', '0.9572']","['0.9647', '0.9986', '0.9763', '0.9899', '0.9628', '0.9948', '0.9613', '0.9909', '0.9968', '0.9963']","[[637, 0, 16, 24, 2, 0, 31, 0, 5, 0], [2, 663, 0, 12, 2, 1, 0, 0, 2, 0], [13, 1, 515, 5, 100, 0, 80, 0, 1, 0], [39, 3, 4, 569, 37, 0, 25, 0, 1, 0], [1, 2, 35, 11, 566, 0, 91, 0, 4, 0], [0, 0, 0, 0, 0, 654, 0, 34, 1, 11], [160, 3, 93, 8, 91, 1, 332, 0, 6, 0], [0, 0, 0, 0, 0, 16, 0, 606, 0, 12], [7, 0, 1, 4, 2, 6, 17, 1, 687, 0], [0, 0, 0, 0, 0, 9, 0, 23, 0, 715]]",3,3
4,"['0.7049', '0.9721', '0.7706', '0.8437', '0.7718', '0.9086', '0.6268', '0.9653', '0.9559', '0.9558']","['0.8542', '0.9896', '0.7446', '0.8854', '0.7456', '0.9680', '0.5273', '0.8974', '0.9706', '0.9636']","['0.7049', '0.9721', '0.7706', '0.8437', '0.7718', '0.9086', '0.6268', '0.9653', '0.9559', '0.9558']","['0.7724', '0.9808', '0.7574', '0.8640', '0.7585', '0.9374', '0.5727', '0.9301', '0.9632', '0.9597']","['0.7049', '0.9721', '0.7706', '0.8437', '0.7718', '0.9086', '0.6268', '0.9653', '0.9559', '0.9558']","['0.9863', '0.9989', '0.9699', '0.9883', '0.9703', '0.9967', '0.9382', '0.9890', '0.9967', '0.9957']","[[504, 0, 19, 26, 1, 0, 158, 0, 7, 0], [0, 663, 1, 13, 1, 0, 2, 0, 2, 0], [4, 1, 551, 4, 78, 1, 75, 0, 1, 0], [19, 3, 4, 572, 35, 0, 45, 0, 0, 0], [0, 0, 52, 17, 548, 0, 91, 0, 2, 0], [1, 0, 0, 1, 0, 636, 0, 45, 4, 13], [61, 3, 109, 9, 71, 1, 435, 0, 5, 0], [0, 0, 0, 0, 0, 8, 0, 612, 0, 14], [1, 0, 4, 4, 1, 3, 19, 0, 693, 0], [0, 0, 0, 0, 0, 8, 0, 25, 0, 714]]",8,8
5,"['0.8014', '0.9736', '0.6434', '0.8687', '0.8634', '0.9500', '0.5447', '0.9369', '0.9241', '0.9531']","['0.7785', '0.9808', '0.8318', '0.8700', '0.6692', '0.9236', '0.5736', '0.9224', '0.9767', '0.9727']","['0.8014', '0.9736', '0.6434', '0.8687', '0.8634', '0.9500', '0.5447', '0.9369', '0.9241', '0.9531']","['0.7898', '0.9772', '0.7256', '0.8694', '0.7540', '0.9366', '0.5588', '0.9296', '0.9497', '0.9628']","['0.8014', '0.9736', '0.6434', '0.8687', '0.8634', '0.9500', '0.5447', '0.9369', '0.9241', '0.9531']","['0.9741', '0.9979', '0.9852', '0.9861', '0.9518', '0.9913', '0.9554', '0.9921', '0.9975', '0.9968']","[[573, 0, 15, 39, 3, 0, 79, 0, 6, 0], [1, 664, 0, 13, 0, 1, 2, 0, 1, 0], [9, 1, 460, 6, 136, 3, 98, 0, 2, 0], [22, 5, 1, 589, 37, 0, 24, 0, 0, 0], [0, 3, 18, 14, 613, 0, 60, 0, 2, 0], [0, 0, 0, 0, 0, 665, 0, 24, 1, 10], [118, 3, 58, 10, 122, 1, 378, 0, 4, 0], [0, 0, 0, 0, 0, 30, 0, 594, 0, 10], [12, 1, 1, 6, 5, 8, 18, 4, 670, 0], [1, 0, 0, 0, 0, 12, 0, 22, 0, 712]]",3,3
6,"['0.8350', '0.9707', '0.7203', '0.8437', '0.8296', '0.9243', '0.5706', '0.9716', '0.9448', '0.9545']","['0.7886', '0.9851', '0.8123', '0.8994', '0.7139', '0.9614', '0.5815', '0.9086', '0.9621', '0.9740']","['0.8350', '0.9707', '0.7203', '0.8437', '0.8296', '0.9243', '0.5706', '0.9716', '0.9448', '0.9545']","['0.8111', '0.9778', '0.7635', '0.8706', '0.7674', '0.9425', '0.5760', '0.9390', '0.9534', '0.9642']","['0.8350', '0.9707', '0.7203', '0.8437', '0.8296', '0.9243', '0.5706', '0.9716', '0.9448', '0.9545']","['0.9745', '0.9984', '0.9811', '0.9899', '0.9625', '0.9959', '0.9548', '0.9903', '0.9957', '0.9970']","[[597, 0, 12, 21, 1, 0, 76, 1, 7, 0], [0, 662, 0, 13, 3, 1, 1, 0, 2, 0], [9, 1, 515, 4, 98, 1, 83, 0, 4, 0], [27, 3, 0, 572, 39, 0, 35, 0, 2, 0], [0, 2, 33, 13, 589, 0, 71, 0, 2, 0], [0, 0, 0, 0, 0, 647, 0, 40, 2, 11], [115, 3, 73, 8, 90, 1, 396, 0, 8, 0], [0, 0, 0, 0, 0, 10, 0, 616, 0, 8], [8, 1, 1, 5, 5, 1, 19, 0, 685, 0], [1, 0, 0, 0, 0, 12, 0, 21, 0, 713]]",4,4
7,"['0.8378', '0.9736', '0.7231', '0.8392', '0.8789', '0.9143', '0.5303', '0.9590', '0.9476', '0.9692']","['0.7861', '0.9822', '0.8091', '0.9032', '0.6933', '0.9668', '0.6174', '0.9061', '0.9759', '0.9526']","['0.8378', '0.9736', '0.7231', '0.8392', '0.8789', '0.9143', '0.5303', '0.9590', '0.9476', '0.9692']","['0.8111', '0.9779', '0.7637', '0.8700', '0.7752', '0.9398', '0.5705', '0.9318', '0.9615', '0.9608']","['0.8378', '0.9736', '0.7231', '0.8392', '0.8789', '0.9143', '0.5303', '0.9590', '0.9476', '0.9692']","['0.9741', '0.9981', '0.9806', '0.9904', '0.9561', '0.9965', '0.9638', '0.9901', '0.9973', '0.9942']","[[599, 0, 13, 24, 1, 0, 72, 0, 6, 0], [1, 664, 0, 12, 2, 0, 0, 0, 2, 1], [7, 1, 517, 6, 109, 2, 71, 0, 2, 0], [31, 5, 3, 569, 40, 1, 28, 0, 1, 0], [1, 2, 25, 10, 624, 0, 47, 0, 1, 0], [0, 0, 0, 0, 0, 640, 0, 41, 1, 18], [118, 3, 79, 6, 113, 2, 368, 1, 4, 0], [0, 0, 0, 0, 0, 9, 0, 608, 0, 17], [5, 1, 2, 3, 11, 4, 10, 2, 687, 0], [0, 0, 0, 0, 0, 4, 0, 19, 0, 724]]",9,9
8,"['0.7972', '0.9707', '0.7510', '0.8746', '0.8380', '0.9300', '0.5519', '0.9763', '0.9393', '0.9317']","['0.7798', '0.9881', '0.8003', '0.8838', '0.7274', '0.9421', '0.6051', '0.8830', '0.9687', '0.9789']","['0.7972', '0.9707', '0.7510', '0.8746', '0.8380', '0.9300', '0.5519', '0.9763', '0.9393', '0.9317']","['0.7884', '0.9793', '0.7749', '0.8792', '0.7788', '0.9360', '0.5772', '0.9273', '0.9538', '0.9547']","['0.7972', '0.9707', '0.7510', '0.8746', '0.8380', '0.9300', '0.5519', '0.9763', '0.9393', '0.9317']","['0.9744', '0.9987', '0.9787', '0.9877', '0.9645', '0.9937', '0.9604', '0.9871', '0.9965', '0.9976']","[[570, 1, 15, 29, 1, 3, 88, 0, 8, 0], [1, 662, 0, 14, 0, 2, 1, 0, 2, 0], [12, 1, 537, 7, 85, 2, 69, 0, 2, 0], [24, 2, 2, 593, 33, 1, 22, 0, 1, 0], [2, 0, 39, 16, 595, 0, 56, 0, 2, 0], [0, 0, 0, 0, 0, 651, 0, 39, 1, 9], [114, 3, 77, 8, 100, 2, 383, 1, 6, 0], [0, 0, 0, 0, 0, 9, 0, 619, 0, 6], [7, 1, 1, 4, 4, 10, 14, 3, 681, 0], [1, 0, 0, 0, 0, 11, 0, 39, 0, 696]]",8,8
9,"['0.8336', '0.9751', '0.7762', '0.8363', '0.7648', '0.9271', '0.6037', '0.9606', '0.9407', '0.9625']","['0.7760', '0.9794', '0.7741', '0.9116', '0.7927', '0.9586', '0.5708', '0.9130', '0.9688', '0.9625']","['0.8336', '0.9751', '0.7762', '0.8363', '0.7648', '0.9271', '0.6037', '0.9606', '0.9407', '0.9625']","['0.8038', '0.9772', '0.7751', '0.8723', '0.7785', '0.9426', '0.5868', '0.9362', '0.9545', '0.9625']","['0.8336', '0.9751', '0.7762', '0.8363', '0.7648', '0.9271', '0.6037', '0.9606', '0.9407', '0.9625']","['0.9726', '0.9978', '0.9742', '0.9913', '0.9774', '0.9956', '0.9500', '0.9909', '0.9965', '0.9955']","[[596, 0, 15, 19, 0, 1, 77, 0, 7, 0], [2, 665, 0, 11, 0, 0, 2, 0, 1, 1], [10, 0, 555, 5, 53, 2, 88, 0, 2, 0], [30, 6, 4, 567, 26, 0, 42, 0, 3, 0], [2, 2, 61, 12, 543, 0, 88, 0, 2, 0], [0, 0, 0, 0, 0, 649, 0, 37, 2, 12], [117, 5, 78, 6, 61, 2, 419, 0, 5, 1], [0, 0, 0, 0, 0, 11, 0, 609, 0, 14], [11, 1, 4, 2, 2, 4, 18, 1, 682, 0], [0, 0, 0, 0, 0, 8, 0, 20, 0, 719]]",6,6
