cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label
0,"['0.6431', '0.9725', '0.6391', '0.8565', '0.8687', '0.9366', '0.2254', '0.9234', '0.9326', '0.9435']","['0.8225', '0.9579', '0.5878', '0.7818', '0.5573', '0.9275', '0.4790', '0.9234', '0.9454', '0.9520']","['0.6431', '0.9725', '0.6391', '0.8565', '0.8687', '0.9366', '0.2254', '0.9234', '0.9326', '0.9435']","['0.7218', '0.9651', '0.6123', '0.8174', '0.6790', '0.9320', '0.3065', '0.9234', '0.9390', '0.9477']","['0.6431', '0.9725', '0.6391', '0.8565', '0.8687', '0.9366', '0.2254', '0.9234', '0.9326', '0.9435']","['0.9844', '0.9951', '0.9521', '0.9730', '0.9214', '0.9917', '0.9723', '0.9914', '0.9943', '0.9949']","[[454, 4, 12, 87, 19, 0, 123, 0, 7, 0], [0, 706, 1, 12, 6, 0, 1, 0, 0, 0], [4, 0, 432, 8, 196, 3, 26, 0, 7, 0], [4, 18, 3, 609, 57, 0, 19, 0, 1, 0], [0, 2, 70, 19, 622, 0, 2, 0, 1, 0], [0, 0, 1, 3, 1, 665, 1, 26, 4, 9], [86, 4, 206, 35, 205, 1, 160, 0, 13, 0], [0, 0, 0, 0, 0, 30, 0, 651, 2, 22], [4, 3, 10, 3, 10, 10, 1, 3, 623, 1], [0, 0, 0, 3, 0, 8, 1, 25, 1, 634]]",-1,-1
1,"['0.5779', '0.9669', '0.6450', '0.8636', '0.8645', '0.9366', '0.2803', '0.9149', '0.9326', '0.9494']","['0.8571', '0.9669', '0.6022', '0.7822', '0.5592', '0.9223', '0.4543', '0.9348', '0.9468', '0.9452']","['0.5779', '0.9669', '0.6450', '0.8636', '0.8645', '0.9366', '0.2803', '0.9149', '0.9326', '0.9494']","['0.6904', '0.9669', '0.6229', '0.8209', '0.6791', '0.9294', '0.3467', '0.9247', '0.9397', '0.9473']","['0.5779', '0.9669', '0.6450', '0.8636', '0.8645', '0.9366', '0.2803', '0.9149', '0.9326', '0.9494']","['0.9892', '0.9962', '0.9545', '0.9728', '0.9223', '0.9911', '0.9620', '0.9929', '0.9945', '0.9942']","[[408, 4, 11, 84, 19, 0, 173, 0, 7, 0], [0, 702, 1, 16, 6, 0, 1, 0, 0, 0], [3, 0, 436, 7, 192, 3, 29, 0, 6, 0], [2, 12, 2, 614, 56, 0, 24, 0, 1, 0], [0, 2, 69, 20, 619, 0, 5, 0, 1, 0], [1, 0, 2, 3, 0, 665, 1, 23, 4, 11], [59, 3, 193, 35, 206, 2, 199, 0, 13, 0], [0, 0, 0, 0, 0, 33, 0, 645, 2, 25], [3, 3, 10, 3, 9, 9, 5, 2, 623, 1], [0, 0, 0, 3, 0, 9, 1, 20, 1, 638]]",6,6
2,"['0.4108', '0.9669', '0.6213', '0.8706', '0.8673', '0.9352', '0.3676', '0.9177', '0.9416', '0.9539']","['0.8869', '0.9777', '0.6373', '0.7885', '0.5640', '0.9352', '0.4009', '0.9283', '0.9402', '0.9385']","['0.4108', '0.9669', '0.6213', '0.8706', '0.8673', '0.9352', '0.3676', '0.9177', '0.9416', '0.9539']","['0.5615', '0.9723', '0.6292', '0.8275', '0.6835', '0.9352', '0.3835', '0.9230', '0.9409', '0.9461']","['0.4108', '0.9669', '0.6213', '0.8706', '0.8673', '0.9352', '0.3676', '0.9177', '0.9416', '0.9539']","['0.9941', '0.9974', '0.9622', '0.9736', '0.9236', '0.9927', '0.9380', '0.9921', '0.9937', '0.9934']","[[290, 2, 8, 81, 17, 0, 300, 0, 8, 0], [0, 702, 1, 16, 6, 0, 1, 0, 0, 0], [2, 0, 420, 9, 195, 2, 40, 0, 8, 0], [0, 7, 0, 619, 52, 0, 31, 0, 2, 0], [0, 2, 63, 20, 621, 0, 8, 0, 2, 0], [1, 0, 0, 2, 0, 664, 1, 28, 4, 10], [31, 3, 161, 32, 205, 3, 261, 0, 14, 0], [0, 0, 0, 0, 0, 26, 0, 647, 1, 31], [3, 2, 6, 4, 5, 7, 8, 3, 629, 1], [0, 0, 0, 2, 0, 8, 1, 19, 1, 641]]",7,7
3,"['0.0467', '0.9573', '0.5888', '0.8453', '0.8757', '0.9197', '0.4704', '0.9234', '0.9476', '0.9628']","['0.8049', '0.9886', '0.6958', '0.8089', '0.5598', '0.9464', '0.3218', '0.9208', '0.9174', '0.9296']","['0.0467', '0.9573', '0.5888', '0.8453', '0.8757', '0.9197', '0.4704', '0.9234', '0.9476', '0.9628']","['0.0884', '0.9727', '0.6378', '0.8267', '0.6830', '0.9329', '0.3822', '0.9221', '0.9323', '0.9459']","['0.0467', '0.9573', '0.5888', '0.8453', '0.8757', '0.9197', '0.4704', '0.9234', '0.9476', '0.9628']","['0.9987', '0.9987', '0.9725', '0.9774', '0.9215', '0.9941', '0.8881', '0.9911', '0.9910', '0.9923']","[[33, 0, 8, 71, 13, 0, 568, 0, 13, 0], [0, 695, 2, 22, 5, 0, 2, 0, 0, 0], [0, 0, 398, 6, 193, 3, 65, 0, 11, 0], [1, 5, 0, 601, 60, 0, 41, 0, 3, 0], [0, 0, 51, 17, 627, 0, 17, 0, 4, 0], [2, 0, 0, 2, 0, 653, 0, 35, 5, 13], [4, 2, 111, 19, 218, 3, 334, 0, 19, 0], [0, 0, 0, 0, 0, 19, 0, 651, 1, 34], [1, 1, 2, 4, 4, 7, 10, 4, 633, 2], [0, 0, 0, 1, 0, 5, 1, 17, 1, 647]]",9,9
4,"['0.0042', '0.9573', '0.5843', '0.8228', '0.8645', '0.9113', '0.5070', '0.9191', '0.9536', '0.9643']","['0.6000', '0.9872', '0.6979', '0.8478', '0.5829', '0.9487', '0.3101', '0.9231', '0.8786', '0.9218']","['0.0042', '0.9573', '0.5843', '0.8228', '0.8645', '0.9113', '0.5070', '0.9191', '0.9536', '0.9643']","['0.0084', '0.9720', '0.6361', '0.8351', '0.6963', '0.9296', '0.3848', '0.9211', '0.9146', '0.9425']","['0.0042', '0.9573', '0.5843', '0.8228', '0.8645', '0.9113', '0.5070', '0.9191', '0.9536', '0.9643']","['0.9997', '0.9986', '0.9730', '0.9833', '0.9295', '0.9944', '0.8727', '0.9914', '0.9861', '0.9913']","[[3, 0, 9, 49, 12, 0, 617, 0, 16, 0], [0, 695, 2, 21, 5, 0, 3, 0, 0, 0], [0, 0, 395, 3, 170, 3, 88, 0, 17, 0], [1, 6, 0, 585, 60, 0, 56, 0, 3, 0], [0, 0, 50, 12, 619, 0, 25, 0, 10, 0], [1, 0, 0, 2, 0, 647, 1, 36, 7, 16], [0, 2, 108, 15, 192, 1, 360, 0, 32, 0], [0, 0, 0, 0, 0, 19, 0, 648, 2, 36], [0, 1, 2, 2, 4, 7, 10, 2, 637, 3], [0, 0, 0, 1, 0, 5, 1, 16, 1, 648]]",8,8
5,"['0.0000', '0.9545', '0.4645', '0.7567', '0.8450', '0.9183', '0.5352', '0.9348', '0.9461', '0.9345']","['0.0000', '0.9928', '0.7476', '0.9134', '0.5914', '0.9261', '0.2790', '0.8930', '0.7880', '0.9486']","['0.0000', '0.9545', '0.4645', '0.7567', '0.8450', '0.9183', '0.5352', '0.9348', '0.9461', '0.9345']","['0.0000', '0.9733', '0.5730', '0.8277', '0.6958', '0.9222', '0.3668', '0.9134', '0.8599', '0.9415']","['0.0000', '0.9545', '0.4645', '0.7567', '0.8450', '0.9183', '0.5352', '0.9348', '0.9461', '0.9345']","['0.9997', '0.9992', '0.9832', '0.9919', '0.9335', '0.9917', '0.8439', '0.9875', '0.9732', '0.9946']","[[0, 0, 3, 17, 7, 0, 657, 0, 22, 0], [0, 693, 1, 17, 5, 0, 9, 0, 1, 0], [0, 0, 314, 1, 149, 3, 163, 0, 46, 0], [0, 3, 0, 538, 66, 0, 99, 0, 5, 0], [0, 0, 39, 6, 605, 0, 43, 0, 23, 0], [1, 0, 0, 0, 0, 652, 0, 42, 3, 12], [0, 2, 61, 8, 188, 4, 380, 0, 67, 0], [0, 0, 0, 0, 0, 25, 0, 659, 2, 19], [1, 0, 2, 1, 3, 15, 10, 1, 632, 3], [0, 0, 0, 1, 0, 5, 1, 36, 1, 628]]",5,5
6,"['0.0000', '0.9559', '0.3787', '0.7173', '0.7500', '0.9183', '0.5859', '0.9277', '0.9476', '0.9301']","['0.0000', '0.9928', '0.7596', '0.9173', '0.6194', '0.9081', '0.2779', '0.8814', '0.6843', '0.9498']","['0.0000', '0.9559', '0.3787', '0.7173', '0.7500', '0.9183', '0.5859', '0.9277', '0.9476', '0.9301']","['0.0000', '0.9740', '0.5054', '0.8051', '0.6785', '0.9132', '0.3770', '0.9039', '0.7947', '0.9398']","['0.0000', '0.9559', '0.3787', '0.7173', '0.7500', '0.9183', '0.5859', '0.9277', '0.9476', '0.9301']","['0.9998', '0.9992', '0.9872', '0.9927', '0.9475', '0.9895', '0.8281', '0.9860', '0.9539', '0.9948']","[[0, 0, 3, 13, 6, 0, 658, 0, 26, 0], [0, 694, 0, 17, 4, 1, 8, 1, 1, 0], [0, 0, 256, 1, 117, 8, 210, 0, 84, 0], [1, 3, 0, 510, 60, 0, 131, 0, 6, 0], [0, 0, 33, 7, 537, 1, 65, 1, 72, 0], [0, 0, 0, 0, 0, 652, 0, 43, 3, 12], [0, 2, 43, 6, 142, 4, 416, 0, 97, 0], [0, 0, 0, 0, 0, 30, 0, 654, 2, 19], [0, 0, 2, 1, 1, 19, 9, 1, 633, 2], [0, 0, 0, 1, 0, 3, 0, 42, 1, 625]]",9,9
7,"['0.0000', '0.9669', '0.3447', '0.7201', '0.7374', '0.9338', '0.6718', '0.9191', '0.9521', '0.9315']","['0.0000', '0.9669', '0.7614', '0.9127', '0.6494', '0.9070', '0.2946', '0.8963', '0.7370', '0.9514']","['0.0000', '0.9669', '0.3447', '0.7201', '0.7374', '0.9338', '0.6718', '0.9191', '0.9521', '0.9315']","['0.0000', '0.9669', '0.4745', '0.8050', '0.6906', '0.9202', '0.4096', '0.9076', '0.8308', '0.9414']","['0.0000', '0.9669', '0.3447', '0.7201', '0.7374', '0.9338', '0.6718', '0.9191', '0.9521', '0.9315']","['1.0000', '0.9962', '0.9885', '0.9922', '0.9546', '0.9892', '0.8184', '0.9881', '0.9642', '0.9949']","[[0, 0, 3, 22, 3, 0, 658, 0, 20, 0], [0, 702, 0, 11, 4, 1, 6, 1, 1, 0], [0, 0, 233, 1, 115, 5, 260, 0, 62, 0], [0, 18, 0, 512, 51, 2, 123, 0, 5, 0], [0, 3, 35, 9, 528, 1, 86, 0, 54, 0], [0, 0, 0, 0, 0, 663, 0, 33, 5, 9], [0, 3, 34, 5, 111, 3, 477, 0, 77, 0], [0, 0, 0, 0, 0, 34, 0, 648, 2, 21], [0, 0, 1, 0, 1, 18, 9, 1, 636, 2], [0, 0, 0, 1, 0, 4, 0, 40, 1, 626]]",1,1
8,"['0.0000', '0.9697', '0.3861', '0.6723', '0.6075', '0.9451', '0.6803', '0.9206', '0.9416', '0.9405']","['0.0000', '0.9475', '0.7230', '0.9246', '0.7039', '0.9055', '0.2855', '0.9141', '0.6600', '0.9504']","['0.0000', '0.9697', '0.3861', '0.6723', '0.6075', '0.9451', '0.6803', '0.9206', '0.9416', '0.9405']","['0.0000', '0.9585', '0.5034', '0.7785', '0.6522', '0.9249', '0.4022', '0.9173', '0.7761', '0.9454']","['0.0000', '0.9697', '0.3861', '0.6723', '0.6075', '0.9451', '0.6803', '0.9206', '0.9416', '0.9405']","['1.0000', '0.9938', '0.9842', '0.9938', '0.9709', '0.9889', '0.8078', '0.9903', '0.9488', '0.9948']","[[0, 0, 3, 13, 2, 0, 668, 0, 20, 0], [0, 704, 0, 10, 3, 0, 7, 1, 1, 0], [0, 0, 261, 2, 81, 4, 248, 0, 80, 0], [0, 28, 0, 478, 32, 2, 166, 0, 5, 0], [0, 6, 52, 10, 435, 2, 108, 0, 103, 0], [0, 0, 0, 0, 0, 671, 0, 25, 4, 10], [0, 3, 44, 3, 65, 2, 483, 1, 109, 0], [0, 0, 0, 0, 0, 34, 0, 649, 1, 21], [0, 2, 1, 0, 0, 22, 12, 0, 629, 2], [0, 0, 0, 1, 0, 4, 0, 34, 1, 632]]",2,2
9,"['0.0000', '0.9780', '0.4763', '0.6315', '0.5810', '0.9338', '0.6901', '0.9262', '0.9446', '0.9449']","['0.0000', '0.8953', '0.6314', '0.9315', '0.7172', '0.9234', '0.2915', '0.9146', '0.7424', '0.9449']","['0.0000', '0.9780', '0.4763', '0.6315', '0.5810', '0.9338', '0.6901', '0.9262', '0.9446', '0.9449']","['0.0000', '0.9348', '0.5430', '0.7527', '0.6420', '0.9286', '0.4099', '0.9204', '0.8314', '0.9449']","['0.0000', '0.9780', '0.4763', '0.6315', '0.5810', '0.9338', '0.6901', '0.9262', '0.9446', '0.9449']","['1.0000', '0.9868', '0.9703', '0.9948', '0.9739', '0.9913', '0.8107', '0.9903', '0.9654', '0.9942']","[[0, 0, 4, 16, 3, 0, 664, 0, 19, 0], [0, 710, 0, 6, 5, 0, 4, 0, 1, 0], [0, 0, 322, 2, 68, 2, 234, 0, 48, 0], [0, 69, 0, 449, 32, 3, 154, 1, 3, 0], [0, 7, 97, 8, 416, 1, 122, 0, 65, 0], [0, 0, 0, 0, 0, 663, 0, 29, 6, 12], [0, 5, 83, 1, 56, 0, 490, 0, 74, 1], [0, 0, 0, 0, 0, 28, 0, 653, 2, 22], [0, 2, 4, 0, 0, 16, 13, 0, 631, 2], [0, 0, 0, 0, 0, 5, 0, 31, 1, 635]]",6,6
