cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label
0,"['0.8555', '0.9686', '0.7202', '0.7673', '0.7986', '0.8958', '0.0350', '0.8875', '0.9444', '0.9401']","['0.7150', '0.9342', '0.5127', '0.8539', '0.6064', '0.9353', '0.3833', '0.8799', '0.9307', '0.9052']","['0.8555', '0.9686', '0.7202', '0.7673', '0.7986', '0.8958', '0.0350', '0.8875', '0.9444', '0.9401']","['0.7789', '0.9511', '0.5990', '0.8083', '0.6894', '0.9151', '0.0641', '0.8837', '0.9375', '0.9223']","['0.8555', '0.9686', '0.7202', '0.7673', '0.7986', '0.8958', '0.0350', '0.8875', '0.9444', '0.9401']","['0.9626', '0.9920', '0.9273', '0.9845', '0.9415', '0.9930', '0.9942', '0.9865', '0.9924', '0.9890']","[[592, 5, 25, 44, 6, 1, 8, 0, 11, 0], [1, 710, 4, 10, 5, 1, 1, 0, 1, 0], [9, 1, 484, 7, 153, 2, 9, 0, 7, 0], [43, 31, 14, 567, 68, 0, 11, 0, 5, 0], [3, 4, 112, 14, 567, 1, 6, 0, 3, 0], [0, 1, 0, 0, 0, 636, 0, 52, 4, 17], [175, 6, 292, 18, 129, 0, 23, 0, 15, 0], [0, 0, 0, 0, 0, 25, 0, 623, 2, 52], [5, 2, 13, 4, 7, 3, 2, 2, 645, 0], [0, 0, 0, 0, 0, 11, 0, 31, 0, 659]]",-1,-1
1,"['0.8960', '0.9509', '0.6726', '0.8620', '0.8113', '0.9380', '0.1353', '0.8789', '0.9517', '0.9658']","['0.6889', '0.9776', '0.6125', '0.8294', '0.6705', '0.9528', '0.3938', '0.9492', '0.9366', '0.8991']","['0.8960', '0.9509', '0.6726', '0.8620', '0.8113', '0.9380', '0.1353', '0.8789', '0.9517', '0.9658']","['0.7789', '0.9640', '0.6411', '0.8454', '0.7342', '0.9454', '0.2014', '0.9127', '0.9441', '0.9312']","['0.8960', '0.9509', '0.6726', '0.8620', '0.8113', '0.9380', '0.1353', '0.8789', '0.9517', '0.9658']","['0.9556', '0.9974', '0.9548', '0.9791', '0.9550', '0.9948', '0.9784', '0.9948', '0.9930', '0.9879']","[[620, 1, 16, 36, 2, 0, 10, 0, 7, 0], [3, 697, 1, 21, 5, 1, 4, 0, 1, 0], [21, 1, 452, 11, 126, 0, 57, 0, 4, 0], [48, 8, 6, 637, 22, 0, 17, 0, 1, 0], [2, 3, 49, 36, 576, 0, 39, 0, 5, 0], [0, 1, 0, 0, 0, 666, 0, 20, 6, 17], [197, 2, 208, 24, 125, 0, 89, 0, 13, 0], [0, 0, 0, 0, 0, 23, 0, 617, 3, 59], [9, 0, 6, 3, 3, 2, 10, 0, 650, 0], [0, 0, 0, 0, 0, 7, 0, 13, 4, 677]]",6,0
2,"['0.8757', '0.9604', '0.6369', '0.8836', '0.7014', '0.9352', '0.3632', '0.9387', '0.9473', '0.9615']","['0.7206', '0.9670', '0.6730', '0.8163', '0.7673', '0.9623', '0.4283', '0.9308', '0.9585', '0.9427']","['0.8757', '0.9604', '0.6369', '0.8836', '0.7014', '0.9352', '0.3632', '0.9387', '0.9473', '0.9615']","['0.7906', '0.9637', '0.6544', '0.8486', '0.7329', '0.9486', '0.3931', '0.9348', '0.9529', '0.9520']","['0.8757', '0.9604', '0.6369', '0.8836', '0.7014', '0.9352', '0.3632', '0.9387', '0.9473', '0.9615']","['0.9627', '0.9962', '0.9671', '0.9765', '0.9760', '0.9959', '0.9497', '0.9922', '0.9956', '0.9935']","[[606, 1, 15, 37, 1, 0, 25, 0, 7, 0], [2, 704, 1, 18, 4, 1, 2, 0, 1, 0], [17, 1, 428, 8, 72, 1, 143, 0, 2, 0], [31, 12, 3, 653, 12, 1, 26, 0, 1, 0], [3, 4, 37, 54, 498, 0, 109, 0, 5, 0], [0, 1, 0, 0, 0, 664, 0, 29, 3, 13], [175, 3, 147, 27, 62, 0, 239, 0, 5, 0], [0, 0, 0, 0, 0, 14, 0, 659, 1, 28], [7, 2, 5, 3, 0, 3, 14, 2, 647, 0], [0, 0, 0, 0, 0, 6, 0, 18, 3, 674]]",6,5
3,"['0.8743', '0.9509', '0.5685', '0.8850', '0.7887', '0.9521', '0.4650', '0.9017', '0.9605', '0.9601']","['0.7432', '0.9776', '0.7860', '0.8195', '0.7198', '0.9468', '0.5000', '0.9576', '0.9480', '0.9194']","['0.8743', '0.9509', '0.5685', '0.8850', '0.7887', '0.9521', '0.4650', '0.9017', '0.9605', '0.9601']","['0.8035', '0.9640', '0.6598', '0.8510', '0.7527', '0.9494', '0.4819', '0.9288', '0.9542', '0.9393']","['0.8743', '0.9509', '0.5685', '0.8850', '0.7887', '0.9521', '0.4650', '0.9017', '0.9605', '0.9601']","['0.9669', '0.9974', '0.9836', '0.9770', '0.9653', '0.9940', '0.9518', '0.9956', '0.9943', '0.9906']","[[605, 0, 12, 38, 2, 2, 26, 0, 7, 0], [0, 697, 1, 26, 4, 1, 2, 0, 2, 0], [12, 0, 382, 10, 103, 1, 162, 0, 2, 0], [26, 8, 3, 654, 22, 0, 23, 0, 3, 0], [1, 3, 18, 40, 560, 0, 82, 0, 6, 0], [1, 1, 0, 0, 0, 676, 0, 15, 4, 13], [162, 3, 66, 27, 87, 0, 306, 0, 7, 0], [0, 0, 0, 0, 0, 22, 0, 633, 1, 46], [7, 1, 4, 3, 0, 1, 11, 0, 656, 0], [0, 0, 0, 0, 0, 11, 0, 13, 4, 673]]",6,3
4,"['0.7775', '0.9618', '0.6652', '0.8552', '0.8338', '0.9704', '0.5866', '0.9288', '0.9590', '0.9330']","['0.8252', '0.9711', '0.7870', '0.8766', '0.7031', '0.9286', '0.5530', '0.9477', '0.9520', '0.9689']","['0.7775', '0.9618', '0.6652', '0.8552', '0.8338', '0.9704', '0.5866', '0.9288', '0.9590', '0.9330']","['0.8006', '0.9664', '0.7210', '0.8658', '0.7629', '0.9490', '0.5693', '0.9381', '0.9555', '0.9506']","['0.7775', '0.9618', '0.6652', '0.8552', '0.8338', '0.9704', '0.5866', '0.9288', '0.9590', '0.9330']","['0.9819', '0.9966', '0.9809', '0.9858', '0.9603', '0.9916', '0.9508', '0.9943', '0.9948', '0.9967']","[[538, 0, 14, 25, 4, 0, 105, 0, 6, 0], [1, 705, 1, 15, 5, 1, 2, 0, 3, 0], [8, 0, 447, 6, 112, 1, 96, 0, 2, 0], [17, 12, 5, 632, 40, 0, 31, 0, 2, 0], [1, 3, 23, 20, 592, 0, 66, 0, 5, 0], [1, 1, 0, 0, 0, 689, 0, 11, 3, 5], [80, 3, 75, 20, 88, 0, 386, 0, 6, 0], [0, 0, 0, 0, 0, 31, 0, 652, 3, 16], [6, 2, 3, 3, 1, 2, 11, 0, 655, 0], [0, 0, 0, 0, 0, 18, 1, 25, 3, 654]]",6,8
5,"['0.8512', '0.9591', '0.6830', '0.8850', '0.7930', '0.9718', '0.5578', '0.8803', '0.9605', '0.9515']","['0.7874', '0.9764', '0.7806', '0.8560', '0.7437', '0.9115', '0.5977', '0.9641', '0.9385', '0.9368']","['0.8512', '0.9591', '0.6830', '0.8850', '0.7930', '0.9718', '0.5578', '0.8803', '0.9605', '0.9515']","['0.8181', '0.9677', '0.7286', '0.8703', '0.7676', '0.9407', '0.5770', '0.9203', '0.9493', '0.9441']","['0.8512', '0.9591', '0.6830', '0.8850', '0.7930', '0.9718', '0.5578', '0.8803', '0.9605', '0.9515']","['0.9748', '0.9973', '0.9796', '0.9824', '0.9692', '0.9893', '0.9611', '0.9963', '0.9932', '0.9929']","[[589, 0, 14, 32, 1, 1, 47, 0, 8, 0], [0, 703, 2, 19, 3, 1, 2, 0, 3, 0], [12, 0, 459, 6, 100, 3, 91, 0, 1, 0], [23, 8, 6, 654, 26, 0, 18, 0, 4, 0], [3, 3, 30, 26, 563, 0, 78, 0, 7, 0], [1, 1, 0, 0, 0, 690, 0, 7, 3, 8], [113, 3, 73, 26, 64, 0, 367, 0, 12, 0], [0, 0, 0, 0, 0, 45, 0, 618, 2, 37], [7, 2, 4, 1, 0, 1, 11, 1, 656, 0], [0, 0, 0, 0, 0, 16, 0, 15, 3, 667]]",6,6
6,"['0.8512', '0.9591', '0.6786', '0.8714', '0.8028', '0.9606', '0.5729', '0.9202', '0.9634', '0.9544']","['0.7853', '0.9697', '0.7930', '0.8610', '0.7179', '0.9355', '0.6242', '0.9514', '0.9495', '0.9516']","['0.8512', '0.9591', '0.6786', '0.8714', '0.8028', '0.9606', '0.5729', '0.9202', '0.9634', '0.9544']","['0.8169', '0.9643', '0.7314', '0.8662', '0.7580', '0.9479', '0.5975', '0.9356', '0.9564', '0.9530']","['0.8512', '0.9591', '0.6786', '0.8714', '0.8028', '0.9606', '0.5729', '0.9202', '0.9634', '0.9544']","['0.9745', '0.9965', '0.9812', '0.9834', '0.9644', '0.9925', '0.9642', '0.9948', '0.9945', '0.9946']","[[589, 0, 12, 25, 2, 1, 55, 0, 8, 0], [1, 703, 2, 18, 3, 0, 3, 0, 2, 1], [12, 1, 456, 7, 115, 2, 76, 0, 3, 0], [24, 11, 6, 644, 32, 0, 18, 0, 4, 0], [2, 4, 32, 31, 570, 0, 66, 0, 5, 0], [1, 1, 0, 0, 0, 682, 0, 15, 2, 9], [114, 3, 64, 21, 72, 0, 377, 0, 7, 0], [0, 0, 0, 0, 0, 30, 0, 646, 2, 24], [6, 2, 3, 2, 0, 2, 9, 1, 658, 0], [1, 0, 0, 0, 0, 12, 0, 17, 2, 669]]",6,3
7,"['0.7514', '0.9604', '0.6756', '0.8539', '0.8225', '0.9549', '0.6353', '0.9330', '0.9619', '0.9586']","['0.8374', '0.9791', '0.7937', '0.8562', '0.7079', '0.9563', '0.5822', '0.9479', '0.9426', '0.9451']","['0.7514', '0.9604', '0.6756', '0.8539', '0.8225', '0.9549', '0.6353', '0.9330', '0.9619', '0.9586']","['0.7921', '0.9697', '0.7299', '0.8550', '0.7609', '0.9556', '0.6076', '0.9404', '0.9522', '0.9518']","['0.7514', '0.9604', '0.6756', '0.8539', '0.8225', '0.9549', '0.6353', '0.9330', '0.9619', '0.9586']","['0.9840', '0.9976', '0.9814', '0.9831', '0.9617', '0.9951', '0.9527', '0.9943', '0.9937', '0.9938']","[[520, 0, 13, 32, 4, 1, 113, 0, 9, 0], [1, 704, 2, 18, 3, 1, 2, 0, 2, 0], [11, 0, 454, 7, 111, 2, 84, 0, 3, 0], [14, 7, 6, 631, 45, 0, 31, 0, 5, 0], [1, 3, 33, 24, 584, 0, 62, 0, 3, 0], [1, 1, 0, 0, 0, 678, 0, 16, 3, 11], [67, 3, 60, 21, 77, 0, 418, 0, 12, 0], [0, 0, 0, 0, 0, 18, 0, 655, 1, 28], [5, 1, 4, 4, 1, 1, 8, 2, 657, 0], [1, 0, 0, 0, 0, 8, 0, 18, 2, 672]]",6,5
8,"['0.8439', '0.9618', '0.7485', '0.8769', '0.7155', '0.9634', '0.6185', '0.9245', '0.9605', '0.9515']","['0.7956', '0.9765', '0.7847', '0.8265', '0.7815', '0.9370', '0.6139', '0.9474', '0.9521', '0.9501']","['0.8439', '0.9618', '0.7485', '0.8769', '0.7155', '0.9634', '0.6185', '0.9245', '0.9605', '0.9515']","['0.8191', '0.9691', '0.7662', '0.8510', '0.7471', '0.9500', '0.6162', '0.9358', '0.9563', '0.9508']","['0.8439', '0.9618', '0.7485', '0.8769', '0.7155', '0.9634', '0.6185', '0.9245', '0.9605', '0.9515']","['0.9762', '0.9973', '0.9782', '0.9783', '0.9774', '0.9927', '0.9596', '0.9943', '0.9948', '0.9944']","[[584, 0, 15, 28, 3, 1, 54, 0, 7, 0], [1, 705, 1, 16, 5, 0, 2, 0, 2, 1], [16, 0, 503, 11, 64, 2, 75, 0, 1, 0], [22, 10, 4, 648, 24, 0, 28, 0, 3, 0], [3, 2, 48, 55, 508, 0, 89, 0, 5, 0], [0, 1, 0, 0, 0, 684, 0, 13, 3, 9], [101, 3, 65, 23, 46, 3, 407, 0, 10, 0], [0, 0, 0, 0, 0, 27, 0, 649, 1, 25], [7, 1, 5, 3, 0, 1, 8, 2, 656, 0], [0, 0, 0, 0, 0, 12, 0, 21, 1, 667]]",6,9
9,"['0.7832', '0.9673', '0.7455', '0.8525', '0.7352', '0.9465', '0.6778', '0.9402', '0.9546', '0.9586']","['0.8175', '0.9712', '0.7828', '0.8630', '0.7814', '0.9628', '0.5660', '0.9375', '0.9674', '0.9532']","['0.7832', '0.9673', '0.7455', '0.8525', '0.7352', '0.9465', '0.6778', '0.9402', '0.9546', '0.9586']","['0.8000', '0.9692', '0.7637', '0.8577', '0.7576', '0.9545', '0.6169', '0.9388', '0.9609', '0.9559']","['0.7832', '0.9673', '0.7455', '0.8525', '0.7352', '0.9465', '0.6778', '0.9402', '0.9546', '0.9586']","['0.9808', '0.9966', '0.9780', '0.9840', '0.9768', '0.9959', '0.9461', '0.9930', '0.9965', '0.9948']","[[542, 1, 17, 26, 3, 0, 98, 0, 5, 0], [1, 709, 2, 13, 3, 0, 3, 0, 1, 1], [11, 0, 501, 9, 61, 1, 88, 0, 1, 0], [20, 12, 7, 630, 36, 0, 31, 0, 3, 0], [1, 3, 46, 26, 522, 0, 110, 0, 2, 0], [1, 1, 0, 0, 0, 672, 1, 24, 3, 8], [78, 3, 62, 23, 41, 0, 446, 0, 5, 0], [0, 0, 0, 0, 0, 16, 0, 660, 2, 24], [8, 1, 5, 2, 2, 0, 11, 2, 652, 0], [1, 0, 0, 1, 0, 9, 0, 18, 0, 672]]",6,4
