cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations
0,"['0.0043', '0.0217', '0.0000', '0.5285', '0.0030', '0.9524', '0.0128', '0.0212', '0.0683', '0.8028']","['1.0000', '1.0000', '0.0000', '0.4050', '0.2500', '0.2174', '0.2571', '0.6000', '0.4286', '0.2085']","['0.0043', '0.0217', '0.0000', '0.5285', '0.0030', '0.9524', '0.0128', '0.0212', '0.0683', '0.8028']","['0.0086', '0.0424', '0.0000', '0.4586', '0.0058', '0.3540', '0.0244', '0.0410', '0.1178', '0.3310']","['0.0043', '0.0217', '0.0000', '0.5285', '0.0030', '0.9524', '0.0128', '0.0212', '0.0683', '0.8028']","['1.0000', '1.0000', '1.0000', '0.9135', '0.9991', '0.6099', '0.9959', '0.9984', '0.9898', '0.6533']","[[3, 0, 0, 189, 4, 230, 5, 0, 6, 261], [0, 15, 0, 210, 0, 451, 0, 0, 0, 16], [0, 0, 0, 26, 1, 228, 15, 3, 23, 394], [0, 0, 0, 371, 1, 240, 1, 0, 1, 88], [0, 0, 0, 39, 2, 109, 2, 1, 14, 509], [0, 0, 0, 0, 0, 681, 0, 0, 0, 34], [0, 0, 0, 69, 0, 292, 9, 2, 20, 310], [0, 0, 0, 2, 0, 600, 0, 15, 0, 90], [0, 0, 0, 9, 0, 162, 3, 4, 48, 477], [0, 0, 0, 1, 0, 140, 0, 0, 0, 574]]",-1,-1,-1,-1
1,"['0.0072', '0.9147', '0.0594', '0.2749', '0.6095', '0.4909', '0.0043', '0.8274', '0.7482', '0.9133']","['0.2174', '0.4372', '0.4713', '0.3891', '0.3377', '0.3382', '0.5000', '0.5412', '0.6840', '0.7849']","['0.0072', '0.9147', '0.0594', '0.2749', '0.6095', '0.4909', '0.0043', '0.8274', '0.7482', '0.9133']","['0.0139', '0.5916', '0.1055', '0.3222', '0.4346', '0.4005', '0.0085', '0.6544', '0.7147', '0.8442']","['0.0072', '0.9147', '0.0594', '0.2749', '0.6095', '0.4909', '0.0043', '0.8274', '0.7482', '0.9133']","['0.9971', '0.8708', '0.9927', '0.9519', '0.8722', '0.8907', '0.9995', '0.9212', '0.9614', '0.9715']","[[5, 211, 3, 184, 160, 99, 0, 14, 20, 2], [0, 633, 3, 10, 10, 25, 0, 11, 0, 0], [7, 59, 41, 7, 323, 135, 0, 40, 74, 4], [1, 360, 0, 193, 52, 79, 0, 9, 8, 0], [3, 51, 22, 31, 412, 61, 3, 17, 74, 2], [0, 8, 0, 0, 0, 351, 0, 296, 5, 55], [4, 118, 17, 67, 231, 168, 3, 35, 56, 3], [0, 1, 0, 0, 0, 13, 0, 585, 5, 103], [3, 7, 1, 2, 32, 69, 0, 53, 526, 10], [0, 0, 0, 2, 0, 38, 0, 21, 1, 653]]","[0, 8, 1, 8, 3, 6, 5, 8, 4, 9, 2, 9, 4, 1, 4, 6]","[2, 2, 8, 2, 2, 4, 4, 2, 4, 2, 4, 4, 2, 2, 2, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 0. 1. 2. 0. 0. 0. 3. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 1. 0. 1. 1. 2. 0. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",16
2,"['0.0731', '0.9379', '0.0638', '0.5670', '0.6612', '0.6056', '0.0000', '0.8600', '0.7297', '0.8853']","['0.3893', '0.5381', '0.4536', '0.4617', '0.3431', '0.4326', '0.0000', '0.6314', '0.7773', '0.8157']","['0.0731', '0.9379', '0.0638', '0.5670', '0.6612', '0.6056', '0.0000', '0.8600', '0.7297', '0.8853']","['0.1230', '0.6839', '0.1118', '0.5090', '0.4517', '0.5047', '0.0000', '0.7281', '0.7528', '0.8491']","['0.0731', '0.9379', '0.0638', '0.5670', '0.6612', '0.6056', '0.0000', '0.8600', '0.7297', '0.8853']","['0.9873', '0.9117', '0.9916', '0.9263', '0.8646', '0.9096', '0.9998', '0.9436', '0.9767', '0.9772']","[[51, 157, 5, 282, 137, 44, 0, 3, 16, 3], [8, 649, 5, 15, 8, 6, 0, 1, 0, 0], [11, 61, 44, 21, 352, 134, 0, 13, 50, 4], [36, 175, 0, 398, 53, 34, 0, 0, 6, 0], [3, 54, 20, 43, 447, 61, 1, 5, 37, 5], [0, 4, 0, 0, 0, 433, 0, 215, 5, 58], [21, 101, 18, 101, 258, 157, 0, 9, 31, 6], [0, 1, 0, 0, 0, 37, 0, 608, 1, 60], [1, 4, 5, 1, 47, 61, 0, 64, 513, 7], [0, 0, 0, 1, 1, 34, 0, 45, 1, 633]]","[5, 4, 1, 5, 4, 0, 9, 9, 3, 1, 3, 1, 8, 7, 6, 1]","[2, 4, 6, 8, 0, 4, 8, 6, 6, 2, 2, 6, 6, 6, 2, 4]","[[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 2. 0. 2. 2. 1. 1. 0. 3. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 1. 0. 2. 1. 2. 0. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 2. 0. 1. 0. 0. 0. 1. 1. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 1. 0. 0. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",32
3,"['0.3954', '0.9292', '0.0304', '0.6026', '0.6760', '0.6643', '0.0926', '0.8105', '0.7696', '0.8965']","['0.5159', '0.5685', '0.5122', '0.5678', '0.3957', '0.5319', '0.2941', '0.6971', '0.7944', '0.8260']","['0.3954', '0.9292', '0.0304', '0.6026', '0.6760', '0.6643', '0.0926', '0.8105', '0.7696', '0.8965']","['0.4477', '0.7054', '0.0575', '0.5847', '0.4992', '0.5908', '0.1408', '0.7495', '0.7818', '0.8598']","['0.3954', '0.9292', '0.0304', '0.6026', '0.6760', '0.6643', '0.0926', '0.8105', '0.7696', '0.8965']","['0.9589', '0.9226', '0.9968', '0.9489', '0.8896', '0.9335', '0.9752', '0.9604', '0.9778', '0.9785']","[[276, 136, 3, 159, 42, 18, 44, 2, 16, 2], [11, 643, 1, 22, 6, 3, 5, 1, 0, 0], [41, 56, 21, 15, 341, 93, 74, 7, 39, 3], [71, 145, 0, 423, 38, 7, 11, 0, 6, 1], [25, 45, 7, 43, 457, 41, 20, 2, 30, 6], [0, 8, 0, 0, 0, 475, 0, 170, 13, 49], [106, 93, 6, 82, 216, 99, 65, 3, 28, 4], [0, 1, 0, 0, 0, 61, 0, 573, 7, 65], [5, 4, 3, 0, 54, 53, 2, 36, 541, 5], [0, 0, 0, 1, 1, 43, 0, 28, 1, 641]]","[1, 6, 0, 1, 9, 6, 6, 7, 4, 9, 8, 2, 6, 3, 8, 9]","[2, 6, 2, 6, 6, 8, 4, 6, 0, 4, 4, 2, 2, 6, 6, 6]","[[0. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [2. 3. 1. 2. 2. 1. 2. 0. 3. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 1. 0. 2. 1. 3. 0. 1. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 3. 0. 2. 0. 0. 1. 2. 2. 3.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 1. 1. 0. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",48
4,"['0.5473', '0.9422', '0.0551', '0.5983', '0.5178', '0.6825', '0.2009', '0.7949', '0.7696', '0.9007']","['0.5449', '0.5592', '0.5352', '0.6402', '0.4781', '0.5577', '0.2650', '0.7007', '0.8185', '0.8010']","['0.5473', '0.9422', '0.0551', '0.5983', '0.5178', '0.6825', '0.2009', '0.7949', '0.7696', '0.9007']","['0.5461', '0.7018', '0.0999', '0.6186', '0.4972', '0.6138', '0.2285', '0.7449', '0.7933', '0.8479']","['0.5473', '0.9422', '0.0551', '0.5983', '0.5178', '0.6825', '0.2009', '0.7949', '0.7696', '0.9007']","['0.9494', '0.9185', '0.9948', '0.9625', '0.9396', '0.9384', '0.9379', '0.9619', '0.9809', '0.9745']","[[382, 132, 3, 89, 15, 15, 41, 3, 15, 3], [15, 652, 1, 13, 3, 3, 4, 1, 0, 0], [49, 66, 38, 14, 180, 81, 210, 8, 38, 6], [80, 146, 0, 420, 16, 6, 27, 0, 6, 1], [26, 64, 14, 47, 350, 36, 99, 4, 29, 7], [0, 12, 0, 0, 0, 488, 0, 158, 8, 49], [144, 88, 11, 73, 125, 82, 141, 7, 19, 12], [0, 1, 0, 0, 0, 64, 0, 562, 4, 76], [5, 4, 4, 0, 42, 56, 10, 35, 541, 6], [0, 1, 0, 0, 1, 44, 0, 24, 1, 644]]","[1, 3, 6, 3, 2, 2, 7, 1, 8, 7, 0, 7, 7, 9, 1, 8]","[2, 2, 2, 6, 4, 2, 4, 6, 6, 2, 0, 2, 8, 2, 2, 0]","[[1. 0. 0. 0. 2. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [2. 5. 2. 3. 2. 1. 3. 2. 3. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 1. 2. 0. 2. 1. 3. 1. 1. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 4. 0. 3. 0. 0. 1. 2. 3. 3.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 1. 1. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",64
5,"['0.6347', '0.8858', '0.0319', '0.7009', '0.7027', '0.6797', '0.0684', '0.7935', '0.7881', '0.9049']","['0.5852', '0.7394', '0.4231', '0.6622', '0.3913', '0.5347', '0.3000', '0.6792', '0.7960', '0.7948']","['0.6347', '0.8858', '0.0319', '0.7009', '0.7027', '0.6797', '0.0684', '0.7935', '0.7881', '0.9049']","['0.6089', '0.8060', '0.0593', '0.6810', '0.5026', '0.5985', '0.1114', '0.7319', '0.7920', '0.8463']","['0.6347', '0.8858', '0.0319', '0.7009', '0.7027', '0.6797', '0.0684', '0.7935', '0.7881', '0.9049']","['0.9502', '0.9658', '0.9952', '0.9601', '0.8831', '0.9327', '0.9822', '0.9579', '0.9774', '0.9734']","[[443, 54, 2, 84, 36, 19, 32, 5, 20, 3], [23, 613, 1, 35, 11, 4, 3, 2, 0, 0], [37, 45, 22, 16, 357, 95, 58, 13, 40, 7], [98, 31, 0, 492, 56, 8, 4, 1, 10, 2], [15, 32, 10, 41, 475, 43, 11, 6, 33, 10], [0, 7, 0, 0, 0, 486, 0, 163, 7, 52], [137, 44, 13, 75, 237, 99, 48, 12, 26, 11], [0, 1, 0, 0, 0, 66, 0, 561, 5, 74], [4, 2, 4, 0, 41, 50, 4, 36, 554, 8], [0, 0, 0, 0, 1, 39, 0, 27, 1, 647]]","[7, 8, 7, 5, 6, 8, 2, 0, 3, 1, 0, 7, 6, 7, 1, 4]","[6, 6, 2, 2, 2, 6, 0, 6, 2, 2, 6, 2, 6, 2, 6, 3]","[[1. 0. 1. 0. 2. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [2. 6. 2. 4. 2. 2. 4. 5. 3. 2.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
 [1. 1. 2. 0. 2. 1. 3. 1. 1. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [2. 5. 0. 3. 0. 0. 2. 3. 5. 3.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 1. 1. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",80
6,"['0.6934', '0.9003', '0.1261', '0.6895', '0.5222', '0.6280', '0.2251', '0.8444', '0.7582', '0.8867']","['0.5741', '0.7096', '0.5088', '0.6667', '0.5300', '0.5655', '0.2987', '0.6142', '0.8289', '0.8149']","['0.6934', '0.9003', '0.1261', '0.6895', '0.5222', '0.6280', '0.2251', '0.8444', '0.7582', '0.8867']","['0.6282', '0.7936', '0.2021', '0.6779', '0.5261', '0.5951', '0.2567', '0.7111', '0.7920', '0.8493']","['0.6934', '0.9003', '0.1261', '0.6895', '0.5222', '0.6280', '0.2251', '0.8444', '0.7582', '0.8867']","['0.9430', '0.9596', '0.9867', '0.9616', '0.9505', '0.9451', '0.9411', '0.9404', '0.9825', '0.9771']","[[484, 48, 4, 80, 9, 16, 31, 8, 16, 2], [31, 623, 1, 22, 4, 4, 5, 2, 0, 0], [45, 47, 87, 17, 155, 80, 205, 19, 29, 6], [102, 57, 0, 484, 14, 6, 23, 4, 11, 1], [19, 42, 41, 45, 353, 39, 94, 9, 25, 9], [0, 8, 0, 0, 0, 449, 0, 207, 8, 43], [159, 50, 18, 78, 108, 85, 158, 17, 19, 10], [0, 1, 0, 0, 0, 42, 0, 597, 1, 66], [3, 1, 20, 0, 23, 37, 13, 66, 533, 7], [0, 1, 0, 0, 0, 36, 0, 43, 1, 634]]","[2, 7, 4, 7, 6, 4, 2, 7, 7, 4, 4, 0, 1, 3, 4, 6]","[4, 6, 4, 2, 4, 4, 2, 6, 6, 2, 6, 4, 6, 6, 4, 2]","[[1. 0. 1. 0. 2. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [2. 6. 3. 4. 3. 2. 5. 6. 3. 2.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
 [2. 1. 3. 0. 5. 1. 4. 1. 1. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [2. 6. 0. 4. 1. 0. 2. 6. 5. 3.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 1. 1. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",96
7,"['0.7063', '0.8179', '0.0116', '0.6809', '0.7086', '0.6965', '0.0983', '0.7723', '0.7838', '0.9007']","['0.5448', '0.7447', '0.4211', '0.6314', '0.4105', '0.5431', '0.2604', '0.6929', '0.8623', '0.8225']","['0.7063', '0.8179', '0.0116', '0.6809', '0.7086', '0.6965', '0.0983', '0.7723', '0.7838', '0.9007']","['0.6151', '0.7796', '0.0226', '0.6552', '0.5198', '0.6103', '0.1427', '0.7304', '0.8212', '0.8598']","['0.7063', '0.8179', '0.0116', '0.6809', '0.7086', '0.6965', '0.0983', '0.7723', '0.7838', '0.9007']","['0.9346', '0.9692', '0.9983', '0.9557', '0.8912', '0.9333', '0.9689', '0.9615', '0.9860', '0.9779']","[[493, 24, 0, 78, 29, 17, 39, 2, 14, 2], [25, 566, 0, 83, 9, 5, 4, 0, 0, 0], [54, 50, 8, 14, 349, 95, 88, 11, 17, 4], [129, 15, 0, 478, 37, 5, 33, 2, 3, 0], [23, 36, 8, 36, 479, 41, 29, 4, 18, 2], [0, 13, 0, 1, 0, 498, 0, 149, 9, 45], [175, 52, 2, 66, 216, 98, 69, 6, 13, 5], [0, 1, 0, 0, 0, 73, 0, 546, 12, 75], [6, 2, 1, 1, 46, 54, 3, 33, 551, 6], [0, 1, 0, 0, 2, 31, 0, 35, 2, 644]]","[1, 7, 1, 7, 8, 7, 0, 2, 6, 4, 1, 1, 2, 2, 6, 4]","[2, 2, 2, 6, 6, 2, 6, 2, 2, 6, 4, 0, 6, 6, 2, 6]","[[1. 1. 1. 0. 2. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [2. 8. 4. 4. 3. 2. 7. 8. 3. 2.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
 [2. 2. 3. 0. 5. 1. 4. 1. 1. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [3. 6. 2. 4. 3. 0. 2. 7. 6. 3.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 1. 1. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",112
8,"['0.7321', '0.8873', '0.1942', '0.5798', '0.7278', '0.5469', '0.0869', '0.8458', '0.7653', '0.9189']","['0.5230', '0.7025', '0.5000', '0.7066', '0.4166', '0.7712', '0.3567', '0.6133', '0.8863', '0.7604']","['0.7321', '0.8873', '0.1942', '0.5798', '0.7278', '0.5469', '0.0869', '0.8458', '0.7653', '0.9189']","['0.6101', '0.7842', '0.2797', '0.6369', '0.5299', '0.6399', '0.1397', '0.7111', '0.8214', '0.8322']","['0.7321', '0.8873', '0.1942', '0.5798', '0.7278', '0.5469', '0.0869', '0.8458', '0.7653', '0.9189']","['0.9261', '0.9588', '0.9788', '0.9732', '0.8910', '0.9815', '0.9825', '0.9401', '0.9890', '0.9671']","[[511, 48, 18, 56, 20, 2, 18, 5, 16, 4], [42, 614, 1, 18, 11, 1, 4, 1, 0, 0], [57, 48, 134, 9, 334, 17, 54, 16, 14, 7], [135, 74, 3, 407, 51, 0, 16, 3, 5, 8], [26, 30, 33, 34, 492, 14, 15, 6, 16, 10], [5, 4, 0, 0, 0, 391, 0, 235, 7, 73], [193, 54, 64, 51, 229, 20, 61, 9, 9, 12], [0, 0, 0, 0, 0, 28, 0, 598, 1, 80], [8, 2, 15, 1, 44, 19, 3, 60, 538, 13], [0, 0, 0, 0, 0, 15, 0, 42, 1, 657]]","[7, 1, 3, 9, 7, 1, 6, 2, 0, 6, 9, 4, 0, 9, 8, 9]","[4, 6, 6, 2, 6, 0, 4, 2, 6, 6, 6, 6, 6, 0, 6, 2]","[[1. 2. 1. 0. 2. 0. 0. 0. 1. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [2. 8. 5. 4. 3. 2. 7. 8. 3. 4.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
 [2. 2. 3. 0. 5. 1. 5. 2. 1. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [5. 7. 2. 5. 4. 0. 3. 8. 7. 4.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 1. 1. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",128
9,"['0.6719', '0.9379', '0.1536', '0.6083', '0.7086', '0.6084', '0.0584', '0.8260', '0.7511', '0.9133']","['0.6487', '0.5831', '0.3557', '0.7213', '0.3985', '0.7436', '0.4184', '0.6096', '0.8844', '0.7830']","['0.6719', '0.9379', '0.1536', '0.6083', '0.7086', '0.6084', '0.0584', '0.8260', '0.7511', '0.9133']","['0.6601', '0.7191', '0.2146', '0.6600', '0.5101', '0.6692', '0.1025', '0.7015', '0.8123', '0.8431']","['0.6719', '0.9379', '0.1536', '0.6083', '0.7086', '0.6084', '0.0584', '0.8260', '0.7511', '0.9133']","['0.9597', '0.9264', '0.9696', '0.9738', '0.8857', '0.9761', '0.9909', '0.9406', '0.9890', '0.9712']","[[469, 72, 31, 67, 23, 3, 10, 9, 12, 2], [15, 649, 2, 11, 9, 1, 1, 4, 0, 0], [23, 72, 106, 6, 372, 23, 38, 23, 19, 8], [82, 132, 5, 427, 42, 0, 4, 4, 4, 2], [6, 72, 41, 27, 479, 13, 4, 11, 15, 8], [0, 7, 4, 0, 0, 435, 0, 199, 8, 62], [126, 103, 95, 53, 227, 24, 41, 11, 10, 12], [0, 1, 0, 0, 0, 45, 0, 584, 1, 76], [2, 4, 14, 1, 50, 21, 0, 72, 528, 11], [0, 1, 0, 0, 0, 20, 0, 41, 0, 653]]","[5, 4, 3, 4, 8, 5, 0, 0, 4, 3, 1, 3, 4, 8, 7, 8]","[6, 6, 2, 2, 2, 2, 2, 0, 4, 2, 2, 2, 2, 2, 2, 6]","[[2. 2. 1. 0. 2. 0. 0. 0. 1. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [3. 9. 5. 7. 5. 3. 7. 9. 5. 4.]
 [0. 0. 0. 0. 1. 0. 0. 0. 0. 0.]
 [2. 2. 3. 0. 6. 1. 5. 2. 1. 2.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [5. 7. 2. 5. 5. 1. 3. 8. 8. 4.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 1. 0. 0. 0. 1. 1. 1. 0. 1.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",144
