cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations
0,"['0.0000', '0.9350', '0.0217', '0.2365', '0.0488', '0.9860', '0.3989', '0.1287', '0.4097', '0.1664']","['0.0000', '0.4090', '0.5172', '0.3681', '0.5323', '0.2508', '0.1847', '0.8667', '0.8862', '1.0000']","['0.0000', '0.9350', '0.0217', '0.2365', '0.0488', '0.9860', '0.3989', '0.1287', '0.4097', '0.1664']","['0.0000', '0.5690', '0.0417', '0.2879', '0.0894', '0.3999', '0.2525', '0.2241', '0.5603', '0.2854']","['0.0000', '0.9350', '0.0217', '0.2365', '0.0488', '0.9860', '0.3989', '0.1287', '0.4097', '0.1664']","['1.0000', '0.8518', '0.9978', '0.9547', '0.9954', '0.6649', '0.8037', '0.9978', '0.9941', '1.0000']","[[0, 223, 2, 138, 0, 101, 230, 0, 4, 0], [0, 647, 0, 21, 5, 9, 10, 0, 0, 0], [0, 88, 15, 14, 20, 187, 363, 1, 2, 0], [0, 414, 0, 166, 0, 67, 55, 0, 0, 0], [0, 64, 4, 43, 33, 78, 447, 0, 7, 0], [0, 2, 0, 1, 0, 705, 1, 5, 1, 0], [0, 141, 8, 60, 4, 207, 280, 0, 2, 0], [0, 0, 0, 0, 0, 613, 0, 91, 3, 0], [0, 3, 0, 5, 0, 291, 108, 8, 288, 0], [0, 0, 0, 3, 0, 553, 22, 0, 18, 119]]",-1,-1,-1,-1
1,"['0.5014', '0.8728', '0.0000', '0.3746', '0.7308', '0.7413', '0.0256', '0.6280', '0.7326', '0.8951']","['0.4801', '0.4767', '0.0000', '0.5456', '0.3447', '0.5550', '0.2857', '0.7437', '0.8655', '0.7281']","['0.5014', '0.8728', '0.0000', '0.3746', '0.7308', '0.7413', '0.0256', '0.6280', '0.7326', '0.8951']","['0.4905', '0.6166', '0.0000', '0.4443', '0.4685', '0.6347', '0.0471', '0.6810', '0.7935', '0.8030']","['0.5014', '0.8728', '0.0000', '0.3746', '0.7308', '0.7413', '0.0256', '0.6280', '0.7326', '0.8951']","['0.9399', '0.8949', '1.0000', '0.9652', '0.8515', '0.9324', '0.9929', '0.9757', '0.9873', '0.9620']","[[350, 173, 0, 58, 73, 22, 8, 0, 13, 1], [19, 604, 0, 44, 21, 2, 1, 0, 0, 1], [39, 60, 0, 20, 464, 60, 28, 0, 17, 2], [137, 271, 0, 263, 23, 6, 0, 0, 2, 0], [64, 46, 0, 28, 494, 28, 3, 0, 11, 2], [0, 2, 0, 2, 0, 530, 0, 122, 6, 53], [119, 110, 0, 58, 295, 83, 18, 0, 16, 3], [0, 0, 0, 0, 0, 104, 0, 444, 5, 154], [1, 1, 0, 8, 61, 68, 0, 26, 515, 23], [0, 0, 0, 1, 2, 52, 5, 5, 10, 640]]","[8, 0, 4, 4, 4, 6, 6, 6, 6, 4, 6, 8, 4, 4, 2, 4]","[8, 2, 4, 4, 4, 6, 6, 6, 2, 6, 6, 6, 4, 4, 2, 2]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 1. 0. 1. 0. 1. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 5. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 1. 0. 4. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",16
2,"['0.6375', '0.8642', '0.0000', '0.3860', '0.5976', '0.6685', '0.2279', '0.6591', '0.8777', '0.9552']","['0.4795', '0.7077', '0.0000', '0.7507', '0.3673', '0.7457', '0.2250', '0.7702', '0.7216', '0.7167']","['0.6375', '0.8642', '0.0000', '0.3860', '0.5976', '0.6685', '0.2279', '0.6591', '0.8777', '0.9552']","['0.5474', '0.7781', '0.0000', '0.5099', '0.4550', '0.7050', '0.2265', '0.7104', '0.7920', '0.8189']","['0.6375', '0.8642', '0.0000', '0.3860', '0.5976', '0.6685', '0.2279', '0.6591', '0.8777', '0.9552']","['0.9234', '0.9608', '0.9998', '0.9857', '0.8899', '0.9741', '0.9125', '0.9779', '0.9622', '0.9570']","[[445, 33, 0, 29, 17, 13, 135, 0, 26, 0], [36, 598, 0, 26, 16, 2, 12, 0, 2, 0], [31, 8, 0, 2, 366, 3, 203, 0, 76, 1], [185, 178, 0, 271, 6, 5, 49, 0, 8, 0], [57, 11, 1, 14, 404, 7, 149, 0, 33, 0], [0, 0, 0, 2, 0, 478, 0, 120, 11, 104], [171, 17, 0, 16, 241, 24, 160, 0, 73, 0], [0, 0, 0, 0, 0, 74, 0, 466, 4, 163], [3, 0, 0, 0, 50, 16, 3, 12, 617, 2], [0, 0, 0, 1, 0, 19, 0, 7, 5, 683]]","[4, 6, 4, 2, 8, 8, 8, 3, 8, 2, 6, 2, 6, 2, 2, 4]","[0, 4, 6, 2, 2, 2, 4, 3, 2, 2, 6, 2, 6, 6, 6, 0]","[[0. 0. 0. 0. 2. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 4. 0. 1. 0. 1. 0. 3. 0.]
 [0. 0. 0. 1. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 5. 0. 1. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 2. 0. 2. 0. 6. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",32
3,"['0.5201', '0.9220', '0.0000', '0.5513', '0.7559', '0.7259', '0.0769', '0.6902', '0.8450', '0.9371']","['0.7035', '0.6584', '0.0000', '0.5139', '0.3280', '0.7023', '0.1935', '0.7821', '0.8486', '0.7773']","['0.5201', '0.9220', '0.0000', '0.5513', '0.7559', '0.7259', '0.0769', '0.6902', '0.8450', '0.9371']","['0.5980', '0.7682', '0.0000', '0.5320', '0.4575', '0.7139', '0.1101', '0.7333', '0.8468', '0.8497']","['0.5201', '0.9220', '0.0000', '0.5513', '0.7559', '0.7259', '0.0769', '0.6902', '0.8450', '0.9371']","['0.9757', '0.9475', '1.0000', '0.9419', '0.8344', '0.9650', '0.9643', '0.9784', '0.9832', '0.9695']","[[363, 53, 0, 131, 33, 11, 85, 0, 22, 0], [2, 638, 0, 25, 26, 0, 0, 0, 1, 0], [7, 11, 0, 27, 550, 4, 63, 0, 27, 1], [37, 223, 0, 387, 25, 1, 25, 0, 4, 0], [14, 17, 0, 67, 511, 4, 49, 0, 14, 0], [0, 1, 0, 3, 0, 519, 0, 116, 4, 72], [93, 26, 0, 104, 366, 26, 54, 0, 33, 0], [0, 0, 0, 0, 0, 103, 0, 488, 0, 116], [0, 0, 0, 8, 47, 35, 3, 13, 594, 3], [0, 0, 0, 1, 0, 36, 0, 7, 1, 670]]","[4, 3, 8, 4, 8, 3, 3, 3, 4, 3, 4, 3, 3, 3, 4, 4]","[4, 3, 2, 2, 8, 3, 4, 0, 0, 2, 2, 0, 6, 2, 2, 2]","[[0. 0. 0. 2. 3. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 4. 2. 5. 0. 1. 0. 4. 0.]
 [0. 0. 0. 3. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 1. 6. 0. 1. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 2. 1. 2. 0. 6. 0. 1. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 2. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",48
4,"['0.4713', '0.8613', '0.0000', '0.7265', '0.5355', '0.5119', '0.3989', '0.7468', '0.9033', '0.9608']","['0.6798', '0.8752', '0.0000', '0.5951', '0.3751', '0.9059', '0.2443', '0.7116', '0.8089', '0.7340']","['0.4713', '0.8613', '0.0000', '0.7265', '0.5355', '0.5119', '0.3989', '0.7468', '0.9033', '0.9608']","['0.5567', '0.8682', '0.0000', '0.6543', '0.4412', '0.6542', '0.3030', '0.7288', '0.8535', '0.8322']","['0.4713', '0.8613', '0.0000', '0.7265', '0.5355', '0.5119', '0.3989', '0.7468', '0.9033', '0.9608']","['0.9754', '0.9865', '1.0000', '0.9449', '0.9046', '0.9940', '0.8625', '0.9660', '0.9762', '0.9604']","[[329, 11, 0, 130, 10, 2, 192, 0, 24, 0], [2, 596, 0, 59, 20, 0, 14, 0, 1, 0], [3, 7, 0, 8, 331, 0, 316, 0, 24, 1], [52, 55, 0, 510, 7, 0, 75, 0, 3, 0], [11, 6, 0, 44, 362, 0, 239, 0, 14, 0], [0, 0, 0, 15, 0, 366, 1, 198, 37, 98], [87, 6, 0, 80, 213, 0, 280, 0, 36, 0], [0, 0, 0, 0, 0, 24, 0, 528, 7, 148], [0, 0, 0, 10, 22, 1, 29, 4, 635, 2], [0, 0, 0, 1, 0, 11, 0, 12, 4, 687]]","[3, 6, 4, 3, 3, 8, 8, 4, 2, 6, 3, 6, 3, 8, 6, 2]","[0, 6, 2, 2, 2, 8, 8, 2, 2, 6, 0, 6, 3, 8, 6, 2]","[[ 0.  0.  0.  4.  3.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  6.  4.  7.  0.  1.  0.  4.  0.]
 [ 0.  0.  0.  4.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  1.  6.  0.  1.  0.  1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  2.  1.  2.  0. 10.  0.  1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  5.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]]",64
5,"['0.5344', '0.8627', '0.0014', '0.7194', '0.6228', '0.6280', '0.3262', '0.7412', '0.9118', '0.9552']","['0.6782', '0.9241', '0.3333', '0.7004', '0.3639', '0.8585', '0.2431', '0.7308', '0.7622', '0.7589']","['0.5344', '0.8627', '0.0014', '0.7194', '0.6228', '0.6280', '0.3262', '0.7412', '0.9118', '0.9552']","['0.5978', '0.8924', '0.0029', '0.7098', '0.4594', '0.7254', '0.2786', '0.7360', '0.8303', '0.8458']","['0.5344', '0.8627', '0.0014', '0.7194', '0.6228', '0.6280', '0.3262', '0.7412', '0.9118', '0.9552']","['0.9719', '0.9922', '0.9997', '0.9657', '0.8836', '0.9882', '0.8868', '0.9693', '0.9682', '0.9655']","[[373, 12, 0, 65, 12, 2, 201, 0, 33, 0], [1, 597, 0, 57, 30, 0, 5, 0, 2, 0], [3, 5, 1, 8, 402, 0, 224, 0, 46, 1], [76, 23, 0, 505, 15, 0, 74, 0, 9, 0], [6, 4, 0, 38, 421, 0, 181, 0, 26, 0], [0, 1, 0, 2, 0, 449, 1, 171, 14, 77], [91, 4, 2, 44, 266, 1, 229, 0, 65, 0], [0, 0, 0, 0, 0, 43, 0, 524, 3, 137], [0, 0, 0, 1, 11, 9, 27, 12, 641, 2], [0, 0, 0, 1, 0, 19, 0, 10, 2, 683]]","[8, 6, 4, 8, 8, 6, 8, 8, 5, 5, 3, 5, 3, 6, 8, 4]","[5, 2, 2, 8, 5, 6, 3, 0, 6, 5, 2, 5, 0, 6, 2, 5]","[[ 0.  0.  0.  5.  3.  0.  0.  0.  1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  6.  5.  8.  0.  2.  0.  5.  0.]
 [ 0.  0.  0.  4.  0.  0.  0.  0.  1.  0.]
 [ 0.  0.  0.  1.  6.  0.  1.  0.  1.  0.]
 [ 0.  0.  0.  0.  1.  2.  0.  0.  2.  0.]
 [ 0.  0.  2.  1.  2.  1. 12.  0.  1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  6.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]]",80
6,"['0.5888', '0.8049', '0.1928', '0.7550', '0.4053', '0.6000', '0.3533', '0.7383', '0.9275', '0.9538']","['0.6555', '0.9772', '0.4143', '0.6471', '0.4222', '0.8900', '0.2503', '0.7141', '0.7293', '0.7445']","['0.5888', '0.8049', '0.1928', '0.7550', '0.4053', '0.6000', '0.3533', '0.7383', '0.9275', '0.9538']","['0.6204', '0.8827', '0.2631', '0.6969', '0.4136', '0.7168', '0.2930', '0.7260', '0.8165', '0.8363']","['0.5888', '0.8049', '0.1928', '0.7550', '0.4053', '0.6000', '0.3533', '0.7383', '0.9275', '0.9538']","['0.9657', '0.9979', '0.9702', '0.9541', '0.9407', '0.9916', '0.8820', '0.9668', '0.9616', '0.9628']","[[411, 3, 9, 85, 3, 2, 146, 0, 39, 0], [1, 557, 3, 98, 24, 0, 7, 0, 2, 0], [7, 2, 133, 8, 207, 1, 286, 0, 46, 0], [86, 4, 12, 530, 3, 0, 55, 0, 12, 0], [20, 2, 78, 41, 274, 0, 219, 0, 42, 0], [0, 0, 0, 2, 0, 429, 1, 193, 17, 73], [102, 2, 86, 53, 132, 0, 248, 0, 79, 0], [0, 0, 0, 0, 0, 24, 0, 522, 3, 158], [0, 0, 0, 1, 6, 6, 29, 6, 652, 3], [0, 0, 0, 1, 0, 20, 0, 10, 2, 682]]","[4, 8, 3, 3, 5, 1, 8, 2, 8, 8, 8, 5, 6, 6, 3, 2]","[4, 5, 0, 0, 6, 1, 0, 2, 0, 8, 3, 5, 6, 6, 0, 2]","[[ 0.  0.  0.  8.  3.  0.  0.  0.  3.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 1.  0.  8.  5.  8.  0.  2.  0.  5.  0.]
 [ 0.  0.  0.  4.  0.  0.  0.  0.  2.  0.]
 [ 0.  0.  0.  1.  7.  0.  1.  0.  1.  0.]
 [ 0.  0.  0.  0.  1.  3.  0.  0.  3.  0.]
 [ 0.  0.  2.  1.  2.  2. 14.  0.  1.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  7.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]]",96
7,"['0.1562', '0.8887', '0.4290', '0.8291', '0.4556', '0.6014', '0.1581', '0.7482', '0.8336', '0.9566']","['0.8790', '0.8367', '0.3728', '0.4136', '0.4053', '0.8776', '0.2960', '0.7197', '0.8669', '0.7566']","['0.1562', '0.8887', '0.4290', '0.8291', '0.4556', '0.6014', '0.1581', '0.7482', '0.8336', '0.9566']","['0.2652', '0.8619', '0.3989', '0.5519', '0.4290', '0.7137', '0.2061', '0.7337', '0.8499', '0.8450']","['0.1562', '0.8887', '0.4290', '0.8291', '0.4556', '0.6014', '0.1581', '0.7482', '0.8336', '0.9566']","['0.9976', '0.9810', '0.9211', '0.8690', '0.9285', '0.9905', '0.9581', '0.9673', '0.9857', '0.9650']","[[109, 30, 35, 399, 8, 1, 101, 0, 15, 0], [0, 615, 2, 51, 22, 0, 1, 0, 1, 0], [0, 6, 296, 55, 230, 1, 84, 0, 18, 0], [3, 68, 25, 582, 4, 0, 17, 0, 3, 0], [0, 6, 213, 103, 308, 0, 36, 0, 10, 0], [0, 1, 0, 4, 5, 430, 4, 185, 12, 74], [12, 9, 194, 197, 152, 1, 111, 0, 26, 0], [0, 0, 0, 0, 0, 31, 0, 529, 3, 144], [0, 0, 29, 15, 31, 11, 20, 9, 586, 2], [0, 0, 0, 1, 0, 15, 1, 12, 2, 684]]","[3, 6, 5, 3, 1, 8, 1, 8, 6, 5, 2, 6, 8, 2, 3, 6]","[3, 2, 5, 2, 6, 6, 2, 4, 6, 0, 2, 6, 2, 2, 3, 6]","[[ 0.  0.  0.  8.  3.  1.  0.  0.  3.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 1.  1. 10.  6.  8.  0.  3.  0.  6.  0.]
 [ 0.  0.  0.  6.  0.  0.  0.  0.  2.  0.]
 [ 0.  0.  0.  1.  7.  0.  1.  0.  2.  0.]
 [ 0.  0.  0.  0.  1.  4.  0.  0.  3.  0.]
 [ 0.  1.  2.  1.  2.  2. 17.  0.  2.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  7.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]]",112
8,"['0.5530', '0.7514', '0.0029', '0.8718', '0.2589', '0.6014', '0.4658', '0.7751', '0.9374', '0.9329']","['0.7352', '0.9701', '0.6667', '0.5340', '0.4279', '0.8884', '0.2455', '0.7211', '0.6857', '0.7903']","['0.5530', '0.7514', '0.0029', '0.8718', '0.2589', '0.6014', '0.4658', '0.7751', '0.9374', '0.9329']","['0.6312', '0.8469', '0.0058', '0.6623', '0.3226', '0.7173', '0.3215', '0.7471', '0.7921', '0.8557']","['0.5530', '0.7514', '0.0029', '0.8718', '0.2589', '0.6014', '0.4658', '0.7751', '0.9374', '0.9329']","['0.9779', '0.9975', '0.9998', '0.9152', '0.9630', '0.9914', '0.8404', '0.9663', '0.9520', '0.9718']","[[386, 4, 1, 175, 3, 2, 89, 0, 38, 0], [0, 520, 0, 142, 17, 0, 11, 0, 2, 0], [15, 2, 2, 27, 122, 1, 467, 0, 53, 1], [23, 4, 0, 612, 3, 0, 43, 0, 17, 0], [4, 3, 0, 75, 175, 0, 365, 0, 54, 0], [0, 1, 0, 2, 0, 430, 2, 176, 48, 56], [96, 2, 0, 108, 87, 0, 327, 0, 82, 0], [0, 0, 0, 0, 0, 35, 0, 548, 6, 118], [1, 0, 0, 4, 2, 2, 28, 5, 659, 2], [0, 0, 0, 1, 0, 14, 0, 31, 2, 667]]","[4, 8, 1, 8, 2, 8, 1, 6, 4, 6, 5, 4, 7, 3, 5, 7]","[2, 8, 2, 0, 2, 8, 2, 6, 4, 6, 2, 4, 7, 2, 5, 6]","[[ 0.  0.  0.  8.  3.  1.  0.  0.  4.  0.]
 [ 0.  1.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 1.  3. 11.  7.  9.  1.  3.  0.  6.  0.]
 [ 0.  0.  0.  6.  0.  0.  0.  0.  2.  0.]
 [ 0.  0.  0.  1.  9.  0.  1.  0.  2.  0.]
 [ 0.  0.  0.  0.  1.  5.  0.  0.  3.  0.]
 [ 0.  1.  2.  1.  2.  2. 19.  1.  2.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  9.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]]",128
9,"['0.6447', '0.8815', '0.1449', '0.7593', '0.6183', '0.6448', '0.2222', '0.8190', '0.9161', '0.9161']","['0.6977', '0.9024', '0.5102', '0.6621', '0.4180', '0.8585', '0.2587', '0.6959', '0.7077', '0.8229']","['0.6447', '0.8815', '0.1449', '0.7593', '0.6183', '0.6448', '0.2222', '0.8190', '0.9161', '0.9161']","['0.6701', '0.8918', '0.2257', '0.7074', '0.4988', '0.7364', '0.2391', '0.7524', '0.7985', '0.8670']","['0.6447', '0.8815', '0.1449', '0.7593', '0.6183', '0.6448', '0.2222', '0.8190', '0.9161', '0.9161']","['0.9691', '0.9895', '0.9848', '0.9568', '0.9080', '0.9879', '0.9290', '0.9598', '0.9578', '0.9776']","[[450, 17, 7, 95, 5, 4, 82, 0, 38, 0], [0, 610, 0, 45, 26, 2, 7, 0, 2, 0], [14, 3, 100, 10, 306, 1, 196, 0, 59, 1], [64, 29, 11, 533, 9, 0, 36, 0, 20, 0], [1, 5, 26, 51, 418, 0, 108, 0, 67, 0], [0, 1, 0, 1, 0, 461, 2, 211, 7, 32], [115, 11, 50, 68, 229, 2, 156, 0, 71, 0], [0, 0, 0, 0, 0, 22, 0, 579, 0, 106], [1, 0, 2, 1, 7, 22, 16, 8, 644, 2], [0, 0, 0, 1, 0, 23, 0, 34, 2, 655]]","[5, 2, 1, 8, 4, 8, 3, 3, 1, 8, 3, 0, 8, 5, 8, 5]","[5, 0, 1, 8, 0, 8, 0, 0, 6, 6, 6, 0, 0, 6, 2, 2]","[[ 1.  0.  1. 10.  4.  1.  0.  0.  5.  0.]
 [ 0.  2.  0.  0.  0.  0.  0.  0.  0.  0.]
 [ 1.  3. 11.  7.  9.  2.  3.  0.  7.  0.]
 [ 0.  0.  0.  6.  0.  0.  0.  0.  2.  0.]
 [ 0.  0.  0.  1.  9.  0.  1.  0.  2.  0.]
 [ 0.  0.  0.  0.  1.  6.  0.  0.  3.  0.]
 [ 0.  2.  2.  2.  2.  3. 19.  1.  3.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  1.  0.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0. 11.  0.]
 [ 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.]]",144
