cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label
0,"['0.7526', '0.4700', '0.7434', '0.7406']","['0.5061', '0.2770', '0.2083', '0.4090']","['0.5849', '0.7040', '0.0020', '0.1269']","['0.5427', '0.3976', '0.0040', '0.1937']","['0.5849', '0.7040', '0.0020', '0.1269']","['0.8088', '0.3927', '0.9973', '0.9404']","[[1409, 941, 6, 53], [563, 1679, 4, 139], [468, 1736, 5, 240], [344, 1705, 9, 299]]",-1,-1
1,"['0.7740', '0.7169', '0.7448', '0.6050']","['0.5438', '0.3970', '0.0000', '0.3634']","['0.6164', '0.2692', '0.0000', '0.8095']","['0.5778', '0.3208', '0.0000', '0.5016']","['0.6164', '0.2692', '0.0000', '0.8095']","['0.8267', '0.8649', '0.9999', '0.5385']","[[1485, 395, 0, 529], [710, 642, 1, 1032], [366, 301, 0, 1782], [170, 279, 0, 1908]]",0,0
2,"['0.7841', '0.7364', '0.7348', '0.5725']","['0.5707', '0.4345', '0.2679', '0.3520']","['0.5629', '0.2029', '0.0229', '0.8812']","['0.5668', '0.2767', '0.0421', '0.5030']","['0.5629', '0.2029', '0.0229', '0.8812']","['0.8582', '0.9127', '0.9786', '0.4720']","[[1356, 315, 46, 692], [622, 484, 69, 1210], [298, 173, 56, 1922], [100, 142, 38, 2077]]",2,2
3,"['0.7252', '0.7129', '0.7383', '0.6404']","['0.4700', '0.3478', '0.3297', '0.3749']","['0.7451', '0.1778', '0.0249', '0.6962']","['0.5764', '0.2353', '0.0463', '0.4874']","['0.7451', '0.1778', '0.0249', '0.6962']","['0.7185', '0.8898', '0.9827', '0.6223']","[[1795, 205, 21, 388], [1104, 424, 44, 813], [575, 278, 61, 1535], [345, 312, 59, 1641]]",1,1
4,"['0.7610', '0.7281', '0.7201', '0.6411']","['0.5178', '0.4059', '0.3117', '0.3800']","['0.6961', '0.2034', '0.0804', '0.7310']","['0.5938', '0.2709', '0.1279', '0.5001']","['0.6961', '0.2034', '0.0804', '0.7310']","['0.7828', '0.9016', '0.9392', '0.6119']","[[1677, 236, 84, 412], [883, 485, 174, 843], [457, 239, 197, 1556], [222, 235, 177, 1723]]",3,3
5,"['0.7978', '0.7401', '0.7199', '0.5772']","['0.6211', '0.4597', '0.2551', '0.3536']","['0.4981', '0.2633', '0.0510', '0.8719']","['0.5529', '0.3348', '0.0851', '0.5031']","['0.4981', '0.2633', '0.0510', '0.8719']","['0.8982', '0.8977', '0.9490', '0.4813']","[[1200, 411, 130, 668], [419, 628, 141, 1197], [248, 184, 125, 1892], [65, 143, 94, 2055]]",0,0
6,"['0.7508', '0.7284', '0.7176', '0.6708']","['0.5024', '0.4192', '0.3487', '0.3960']","['0.7302', '0.2415', '0.1233', '0.6483']","['0.5953', '0.3065', '0.1822', '0.4916']","['0.7302', '0.2415', '0.1233', '0.6483']","['0.7578', '0.8894', '0.9211', '0.6782']","[[1759, 225, 98, 327], [922, 576, 226, 661], [531, 273, 302, 1343], [289, 300, 240, 1528]]",3,3
7,"['0.7863', '0.7491', '0.7110', '0.6411']","['0.5626', '0.4906', '0.3086', '0.3823']","['0.6658', '0.2629', '0.1070', '0.7497']","['0.6099', '0.3423', '0.1589', '0.5064']","['0.6658', '0.2629', '0.1070', '0.7497']","['0.8266', '0.9098', '0.9179', '0.6058']","[[1604, 257, 128, 420], [679, 627, 230, 849], [393, 208, 262, 1586], [175, 186, 229, 1767]]",3,3
8,"['0.7396', '0.7320', '0.7252', '0.6766']","['0.4877', '0.4324', '0.3871', '0.3982']","['0.7489', '0.2520', '0.1323', '0.6207']","['0.5907', '0.3184', '0.1972', '0.4852']","['0.7489', '0.2520', '0.1323', '0.6207']","['0.7365', '0.8906', '0.9283', '0.6947']","[[1804, 208, 79, 318], [973, 601, 201, 610], [573, 269, 324, 1283], [349, 312, 233, 1463]]",0,0
9,"['0.7946', '0.7447', '0.7209', '0.6477']","['0.5836', '0.4813', '0.3338', '0.3870']","['0.6330', '0.3551', '0.0943', '0.7446']","['0.6073', '0.4087', '0.1471', '0.5093']","['0.6330', '0.3551', '0.0943', '0.7446']","['0.8487', '0.8735', '0.9355', '0.6162']","[[1525, 347, 96, 441], [573, 847, 193, 772], [363, 288, 231, 1567], [152, 278, 172, 1755]]",3,3
10,"['0.7919', '0.7545', '0.7146', '0.6559']","['0.5748', '0.5090', '0.3371', '0.3924']","['0.6559', '0.3338', '0.1229', '0.7314']","['0.6126', '0.4031', '0.1801', '0.5107']","['0.6559', '0.3338', '0.1229', '0.7314']","['0.8374', '0.8936', '0.9172', '0.6314']","[[1580, 297, 119, 413], [601, 796, 248, 740], [390, 241, 301, 1517], [178, 230, 225, 1724]]",2,2
11,"['0.7869', '0.7464', '0.7031', '0.6849']","['0.5636', '0.4859', '0.3659', '0.4038']","['0.6679', '0.3623', '0.2234', '0.5948']","['0.6113', '0.4151', '0.2774', '0.4810']","['0.6679', '0.3623', '0.2234', '0.5948']","['0.8267', '0.8733', '0.8674', '0.7142']","[[1609, 323, 145, 332], [626, 864, 344, 551], [416, 299, 547, 1187], [204, 292, 459, 1402]]",2,2
12,"['0.7957', '0.7601', '0.7185', '0.6308']","['0.5870', '0.5255', '0.2729', '0.3779']","['0.6272', '0.3547', '0.0621', '0.7790']","['0.6065', '0.4235', '0.1011', '0.5089']","['0.6272', '0.3547', '0.0621', '0.7790']","['0.8522', '0.8941', '0.9434', '0.5826']","[[1511, 321, 91, 486], [541, 846, 163, 835], [364, 231, 152, 1702], [158, 212, 151, 1836]]",1,1
13,"['0.7251', '0.7439', '0.7273', '0.6817']","['0.4703', '0.4756', '0.3912', '0.3983']","['0.7555', '0.3027', '0.1241', '0.5804']","['0.5797', '0.3700', '0.1885', '0.4724']","['0.7555', '0.3027', '0.1241', '0.5804']","['0.7149', '0.8897', '0.9339', '0.7146']","[[1820, 235, 71, 283], [931, 722, 170, 562], [656, 267, 304, 1222], [463, 294, 232, 1368]]",1,1
14,"['0.7818', '0.7455', '0.7270', '0.6749']","['0.5532', '0.4856', '0.3778', '0.4027']","['0.6779', '0.4109', '0.1086', '0.6708']","['0.6092', '0.4452', '0.1687', '0.5033']","['0.6779', '0.4109', '0.1086', '0.6708']","['0.8166', '0.8561', '0.9387', '0.6762']","[[1633, 344, 74, 358], [639, 980, 162, 604], [452, 348, 266, 1383], [228, 346, 202, 1581]]",3,3
15,"['0.8018', '0.7692', '0.7087', '0.6328']","['0.6197', '0.5492', '0.2956', '0.3813']","['0.5438', '0.3958', '0.1025', '0.7955']","['0.5793', '0.4600', '0.1522', '0.5155']","['0.5438', '0.3958', '0.1025', '0.7955']","['0.8882', '0.8926', '0.9164', '0.5799']","[[1310, 378, 164, 557], [395, 944, 248, 798], [300, 210, 251, 1688], [109, 187, 186, 1875]]",3,3
16,"['0.7947', '0.7654', '0.7134', '0.6635']","['0.5826', '0.5369', '0.3194', '0.3987']","['0.6413', '0.4059', '0.1090', '0.7289']","['0.6106', '0.4623', '0.1626', '0.5155']","['0.6413', '0.4059', '0.1090', '0.7289']","['0.8461', '0.8843', '0.9204', '0.6423']","[[1545, 345, 112, 407], [532, 968, 231, 654], [395, 257, 267, 1530], [180, 233, 226, 1718]]",1,1
