cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label
0,"['0.7518', '0.2889', '0.7519', '0.7360']","['0.4286', '0.2547', '0.2667', '0.4229']","['0.0025', '0.9579', '0.0034', '0.0918']","['0.0050', '0.4023', '0.0067', '0.1508']","['0.0025', '0.9579', '0.0034', '0.0918']","['0.9989', '0.0660', '0.9970', '0.9571']","[[6, 2294, 7, 74], [3, 2298, 7, 91], [3, 2215, 8, 142], [2, 2217, 8, 225]]",-1,-1
1,"['0.7327', '0.5071', '0.7494', '0.7169']","['0.4627', '0.2977', '0.3390', '0.3922']","['0.4822', '0.7157', '0.0169', '0.1974']","['0.4722', '0.4205', '0.0322', '0.2626']","['0.4822', '0.7157', '0.0169', '0.1974']","['0.8153', '0.4376', '0.9892', '0.8951']","[[1148, 1060, 23, 150], [415, 1717, 12, 255], [507, 1476, 40, 345], [411, 1514, 43, 484]]",2,2
2,"['0.6350', '0.6315', '0.7465', '0.7160']","['0.3785', '0.3160', '0.3187', '0.4194']","['0.7350', '0.4077', '0.0245', '0.2908']","['0.4997', '0.3560', '0.0455', '0.3434']","['0.7350', '0.4077', '0.0245', '0.2908']","['0.6020', '0.7060', '0.9829', '0.8619']","[[1750, 426, 28, 177], [1059, 978, 18, 344], [948, 896, 58, 466], [866, 795, 78, 713]]",0,0
3,"['0.6663', '0.6903', '0.7443', '0.6929']","['0.4055', '0.3714', '0.3224', '0.4105']","['0.7413', '0.3456', '0.0334', '0.4637']","['0.5242', '0.3580', '0.0605', '0.4355']","['0.7413', '0.3456', '0.0334', '0.4637']","['0.6415', '0.8052', '0.9770', '0.7715']","[[1765, 322, 41, 253], [1022, 829, 20, 528], [837, 600, 79, 852], [729, 481, 105, 1137]]",3,3
4,"['0.6818', '0.7207', '0.7422', '0.6655']","['0.4208', '0.4104', '0.3223', '0.3907']","['0.7518', '0.2693', '0.0410', '0.5530']","['0.5396', '0.3252', '0.0727', '0.4579']","['0.7518', '0.2693', '0.0410', '0.5530']","['0.6587', '0.8711', '0.9718', '0.7041']","[[1790, 228, 50, 313], [1045, 646, 37, 671], [755, 385, 97, 1131], [664, 315, 117, 1356]]",2,2
5,"['0.7251', '0.7362', '0.7411', '0.6392']","['0.4653', '0.4513', '0.3131', '0.3798']","['0.7257', '0.2568', '0.0414', '0.6517']","['0.5670', '0.3273', '0.0731', '0.4799']","['0.7257', '0.2568', '0.0414', '0.6517']","['0.7249', '0.8960', '0.9703', '0.6349']","[[1728, 211, 58, 384], [907, 616, 52, 824], [597, 271, 98, 1402], [482, 267, 105, 1598]]",0,0
6,"['0.7511', '0.7444', '0.7388', '0.6189']","['0.4988', '0.4757', '0.2866', '0.3739']","['0.7031', '0.2243', '0.0397', '0.7296']","['0.5836', '0.3048', '0.0697', '0.4944']","['0.7031', '0.2243', '0.0397', '0.7296']","['0.7670', '0.9177', '0.9676', '0.5809']","[[1674, 195, 76, 436], [829, 538, 59, 973], [500, 187, 94, 1587], [353, 211, 99, 1789]]",3,3
7,"['0.7559', '0.7468', '0.7380', '0.6180']","['0.5057', '0.4851', '0.3019', '0.3743']","['0.7056', '0.2172', '0.0473', '0.7378']","['0.5892', '0.3000', '0.0818', '0.4966']","['0.7056', '0.2172', '0.0473', '0.7378']","['0.7725', '0.9232', '0.9642', '0.5769']","[[1680, 186, 74, 441], [827, 521, 70, 981], [489, 165, 112, 1602], [326, 202, 115, 1809]]",1,1
8,"['0.7555', '0.7467', '0.7376', '0.6219']","['0.5051', '0.4846', '0.3069', '0.3769']","['0.7110', '0.2163', '0.0507', '0.7357']","['0.5906', '0.2991', '0.0870', '0.4985']","['0.7110', '0.2163', '0.0507', '0.7357']","['0.7702', '0.9233', '0.9625', '0.5828']","[[1693, 183, 72, 433], [847, 519, 79, 954], [488, 165, 120, 1595], [324, 204, 120, 1804]]",1,1
9,"['0.7585', '0.7457', '0.7347', '0.6298']","['0.5095', '0.4815', '0.2952', '0.3829']","['0.7110', '0.2280', '0.0545', '0.7345']","['0.5936', '0.3095', '0.0920', '0.5034']","['0.7110', '0.2280', '0.0545', '0.7345']","['0.7742', '0.9182', '0.9574', '0.5939']","[[1693, 192, 76, 420], [852, 547, 96, 904], [478, 182, 129, 1579], [300, 215, 136, 1801]]",0,0
