cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label
0,"['0.5311', '0.7082', '0.5322']","['0.3508', '0.6136', '0.2888']","['0.5391', '0.3706', '0.2560']","['0.4250', '0.4621', '0.2714']","['0.5391', '0.3706', '0.2560']","['0.5274', '0.8808', '0.6747']","[[1456, 359, 886], [871, 1053, 917], [1823, 304, 732]]",-1,-1
1,"['0.3394', '0.6353', '0.6486']","['0.3123', '0.3308', '0.1921']","['0.8778', '0.0767', '0.0101']","['0.4607', '0.1246', '0.0193']","['0.8778', '0.0767', '0.0101']","['0.0842', '0.9207', '0.9780']","[[2371, 222, 108], [2609, 218, 14], [2611, 219, 29]]",1,1
2,"['0.6653', '0.3615', '0.6369']","['0.2716', '0.3324', '0.3487']","['0.0244', '0.8807', '0.0769']","['0.0448', '0.4826', '0.1261']","['0.0244', '0.8807', '0.0769']","['0.9689', '0.0962', '0.9258']","[[66, 2409, 226], [154, 2502, 185], [23, 2616, 220]]",0,1
3,"['0.3978', '0.6780', '0.6605']","['0.3374', '0.5610', '0.5946']","['0.9056', '0.2200', '0.0077']","['0.4916', '0.3161', '0.0152']","['0.9056', '0.2200', '0.0077']","['0.1572', '0.9121', '0.9973']","[[2446, 252, 3], [2204, 625, 12], [2600, 237, 22]]",2,2
4,"['0.6631', '0.6971', '0.4150']","['0.3838', '0.7263', '0.3571']","['0.0789', '0.1672', '0.8982']","['0.1308', '0.2718', '0.5110']","['0.0789', '0.1672', '0.8982']","['0.9400', '0.9678', '0.1656']","[[213, 97, 2391], [133, 475, 2233], [209, 82, 2568]]",1,0
5,"['0.6704', '0.3044', '0.5764']","['0.3963', '0.2955', '0.0205']","['0.0481', '0.7638', '0.0052']","['0.0858', '0.4262', '0.0084']","['0.0481', '0.7638', '0.0052']","['0.9653', '0.0696', '0.8710']","[[130, 2450, 121], [77, 2170, 594], [121, 2723, 15]]",0,1
6,"['0.6456', '0.4176', '0.6669']","['0.3577', '0.3569', '0.6160']","['0.1285', '0.9004', '0.0567']","['0.1890', '0.5111', '0.1038']","['0.1285', '0.9004', '0.0567']","['0.8907', '0.1709', '0.9818']","[[347, 2258, 96], [278, 2558, 5], [345, 2352, 162]]",2,0
7,"['0.6522', '0.8249', '0.7259']","['0.4077', '0.7063', '0.5716']","['0.1807', '0.8254', '0.7765']","['0.2504', '0.7612', '0.6585']","['0.1807', '0.8254', '0.7765']","['0.8756', '0.8246', '0.6997']","[[488, 842, 1371], [203, 2345, 293], [506, 133, 2220]]",0,2
8,"['0.3855', '0.6647', '0.6602']","['0.3227', '0.5088', '0.5196']","['0.8293', '0.2432', '0.0185']","['0.4646', '0.3291', '0.0358']","['0.8293', '0.2432', '0.0185']","['0.1753', '0.8800', '0.9912']","[[2240, 415, 46], [2147, 691, 3], [2554, 252, 53]]",2,1
9,"['0.5953', '0.6133', '0.3759']","['0.2822', '0.3968', '0.2527']","['0.1677', '0.2760', '0.4260']","['0.2104', '0.3255', '0.3172']","['0.1677', '0.2760', '0.4260']","['0.7979', '0.7856', '0.3501']","[[453, 607, 1641], [96, 784, 1961], [1056, 585, 1218]]",2,2
10,"['0.6772', '0.3615', '0.6572']","['0.4729', '0.3454', '0.2162']","['0.0355', '0.9923', '0.0028']","['0.0661', '0.5125', '0.0055']","['0.0355', '0.9923', '0.0028']","['0.9812', '0.0392', '0.9948']","[[96, 2588, 17], [10, 2819, 12], [97, 2754, 8]]",0,0
11,"['0.6736', '0.6372', '0.3494']","['0.3892', '0.0876', '0.3363']","['0.0267', '0.0077', '0.9370']","['0.0499', '0.0142', '0.4950']","['0.0267', '0.0077', '0.9370']","['0.9802', '0.9588', '0.0462']","[[72, 120, 2509], [42, 22, 2777], [71, 109, 2679]]",1,1
12,"['0.5981', '0.6281', '0.8012']","['0.3206', '0.4678', '0.7803']","['0.2233', '0.7244', '0.5789']","['0.2632', '0.5685', '0.6647']","['0.2233', '0.7244', '0.5789']","['0.7758', '0.5790', '0.9159']","[[603, 1684, 414], [731, 2058, 52], [547, 657, 1655]]",2,2
13,"['0.6340', '0.7661', '0.7386']","['0.3901', '0.6159', '0.6136']","['0.2458', '0.8194', '0.6264']","['0.3016', '0.7032', '0.6199']","['0.2458', '0.8194', '0.6264']","['0.8179', '0.7388', '0.7965']","[[664, 1090, 947], [332, 2328, 181], [706, 362, 1791]]",1,2
14,"['0.6686', '0.3736', '0.5631']","['0.4119', '0.3211', '0.1513']","['0.0718', '0.7649', '0.0616']","['0.1223', '0.4523', '0.0875']","['0.0718', '0.7649', '0.0616']","['0.9514', '0.1737', '0.8219']","[[194, 2110, 397], [78, 2173, 590], [199, 2484, 176]]",2,2
15,"['0.6775', '0.3263', '0.5875']","['0.1667', '0.3063', '0.2275']","['0.0007', '0.7846', '0.0885']","['0.0015', '0.4406', '0.1274']","['0.0007', '0.7846', '0.0885']","['0.9982', '0.0921', '0.8450']","[[2, 2446, 253], [6, 2229, 606], [4, 2602, 253]]",1,0
16,"['0.6548', '0.6728', '0.3723']","['0.3413', '0.9694', '0.3428']","['0.0792', '0.0334', '0.9203']","['0.1286', '0.0646', '0.4995']","['0.0792', '0.0334', '0.9203']","['0.9275', '0.9995', '0.0897']","[[214, 2, 2485], [186, 95, 2560], [227, 1, 2631]]",1,2
17,"['0.4100', '0.6456', '0.6527']","['0.3158', '0.4612', '0.4436']","['0.7160', '0.2848', '0.0811']","['0.4383', '0.3521', '0.1372']","['0.7160', '0.2848', '0.0811']","['0.2649', '0.8300', '0.9475']","[[1934, 508, 259], [2000, 809, 32], [2190, 437, 232]]",2,0
18,"['0.6403', '0.3898', '0.6377']","['0.3764', '0.3334', '0.1224']","['0.1810', '0.8046', '0.0105']","['0.2445', '0.4714', '0.0193']","['0.1810', '0.8046', '0.0105']","['0.8579', '0.1779', '0.9612']","[[489, 2182, 30], [370, 2286, 185], [440, 2389, 30]]",2,0
19,"['0.6694', '0.3302', '0.5820']","['0.0957', '0.3057', '0.2128']","['0.0033', '0.7716', '0.0846']","['0.0064', '0.4379', '0.1211']","['0.0033', '0.7716', '0.0846']","['0.9851', '0.1047', '0.8385']","[[9, 2368, 324], [78, 2192, 571], [7, 2610, 242]]",2,0
20,"['0.6284', '0.4038', '0.6603']","['0.3241', '0.3463', '0.3981']","['0.1037', '0.8754', '0.0542']","['0.1571', '0.4963', '0.0954']","['0.1037', '0.8754', '0.0542']","['0.8915', '0.1657', '0.9595']","[[582, 4716, 313], [560, 4934, 142], [654, 4598, 301]]",1,1
