cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label
0,"['0.6677', '0.4765', '0.6500']","['0.4878', '0.3823', '0.4492']","['0.0359', '0.9000', '0.2475']","['0.0668', '0.5367', '0.3191']","['0.0359', '0.9000', '0.2475']","['0.9813', '0.2614', '0.8496']","[[100, 2106, 581], [19, 2547, 264], [86, 2009, 689]]",-1,-1
1,"['0.6683', '0.6725', '0.3470']","['0.0000', '0.7257', '0.3358']","['0.0000', '0.0449', '0.9921']","['0.0000', '0.0845', '0.5017']","['0.0000', '0.0449', '0.9921']","['1.0000', '0.9914', '0.0272']","[[0, 26, 2761], [0, 127, 2703], [0, 22, 2762]]",0,0
2,"['0.6228', '0.5849', '0.5808']","['0.1707', '0.4188', '0.4023']","['0.0355', '0.5986', '0.5456']","['0.0588', '0.4928', '0.4631']","['0.0355', '0.5986', '0.5456']","['0.9143', '0.5780', '0.5982']","[[99, 1139, 1549], [428, 1694, 708], [53, 1212, 1519]]",2,0
3,"['0.6666', '0.6527', '0.3969']","['0.4545', '0.4484', '0.3456']","['0.0251', '0.1350', '0.9181']","['0.0476', '0.2075', '0.5022']","['0.0251', '0.1350', '0.9181']","['0.9850', '0.9156', '0.1385']","[[70, 254, 2463], [72, 382, 2376], [12, 216, 2556]]",0,1
4,"['0.3822', '0.6368', '0.6685']","['0.3254', '0.4273', '0.0000']","['0.8034', '0.2293', '0.0000']","['0.4632', '0.2985', '0.0000']","['0.8034', '0.2293', '0.0000']","['0.1731', '0.8438', '0.9998']","[[2239, 547, 1], [2181, 649, 0], [2461, 323, 0]]",2,2
5,"['0.6102', '0.8664', '0.7035']","['0.4402', '0.7832', '0.6124']","['0.6448', '0.8346', '0.2866']","['0.5232', '0.8081', '0.3905']","['0.6448', '0.8346', '0.2866']","['0.5930', '0.8826', '0.9101']","[[1797, 549, 441], [404, 2362, 64], [1881, 105, 798]]",1,0
6,"['0.6737', '0.7096', '0.8539']","['0.5325', '0.5386', '0.7946']","['0.1353', '0.9611', '0.7543']","['0.2157', '0.6904', '0.7739']","['0.1353', '0.9611', '0.7543']","['0.9410', '0.5818', '0.9033']","[[377, 1919, 491], [58, 2720, 52], [273, 411, 2100]]",1,2
7,"['0.5608', '0.7332', '0.7459']","['0.3360', '0.7052', '0.5770']","['0.3319', '0.3576', '0.8732']","['0.3339', '0.4746', '0.6949']","['0.3319', '0.3576', '0.8732']","['0.6744', '0.9241', '0.6827']","[[925, 276, 1586], [1622, 1012, 196], [206, 147, 2431]]",2,2
8,"['0.5230', '0.7712', '0.6773']","['0.3915', '0.6708', '0.7967']","['0.7894', '0.6300', '0.0352']","['0.5234', '0.6498', '0.0674']","['0.7894', '0.6300', '0.0352']","['0.3908', '0.8429', '0.9955']","[[2200, 563, 24], [1046, 1783, 1], [2374, 312, 98]]",1,2
9,"['0.7463', '0.8580', '0.8633']","['0.6031', '0.8598', '0.7777']","['0.6882', '0.6912', '0.8229']","['0.6429', '0.7663', '0.7997']","['0.6882', '0.6912', '0.8229']","['0.7752', '0.9427', '0.8834']","[[1918, 276, 593], [812, 1956, 62], [450, 43, 2291]]",2,0
10,"['0.6268', '0.8741', '0.7175']","['0.4543', '0.7648', '0.6645']","['0.6204', '0.9042', '0.2981']","['0.5245', '0.8287', '0.4116']","['0.6204', '0.9042', '0.2981']","['0.6300', '0.8587', '0.9254']","[[1729, 684, 374], [226, 2559, 45], [1851, 103, 830]]",2,2
11,"['0.7605', '0.8710', '0.8572']","['0.7069', '0.7535', '0.7568']","['0.4751', '0.9170', '0.8384']","['0.5682', '0.8272', '0.7955']","['0.4751', '0.9170', '0.8384']","['0.9022', '0.8476', '0.8665']","[[1324, 773, 690], [175, 2595, 60], [374, 76, 2334]]",0,2
12,"['0.6554', '0.6709', '0.7957']","['0.4495', '0.5059', '0.7862']","['0.1726', '0.9770', '0.5269']","['0.2494', '0.6667', '0.6310']","['0.1726', '0.9770', '0.5269']","['0.8951', '0.5153', '0.9290']","[[481, 1949, 357], [23, 2765, 42], [566, 751, 1467]]",1,0
13,"['0.6821', '0.8476', '0.7723']","['0.5538', '0.7228', '0.6133']","['0.2142', '0.8883', '0.8470']","['0.3089', '0.7971', '0.7114']","['0.2142', '0.8883', '0.8470']","['0.9143', '0.8270', '0.7353']","[[597, 789, 1401], [230, 2514, 86], [251, 175, 2358]]",0,0
14,"['0.7392', '0.8618', '0.8445']","['0.6096', '0.8405', '0.7288']","['0.5949', '0.7279', '0.8455']","['0.6021', '0.7802', '0.7828']","['0.5949', '0.7279', '0.8455']","['0.8108', '0.9298', '0.8440']","[[1658, 304, 825], [719, 2060, 51], [343, 87, 2354]]",1,0
15,"['0.6686', '0.8012', '0.7929']","['0.5138', '0.6339', '0.6318']","['0.0201', '0.9703', '0.8987']","['0.0387', '0.7668', '0.7420']","['0.0201', '0.9703', '0.8987']","['0.9906', '0.7153', '0.7404']","[[56, 1354, 1377], [3, 2746, 81], [50, 232, 2502]]",1,2
16,"['0.6784', '0.9035', '0.7123']","['0.7249', '0.8224', '0.5361']","['0.0492', '0.9099', '0.9784']","['0.0921', '0.8639', '0.6927']","['0.0492', '0.9099', '0.9784']","['0.9907', '0.9002', '0.5804']","[[137, 510, 2140], [38, 2575, 217], [14, 46, 2724]]",2,0
17,"['0.5908', '0.8017', '0.6362']","['0.3892', '0.6678', '0.4319']","['0.4101', '0.8184', '0.3096']","['0.3994', '0.7355', '0.3607']","['0.4101', '0.8184', '0.3096']","['0.6804', '0.7932', '0.7981']","[[1143, 780, 864], [244, 2316, 270], [1550, 372, 862]]",0,0
18,"['0.7436', '0.8480', '0.8608']","['0.6396', '0.7317', '0.7902']","['0.5203', '0.8664', '0.7899']","['0.5738', '0.7934', '0.7900']","['0.5203', '0.8664', '0.7899']","['0.8545', '0.8386', '0.8960']","[[1450, 800, 537], [331, 2452, 47], [486, 99, 2199]]",2,1
19,"['0.6841', '0.7622', '0.8607']","['0.6272', '0.5904', '0.7463']","['0.1177', '0.9601', '0.8782']","['0.1982', '0.7312', '0.8069']","['0.1177', '0.9601', '0.8782']","['0.9653', '0.6616', '0.8521']","[[328, 1703, 756], [38, 2717, 75], [157, 182, 2445]]",2,0
20,"['0.7280', '0.8252', '0.8544']","['0.6568', '0.6756', '0.7681']","['0.3728', '0.9334', '0.7997']","['0.4757', '0.7838', '0.7836']","['0.3728', '0.9334', '0.7997']","['0.9036', '0.7697', '0.8813']","[[2073, 2262, 1225], [268, 5323, 112], [815, 294, 4428]]",1,2
