cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations,training_loss
0,"['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.8067', '0.0000', '0.3150']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0966', '0.0000', '0.1907']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.8067', '0.0000', '0.3150']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1726', '0.0000', '0.2376']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.8067', '0.0000', '0.3150']","['1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.1620', '1.0000', '0.8515']","[[0, 0, 0, 0, 0, 0, 0, 545, 0, 55], [0, 0, 0, 0, 0, 0, 0, 481, 0, 119], [0, 0, 0, 0, 0, 0, 0, 522, 0, 78], [0, 0, 0, 0, 0, 0, 0, 503, 0, 97], [0, 0, 0, 0, 0, 0, 0, 509, 0, 91], [0, 0, 0, 0, 0, 0, 0, 544, 0, 56], [0, 0, 0, 0, 0, 0, 0, 488, 0, 112], [0, 0, 0, 0, 0, 0, 0, 484, 0, 116], [0, 0, 0, 0, 0, 0, 0, 522, 0, 78], [0, 0, 0, 0, 0, 0, 0, 411, 0, 189]]",-1,-1,-1,-1,2.3005285263061523
1,"['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.6117', '0.0000', '0.6317']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1009', '0.0000', '0.1605']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.6117', '0.0000', '0.6317']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1732', '0.0000', '0.2560']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.6117', '0.0000', '0.6317']","['1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.3941', '1.0000', '0.6330']","[[0, 0, 0, 0, 0, 0, 0, 395, 0, 205], [0, 0, 0, 0, 0, 0, 0, 312, 0, 288], [0, 0, 0, 0, 0, 0, 0, 402, 0, 198], [0, 0, 0, 0, 0, 0, 0, 401, 0, 199], [0, 0, 0, 0, 0, 0, 0, 389, 0, 211], [0, 0, 0, 0, 0, 0, 0, 448, 0, 152], [0, 0, 0, 0, 0, 0, 0, 351, 0, 249], [0, 0, 0, 0, 0, 0, 0, 367, 0, 233], [0, 0, 0, 0, 0, 0, 0, 353, 0, 247], [0, 0, 0, 0, 0, 0, 0, 221, 0, 379]]","[9, 8, 3, 5, 8, 8, 9, 0, 0, 0, 9, 3, 7, 9, 9, 4]","[9, 8, 3, 5, 8, 8, 9, 0, 0, 0, 9, 3, 7, 9, 9, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.299588680267334
2,"['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.4283', '0.0000', '0.8450']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1127', '0.0000', '0.1363']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.4283', '0.0000', '0.8450']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1784', '0.0000', '0.2348']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.4283', '0.0000', '0.8450']","['1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.6252', '1.0000', '0.4052']","[[0, 0, 0, 0, 0, 0, 0, 225, 0, 375], [0, 0, 0, 0, 0, 0, 0, 168, 0, 432], [0, 0, 0, 0, 0, 0, 0, 258, 0, 342], [0, 0, 0, 0, 0, 0, 0, 282, 0, 318], [0, 0, 0, 0, 0, 0, 0, 267, 0, 333], [0, 0, 0, 0, 0, 0, 0, 320, 0, 280], [0, 0, 0, 0, 0, 0, 0, 227, 0, 373], [0, 0, 0, 0, 0, 0, 0, 257, 0, 343], [0, 0, 0, 0, 0, 0, 0, 184, 0, 416], [0, 0, 0, 0, 0, 0, 0, 93, 0, 507]]","[3, 3, 0, 2, 5, 9, 4, 4, 8, 8, 8, 7, 3, 0, 1, 7]","[3, 3, 0, 2, 5, 9, 4, 4, 8, 8, 8, 7, 3, 0, 1, 7]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2997264862060547
3,"['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.3217', '0.0000', '0.9100']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1240', '0.0000', '0.1229']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.3217', '0.0000', '0.9100']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1790', '0.0000', '0.2165']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.3217', '0.0000', '0.9100']","['1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.7474', '1.0000', '0.2783']","[[0, 0, 0, 0, 0, 0, 0, 110, 0, 490], [0, 0, 0, 0, 0, 0, 0, 105, 0, 495], [0, 0, 0, 0, 0, 0, 0, 153, 0, 447], [0, 0, 0, 0, 0, 0, 0, 217, 0, 383], [0, 0, 0, 0, 0, 0, 0, 218, 0, 382], [0, 0, 0, 0, 0, 0, 0, 240, 0, 360], [0, 0, 0, 0, 0, 0, 0, 171, 0, 429], [0, 0, 0, 0, 0, 0, 0, 193, 0, 407], [0, 0, 0, 0, 0, 0, 0, 96, 0, 504], [0, 0, 0, 0, 0, 0, 0, 54, 0, 546]]","[5, 5, 6, 2, 3, 3, 3, 9, 3, 6, 6, 1, 4, 3, 4, 5]","[5, 5, 6, 2, 3, 3, 3, 9, 3, 6, 6, 1, 4, 3, 4, 5]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.296684741973877
4,"['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.3100', '0.0000', '0.9167']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1220', '0.0000', '0.1229']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.3100', '0.0000', '0.9167']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1751', '0.0000', '0.2167']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.3100', '0.0000', '0.9167']","['1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.7522', '1.0000', '0.2730']","[[0, 0, 0, 0, 0, 0, 0, 100, 0, 500], [0, 0, 0, 0, 0, 0, 0, 104, 0, 496], [0, 0, 0, 0, 0, 0, 0, 151, 0, 449], [0, 0, 0, 0, 0, 0, 0, 223, 0, 377], [0, 0, 0, 0, 0, 0, 0, 214, 0, 386], [0, 0, 0, 0, 0, 0, 0, 231, 0, 369], [0, 0, 0, 0, 0, 0, 0, 174, 0, 426], [0, 0, 0, 0, 0, 0, 0, 186, 0, 414], [0, 0, 0, 0, 0, 0, 0, 91, 0, 509], [0, 0, 0, 0, 0, 0, 0, 50, 0, 550]]","[6, 3, 6, 5, 4, 6, 3, 5, 5, 7, 3, 3, 6, 6, 5, 6]","[6, 3, 6, 5, 4, 6, 3, 5, 5, 7, 3, 3, 6, 6, 5, 6]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.293459177017212
5,"['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.3867', '0.0000', '0.8950']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1237', '0.0000', '0.1302']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.3867', '0.0000', '0.8950']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1875', '0.0000', '0.2273']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.3867', '0.0000', '0.8950']","['1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.6957', '1.0000', '0.3356']","[[0, 0, 0, 0, 0, 0, 0, 102, 0, 498], [0, 0, 0, 0, 0, 0, 0, 130, 0, 470], [0, 0, 0, 0, 0, 0, 0, 194, 0, 406], [0, 0, 0, 0, 0, 0, 0, 273, 0, 327], [0, 0, 0, 0, 0, 0, 0, 277, 0, 323], [0, 0, 0, 0, 0, 0, 0, 269, 0, 331], [0, 0, 0, 0, 0, 0, 0, 229, 0, 371], [0, 0, 0, 0, 0, 0, 0, 232, 0, 368], [0, 0, 0, 0, 0, 0, 0, 106, 0, 494], [0, 0, 0, 0, 0, 0, 0, 63, 0, 537]]","[3, 7, 3, 3, 5, 6, 6, 6, 3, 6, 5, 3, 5, 6, 6, 3]","[3, 7, 3, 3, 5, 6, 6, 6, 3, 6, 5, 3, 5, 6, 6, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2903008460998535
6,"['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0133', '0.0000', '0.4333', '0.0000', '0.8567']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.2759', '0.0000', '0.1158', '0.0000', '0.1380']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0133', '0.0000', '0.4333', '0.0000', '0.8567']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0254', '0.0000', '0.1828', '0.0000', '0.2377']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0133', '0.0000', '0.4333', '0.0000', '0.8567']","['1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.9961', '0.9996', '0.6324', '1.0000', '0.4056']","[[0, 0, 0, 0, 0, 1, 0, 118, 0, 481], [0, 0, 0, 0, 0, 1, 0, 167, 0, 432], [0, 0, 0, 0, 0, 5, 0, 250, 0, 345], [0, 0, 0, 0, 0, 9, 0, 315, 0, 276], [0, 0, 0, 0, 0, 2, 1, 311, 0, 286], [0, 0, 0, 0, 0, 8, 0, 320, 0, 272], [0, 0, 0, 0, 0, 1, 0, 289, 0, 310], [0, 0, 0, 0, 0, 2, 1, 260, 0, 337], [0, 0, 0, 0, 0, 0, 0, 129, 0, 471], [0, 0, 0, 0, 0, 0, 0, 86, 0, 514]]","[5, 3, 6, 6, 3, 5, 6, 2, 8, 5, 1, 6, 3, 5, 3, 6]","[5, 3, 6, 6, 3, 5, 6, 2, 8, 5, 1, 6, 3, 5, 3, 6]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2801353931427
7,"['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1450', '0.1050', '0.4317', '0.0000', '0.8283']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.2186', '0.2751', '0.1347', '0.0000', '0.1441']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1450', '0.1050', '0.4317', '0.0000', '0.8283']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1743', '0.1520', '0.2053', '0.0000', '0.2454']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1450', '0.1050', '0.4317', '0.0000', '0.8283']","['1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.9424', '0.9693', '0.6919', '1.0000', '0.4531']","[[0, 0, 0, 0, 0, 13, 2, 117, 0, 468], [0, 0, 0, 0, 0, 33, 10, 145, 0, 412], [0, 0, 0, 0, 0, 22, 22, 240, 0, 316], [0, 0, 0, 0, 0, 83, 36, 237, 0, 244], [0, 0, 0, 0, 0, 29, 49, 275, 0, 247], [0, 0, 0, 0, 0, 87, 18, 237, 0, 258], [0, 0, 0, 0, 0, 48, 63, 240, 0, 249], [0, 0, 0, 0, 0, 21, 19, 259, 0, 301], [0, 0, 0, 0, 0, 43, 5, 94, 0, 458], [0, 0, 0, 0, 0, 19, 5, 79, 0, 497]]","[6, 5, 5, 6, 5, 8, 3, 2, 3, 3, 3, 1, 7, 2, 5, 4]","[6, 5, 5, 6, 5, 8, 3, 2, 3, 3, 3, 1, 7, 2, 5, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2790298461914062
8,"['0.0000', '0.0000', '0.0000', '0.0017', '0.0000', '0.2983', '0.3333', '0.2333', '0.0000', '0.8150']","['0.0000', '0.0000', '0.0000', '0.5000', '0.0000', '0.1762', '0.2328', '0.1761', '0.0000', '0.1469']","['0.0000', '0.0000', '0.0000', '0.0017', '0.0000', '0.2983', '0.3333', '0.2333', '0.0000', '0.8150']","['0.0000', '0.0000', '0.0000', '0.0033', '0.0000', '0.2215', '0.2742', '0.2007', '0.0000', '0.2490']","['0.0000', '0.0000', '0.0000', '0.0017', '0.0000', '0.2983', '0.3333', '0.2333', '0.0000', '0.8150']","['1.0000', '1.0000', '1.0000', '0.9998', '1.0000', '0.8450', '0.8780', '0.8787', '1.0000', '0.4743']","[[0, 0, 0, 0, 0, 62, 14, 56, 0, 468], [0, 0, 0, 0, 0, 109, 64, 39, 0, 388], [0, 0, 0, 0, 0, 81, 96, 122, 0, 301], [0, 0, 0, 1, 0, 155, 125, 88, 0, 231], [0, 0, 0, 0, 0, 98, 158, 118, 0, 226], [0, 0, 0, 0, 0, 179, 72, 101, 0, 248], [0, 0, 0, 0, 0, 110, 200, 70, 0, 220], [0, 0, 0, 0, 0, 79, 80, 140, 0, 301], [0, 0, 0, 0, 0, 96, 18, 30, 0, 456], [0, 0, 0, 1, 0, 47, 32, 31, 0, 489]]","[5, 2, 3, 4, 0, 6, 4, 6, 9, 1, 6, 5, 3, 2, 5, 1]","[5, 2, 3, 4, 0, 6, 4, 6, 9, 1, 6, 5, 3, 2, 5, 1]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2702486515045166
9,"['0.0000', '0.0000', '0.0000', '0.1117', '0.0000', '0.2367', '0.5283', '0.0667', '0.0000', '0.7450']","['0.0000', '0.0000', '0.0000', '0.1909', '0.0000', '0.1587', '0.1926', '0.2235', '0.0000', '0.1526']","['0.0000', '0.0000', '0.0000', '0.1117', '0.0000', '0.2367', '0.5283', '0.0667', '0.0000', '0.7450']","['0.0000', '0.0000', '0.0000', '0.1409', '0.0000', '0.1900', '0.2823', '0.1027', '0.0000', '0.2533']","['0.0000', '0.0000', '0.0000', '0.1117', '0.0000', '0.2367', '0.5283', '0.0667', '0.0000', '0.7450']","['1.0000', '1.0000', '1.0000', '0.9474', '1.0000', '0.8606', '0.7539', '0.9743', '1.0000', '0.5404']","[[0, 0, 0, 22, 0, 65, 52, 13, 0, 448], [0, 0, 0, 21, 0, 106, 141, 4, 0, 328], [0, 0, 0, 26, 0, 73, 185, 34, 0, 282], [0, 0, 0, 67, 0, 124, 216, 19, 0, 174], [0, 0, 0, 25, 0, 82, 273, 23, 0, 197], [0, 0, 0, 75, 0, 142, 162, 22, 0, 199], [0, 0, 0, 25, 0, 86, 317, 13, 0, 159], [0, 0, 0, 37, 0, 85, 173, 40, 0, 265], [0, 0, 0, 33, 0, 92, 41, 4, 0, 430], [0, 0, 0, 20, 0, 40, 86, 7, 0, 447]]","[2, 8, 2, 3, 3, 2, 2, 5, 2, 3, 6, 6, 6, 6, 4, 6]","[2, 8, 2, 3, 3, 2, 2, 5, 2, 3, 6, 6, 6, 6, 4, 6]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2510221004486084
