cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations,training_loss
0,"['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1111']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.2000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000']","['1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.0000']","[[0, 0, 0, 0, 0, 0, 0, 0, 560], [0, 0, 0, 0, 0, 0, 0, 0, 560], [0, 0, 0, 0, 0, 0, 0, 0, 560], [0, 0, 0, 0, 0, 0, 0, 0, 560], [0, 0, 0, 0, 0, 0, 0, 0, 560], [0, 0, 0, 0, 0, 0, 0, 0, 560], [0, 0, 0, 0, 0, 0, 0, 0, 560], [0, 0, 0, 0, 0, 0, 0, 0, 560], [0, 0, 0, 0, 0, 0, 0, 0, 560]]",-1,-1,-1,-1,2.3040084838867188
1,"['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1111']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.2000']","['0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000']","['1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.0000']","[[0, 0, 0, 0, 0, 0, 0, 0, 560], [0, 0, 0, 0, 0, 0, 0, 0, 560], [0, 0, 0, 0, 0, 0, 0, 0, 560], [0, 0, 0, 0, 0, 0, 0, 0, 560], [0, 0, 0, 0, 0, 0, 0, 0, 560], [0, 0, 0, 0, 0, 0, 0, 0, 560], [0, 0, 0, 0, 0, 0, 0, 0, 560], [0, 0, 0, 0, 0, 0, 0, 0, 560], [0, 0, 0, 0, 0, 0, 0, 0, 560]]","[2, 2, 1, 2, 2, 4, 2, 2, 3, 3, 1, 2, 2, 4, 2, 2]","[2, 2, 1, 2, 2, 4, 2, 2, 3, 3, 1, 2, 2, 4, 2, 2]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2955806255340576
2,"['0.0000', '0.0393', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000']","['0.0000', '0.3929', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1124']","['0.0000', '0.0393', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000']","['0.0000', '0.0714', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.2020']","['0.0000', '0.0393', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000']","['1.0000', '0.9924', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.0125']","[[0, 6, 0, 0, 0, 0, 0, 0, 554], [0, 22, 0, 0, 0, 0, 0, 0, 538], [0, 1, 0, 0, 0, 0, 0, 0, 559], [0, 4, 0, 0, 0, 0, 0, 0, 556], [0, 9, 0, 0, 0, 0, 0, 0, 551], [0, 0, 0, 0, 0, 0, 0, 0, 560], [0, 14, 0, 0, 0, 0, 0, 0, 546], [0, 0, 0, 0, 0, 0, 0, 0, 560], [0, 0, 0, 0, 0, 0, 0, 0, 560]]","[7, 1, 2, 2, 2, 2, 7, 2, 2, 1, 3, 1, 2, 2, 1, 2]","[7, 1, 2, 2, 2, 2, 7, 2, 2, 1, 3, 1, 2, 2, 1, 2]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.278637409210205
3,"['0.0000', '0.4339', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000']","['0.0000', '0.1930', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.1481']","['0.0000', '0.4339', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000']","['0.0000', '0.2672', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.2580']","['0.0000', '0.4339', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '1.0000']","['1.0000', '0.7732', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.2810']","[[0, 162, 0, 0, 0, 0, 0, 0, 398], [0, 243, 0, 0, 0, 0, 0, 0, 317], [0, 197, 0, 0, 0, 0, 0, 0, 363], [0, 149, 0, 0, 0, 0, 0, 0, 411], [0, 281, 0, 0, 0, 0, 0, 0, 279], [0, 5, 0, 0, 0, 0, 0, 0, 555], [0, 131, 0, 0, 0, 0, 0, 0, 429], [0, 91, 0, 0, 0, 0, 0, 0, 469], [0, 0, 0, 0, 0, 0, 0, 0, 560]]","[2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 5, 7, 2, 1, 1, 7]","[2, 1, 1, 1, 1, 1, 1, 1, 2, 1, 5, 7, 2, 1, 1, 7]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2677860260009766
4,"['0.0000', '0.8750', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.9732']","['0.0000', '0.1377', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.3680']","['0.0000', '0.8750', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.9732']","['0.0000', '0.2379', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.5341']","['0.0000', '0.8750', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.9732']","['1.0000', '0.3150', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.7911']","[[0, 501, 0, 0, 0, 0, 0, 0, 59], [0, 490, 0, 0, 0, 0, 0, 0, 70], [0, 534, 0, 0, 0, 0, 0, 0, 26], [0, 466, 0, 0, 0, 0, 0, 0, 94], [0, 533, 0, 0, 0, 0, 0, 0, 27], [0, 208, 0, 0, 0, 0, 0, 0, 352], [0, 402, 0, 0, 0, 0, 0, 0, 158], [0, 410, 0, 0, 0, 0, 0, 0, 150], [0, 15, 0, 0, 0, 0, 0, 0, 545]]","[1, 7, 2, 8, 1, 7, 4, 5, 8, 5, 2, 5, 4, 7, 7, 5]","[1, 7, 2, 8, 1, 7, 4, 5, 8, 5, 2, 5, 4, 7, 7, 5]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2542943954467773
5,"['0.0000', '0.9982', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.7143']","['0.0000', '0.1233', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.7905']","['0.0000', '0.9982', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.7143']","['0.0000', '0.2195', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.7505']","['0.0000', '0.9982', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.7143']","['1.0000', '0.1127', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.9763']","[[0, 559, 0, 0, 0, 0, 0, 0, 1], [0, 559, 0, 0, 0, 0, 0, 0, 1], [0, 559, 0, 0, 0, 0, 0, 0, 1], [0, 557, 0, 0, 0, 0, 0, 0, 3], [0, 560, 0, 0, 0, 0, 0, 0, 0], [0, 498, 0, 0, 0, 0, 0, 0, 62], [0, 534, 0, 0, 0, 0, 0, 0, 26], [0, 548, 0, 0, 0, 0, 0, 0, 12], [0, 160, 0, 0, 0, 0, 0, 0, 400]]","[1, 5, 7, 4, 1, 7, 7, 7, 7, 1, 5, 7, 5, 4, 1, 5]","[1, 5, 7, 4, 1, 7, 7, 7, 7, 1, 5, 7, 5, 4, 1, 5]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.249929904937744
6,"['0.0000', '1.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.4107']","['0.0000', '0.1165', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.9871']","['0.0000', '1.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.4107']","['0.0000', '0.2087', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.5801']","['0.0000', '1.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.4107']","['1.0000', '0.0520', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.9993']","[[0, 560, 0, 0, 0, 0, 0, 0, 0], [0, 560, 0, 0, 0, 0, 0, 0, 0], [0, 560, 0, 0, 0, 0, 0, 0, 0], [0, 560, 0, 0, 0, 0, 0, 0, 0], [0, 560, 0, 0, 0, 0, 0, 0, 0], [0, 558, 0, 0, 0, 0, 0, 0, 2], [0, 559, 0, 0, 0, 0, 0, 0, 1], [0, 560, 0, 0, 0, 0, 0, 0, 0], [0, 330, 0, 0, 0, 0, 0, 0, 230]]","[5, 5, 7, 1, 7, 5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 1]","[5, 5, 7, 1, 7, 5, 5, 5, 1, 1, 5, 5, 5, 5, 5, 1]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.2214174270629883
7,"['0.0000', '1.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.3214']","['0.0000', '0.1153', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.9945']","['0.0000', '1.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.3214']","['0.0000', '0.2067', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.4858']","['0.0000', '1.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.3214']","['1.0000', '0.0404', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.9998']","[[0, 560, 0, 0, 0, 0, 0, 0, 0], [0, 560, 0, 0, 0, 0, 0, 0, 0], [0, 560, 0, 0, 0, 0, 0, 0, 0], [0, 560, 0, 0, 0, 0, 0, 0, 0], [0, 560, 0, 0, 0, 0, 0, 0, 0], [0, 560, 0, 0, 0, 0, 0, 0, 0], [0, 559, 0, 0, 0, 0, 0, 0, 1], [0, 560, 0, 0, 0, 0, 0, 0, 0], [0, 380, 0, 0, 0, 0, 0, 0, 180]]","[1, 1, 7, 5, 5, 1, 4, 5, 5, 7, 1, 5, 7, 5, 1, 3]","[1, 1, 7, 5, 5, 1, 4, 5, 5, 7, 1, 5, 7, 5, 1, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.1945619583129883
8,"['0.2268', '0.9929', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.3643']","['0.6318', '0.1200', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.9903']","['0.2268', '0.9929', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.3643']","['0.3338', '0.2141', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.5326']","['0.2268', '0.9929', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.0000', '0.3643']","['0.9835', '0.0900', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '1.0000', '0.9996']","[[127, 433, 0, 0, 0, 0, 0, 0, 0], [4, 556, 0, 0, 0, 0, 0, 0, 0], [0, 560, 0, 0, 0, 0, 0, 0, 0], [3, 557, 0, 0, 0, 0, 0, 0, 0], [7, 553, 0, 0, 0, 0, 0, 0, 0], [26, 534, 0, 0, 0, 0, 0, 0, 0], [20, 538, 0, 0, 0, 0, 0, 0, 2], [13, 547, 0, 0, 0, 0, 0, 0, 0], [1, 355, 0, 0, 0, 0, 0, 0, 204]]","[1, 7, 1, 1, 1, 5, 7, 6, 1, 4, 5, 1, 1, 1, 3, 1]","[1, 7, 1, 1, 1, 5, 7, 6, 1, 4, 5, 1, 1, 1, 3, 1]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.1558034420013428
9,"['0.7625', '0.8929', '0.0000', '0.0000', '0.1571', '0.0000', '0.0089', '0.0000', '0.4304']","['0.2709', '0.1646', '0.0000', '0.0000', '0.5116', '0.0000', '0.6250', '0.0000', '0.9797']","['0.7625', '0.8929', '0.0000', '0.0000', '0.1571', '0.0000', '0.0089', '0.0000', '0.4304']","['0.3998', '0.2779', '0.0000', '0.0000', '0.2404', '0.0000', '0.0176', '0.0000', '0.5980']","['0.7625', '0.8929', '0.0000', '0.0000', '0.1571', '0.0000', '0.0089', '0.0000', '0.4304']","['0.7435', '0.4335', '1.0000', '1.0000', '0.9812', '1.0000', '0.9993', '1.0000', '0.9989']","[[427, 120, 0, 0, 11, 0, 2, 0, 0], [60, 500, 0, 0, 0, 0, 0, 0, 0], [27, 480, 0, 0, 53, 0, 0, 0, 0], [72, 488, 0, 0, 0, 0, 0, 0, 0], [87, 385, 0, 0, 88, 0, 0, 0, 0], [359, 186, 0, 0, 14, 0, 1, 0, 0], [153, 391, 0, 0, 6, 0, 5, 0, 5], [272, 288, 0, 0, 0, 0, 0, 0, 0], [119, 200, 0, 0, 0, 0, 0, 0, 241]]","[3, 5, 5, 7, 5, 7, 6, 6, 6, 7, 3, 3, 5, 7, 5, 1]","[3, 5, 5, 7, 5, 7, 6, 6, 6, 7, 3, 3, 5, 7, 5, 1]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,2.148560047149658
