cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations,training_loss
0,"['0.9449', '0.9670', '0.8426', '0.2199', '0.2786', '0.0000', '0.2067', '0.5885', '0.0000', '0.0403']","['0.3415', '0.5285', '0.3283', '0.8351', '0.5956', '0.0000', '0.4982', '0.4222', '0.0000', '0.6222']","['0.9449', '0.9670', '0.8426', '0.2199', '0.2786', '0.0000', '0.2067', '0.5885', '0.0000', '0.0403']","['0.5017', '0.6834', '0.4725', '0.3481', '0.3796', '0.0000', '0.2922', '0.4917', '0.0000', '0.0757']","['0.9449', '0.9670', '0.8426', '0.2199', '0.2786', '0.0000', '0.2067', '0.5885', '0.0000', '0.0403']","['0.8007', '0.8906', '0.8086', '0.9951', '0.9796', '1.0000', '0.9773', '0.9063', '1.0000', '0.9973']","[[652, 3, 12, 2, 5, 0, 16, 0, 0, 0], [0, 761, 10, 1, 0, 0, 1, 13, 0, 1], [45, 57, 589, 0, 2, 0, 4, 2, 0, 0], [89, 91, 334, 157, 1, 0, 34, 8, 0, 0], [153, 74, 34, 0, 190, 0, 16, 206, 0, 9], [338, 111, 34, 22, 2, 0, 51, 72, 0, 1], [350, 47, 148, 0, 0, 0, 142, 0, 0, 0], [78, 145, 59, 1, 15, 0, 1, 429, 0, 1], [26, 96, 518, 1, 0, 0, 12, 24, 0, 5], [178, 55, 56, 4, 104, 0, 8, 262, 0, 28]]",-1,-1,-1,-1,1.9544644355773926
1,"['0.7739', '0.9403', '0.7325', '0.7157', '0.3959', '0.4913', '0.7394', '0.7901', '0.1158', '0.5151']","['0.7994', '0.6261', '0.5273', '0.5646', '0.6888', '0.5391', '0.7925', '0.6057', '0.8977', '0.5746']","['0.7739', '0.9403', '0.7325', '0.7157', '0.3959', '0.4913', '0.7394', '0.7901', '0.1158', '0.5151']","['0.7865', '0.7517', '0.6132', '0.6313', '0.5028', '0.5141', '0.7651', '0.6857', '0.2052', '0.5432']","['0.7739', '0.9403', '0.7325', '0.7157', '0.3959', '0.4913', '0.7394', '0.7901', '0.1158', '0.5151']","['0.9788', '0.9288', '0.9271', '0.9373', '0.9807', '0.9584', '0.9789', '0.9402', '0.9986', '0.9579']","[[534, 4, 2, 49, 4, 60, 32, 3, 0, 2], [0, 740, 1, 9, 1, 26, 4, 1, 0, 5], [6, 83, 512, 38, 26, 14, 13, 5, 0, 2], [2, 46, 53, 511, 0, 87, 4, 3, 8, 0], [14, 36, 7, 0, 270, 4, 28, 125, 1, 197], [60, 43, 1, 154, 3, 310, 36, 8, 0, 16], [12, 28, 85, 30, 6, 8, 508, 4, 0, 6], [12, 63, 37, 5, 8, 6, 1, 576, 0, 21], [4, 123, 261, 101, 1, 49, 8, 40, 79, 16], [24, 16, 12, 8, 73, 11, 7, 186, 0, 358]]","[5, 4, 5, 3, 5, 1, 5, 5, 3, 5, 2, 5, 5, 5, 8, 5]","[5, 4, 5, 3, 5, 1, 5, 5, 3, 5, 2, 5, 5, 5, 8, 5]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,1.367599606513977
2,"['0.9217', '0.9771', '0.8011', '0.7983', '0.8050', '0.6719', '0.9214', '0.7188', '0.4751', '0.3827']","['0.9060', '0.8207', '0.6763', '0.6636', '0.5828', '0.6698', '0.8566', '0.9003', '0.8504', '0.6768']","['0.9217', '0.9771', '0.8011', '0.7983', '0.8050', '0.6719', '0.9214', '0.7188', '0.4751', '0.3827']","['0.9138', '0.8921', '0.7335', '0.7247', '0.6761', '0.6709', '0.8878', '0.7994', '0.6096', '0.4890']","['0.9217', '0.9771', '0.8011', '0.7983', '0.8050', '0.6719', '0.9214', '0.7188', '0.4751', '0.3827']","['0.9895', '0.9729', '0.9574', '0.9540', '0.9378', '0.9672', '0.9832', '0.9907', '0.9910', '0.9798']","[[636, 2, 2, 12, 0, 19, 16, 0, 3, 0], [0, 769, 2, 4, 1, 5, 0, 2, 0, 4], [6, 23, 560, 32, 36, 5, 20, 3, 14, 0], [1, 20, 32, 570, 2, 61, 3, 1, 23, 1], [6, 15, 2, 0, 549, 4, 21, 7, 5, 73], [19, 5, 1, 135, 5, 424, 31, 1, 7, 3], [3, 11, 16, 10, 2, 11, 633, 0, 1, 0], [5, 53, 63, 8, 30, 3, 1, 524, 4, 38], [7, 28, 134, 77, 6, 82, 10, 6, 324, 8], [19, 11, 16, 11, 311, 19, 4, 38, 0, 266]]","[3, 9, 7, 8, 1, 1, 5, 1, 4, 5, 1, 6, 1, 1, 1, 6]","[3, 9, 7, 8, 1, 1, 5, 1, 4, 5, 1, 6, 1, 1, 1, 6]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.8222149610519409
3,"['0.9391', '0.9809', '0.7396', '0.7871', '0.8328', '0.8288', '0.9185', '0.8025', '0.7009', '0.6633']","['0.9284', '0.8428', '0.8503', '0.7871', '0.6944', '0.7737', '0.8875', '0.9112', '0.8566', '0.7038']","['0.9391', '0.9809', '0.7396', '0.7871', '0.8328', '0.8288', '0.9185', '0.8025', '0.7009', '0.6633']","['0.9337', '0.9066', '0.7911', '0.7871', '0.7573', '0.8003', '0.9027', '0.8534', '0.7710', '0.6830']","['0.9391', '0.9809', '0.7396', '0.7871', '0.8328', '0.8288', '0.9185', '0.8025', '0.7009', '0.6633']","['0.9921', '0.9768', '0.9855', '0.9758', '0.9604', '0.9760', '0.9873', '0.9909', '0.9873', '0.9692']","[[648, 0, 1, 5, 1, 24, 8, 1, 2, 0], [0, 772, 2, 0, 6, 3, 0, 2, 0, 2], [8, 28, 517, 29, 51, 11, 21, 10, 23, 1], [0, 34, 26, 562, 4, 34, 4, 3, 43, 4], [5, 1, 0, 0, 568, 7, 6, 3, 3, 89], [12, 3, 0, 57, 1, 523, 28, 0, 0, 7], [7, 5, 3, 8, 4, 27, 631, 0, 2, 0], [6, 37, 18, 2, 14, 2, 0, 585, 3, 62], [3, 31, 36, 40, 4, 40, 12, 9, 478, 29], [9, 5, 5, 11, 165, 5, 1, 29, 4, 461]]","[1, 8, 9, 8, 5, 5, 7, 9, 8, 2, 4, 4, 4, 5, 7, 4]","[1, 8, 9, 8, 5, 5, 7, 9, 8, 2, 4, 4, 4, 5, 7, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.6060095429420471
4,"['0.9667', '0.9771', '0.8441', '0.9146', '0.8695', '0.7765', '0.9330', '0.8683', '0.7185', '0.7151']","['0.9474', '0.9287', '0.7794', '0.7523', '0.8364', '0.9176', '0.9210', '0.8189', '0.9007', '0.8525']","['0.9667', '0.9771', '0.8441', '0.9146', '0.8695', '0.7765', '0.9330', '0.8683', '0.7185', '0.7151']","['0.9570', '0.9523', '0.8104', '0.8255', '0.8526', '0.8412', '0.9270', '0.8429', '0.7993', '0.7778']","['0.9667', '0.9771', '0.8441', '0.9146', '0.8695', '0.7765', '0.9330', '0.8683', '0.7185', '0.7151']","['0.9941', '0.9905', '0.9735', '0.9658', '0.9816', '0.9931', '0.9913', '0.9777', '0.9914', '0.9864']","[[667, 0, 5, 5, 0, 6, 2, 2, 3, 0], [0, 769, 4, 3, 6, 0, 0, 4, 1, 0], [5, 8, 590, 30, 26, 2, 12, 8, 16, 2], [0, 8, 20, 653, 2, 3, 3, 3, 21, 1], [2, 2, 3, 0, 593, 2, 4, 18, 5, 53], [6, 3, 1, 101, 1, 490, 25, 2, 1, 1], [9, 7, 8, 2, 1, 17, 641, 0, 2, 0], [3, 10, 38, 4, 18, 0, 2, 633, 2, 19], [6, 17, 72, 51, 3, 12, 6, 15, 490, 10], [6, 4, 16, 19, 59, 2, 1, 88, 3, 497]]","[3, 5, 3, 1, 5, 3, 9, 0, 2, 8, 7, 5, 2, 2, 3, 8]","[3, 5, 3, 1, 5, 3, 9, 0, 2, 8, 7, 5, 2, 2, 3, 8]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.43022477626800537
5,"['0.9710', '0.9860', '0.7954', '0.8585', '0.8783', '0.8796', '0.9651', '0.8381', '0.7801', '0.8676']","['0.9397', '0.8584', '0.8399', '0.8936', '0.8545', '0.9296', '0.8911', '0.9230', '0.9017', '0.8182']","['0.9710', '0.9860', '0.7954', '0.8585', '0.8783', '0.8796', '0.9651', '0.8381', '0.7801', '0.8676']","['0.9551', '0.9178', '0.8170', '0.8757', '0.8662', '0.9039', '0.9266', '0.8785', '0.8365', '0.8422']","['0.9710', '0.9860', '0.7954', '0.8585', '0.8783', '0.8796', '0.9651', '0.8381', '0.7801', '0.8676']","['0.9932', '0.9794', '0.9832', '0.9884', '0.9838', '0.9934', '0.9872', '0.9919', '0.9908', '0.9787']","[[670, 1, 3, 0, 4, 4, 5, 1, 2, 0], [0, 776, 2, 0, 5, 0, 1, 1, 0, 2], [7, 29, 556, 15, 47, 1, 19, 4, 20, 1], [2, 18, 30, 613, 2, 18, 2, 3, 26, 0], [2, 3, 0, 0, 599, 0, 3, 14, 2, 59], [14, 3, 0, 16, 2, 555, 35, 2, 1, 3], [5, 6, 1, 0, 2, 9, 663, 0, 1, 0], [5, 31, 24, 0, 7, 1, 0, 611, 2, 48], [1, 31, 38, 28, 3, 8, 15, 5, 532, 21], [7, 6, 8, 14, 30, 1, 1, 21, 4, 603]]","[4, 5, 2, 1, 0, 1, 9, 9, 7, 3, 3, 8, 7, 8, 8, 4]","[4, 5, 2, 1, 0, 1, 9, 9, 7, 3, 3, 8, 7, 8, 8, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.4143325388431549
6,"['0.9435', '0.9886', '0.8369', '0.9482', '0.8856', '0.8510', '0.9316', '0.8971', '0.7713', '0.8691']","['0.9702', '0.8963', '0.8628', '0.7497', '0.9124', '0.9323', '0.9538', '0.8959', '0.9427', '0.8895']","['0.9435', '0.9886', '0.8369', '0.9482', '0.8856', '0.8510', '0.9316', '0.8971', '0.7713', '0.8691']","['0.9566', '0.9402', '0.8497', '0.8374', '0.8988', '0.8898', '0.9426', '0.8965', '0.8484', '0.8792']","['0.9435', '0.9886', '0.8369', '0.9482', '0.8856', '0.8510', '0.9316', '0.8971', '0.7713', '0.8691']","['0.9968', '0.9855', '0.9852', '0.9640', '0.9908', '0.9939', '0.9951', '0.9879', '0.9949', '0.9881']","[[651, 2, 4, 19, 0, 8, 2, 1, 3, 0], [0, 778, 2, 0, 3, 0, 1, 3, 0, 0], [0, 19, 585, 56, 16, 1, 5, 8, 9, 0], [0, 10, 14, 677, 1, 3, 0, 3, 5, 1], [3, 7, 2, 1, 604, 0, 2, 22, 5, 36], [3, 2, 1, 65, 1, 537, 15, 4, 1, 2], [5, 8, 9, 1, 2, 18, 640, 0, 4, 0], [4, 14, 21, 2, 10, 1, 0, 654, 2, 21], [1, 25, 33, 60, 2, 8, 5, 7, 526, 15], [4, 3, 7, 22, 23, 0, 1, 28, 3, 604]]","[7, 2, 9, 3, 3, 3, 9, 8, 7, 9, 3, 9, 3, 8, 3, 9]","[7, 2, 9, 3, 3, 3, 9, 8, 7, 9, 3, 9, 3, 8, 3, 9]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.447704017162323
7,"['0.9493', '0.9898', '0.7940', '0.9398', '0.9003', '0.8891', '0.9418', '0.8656', '0.7302', '0.8360']","['0.9548', '0.7990', '0.9281', '0.8203', '0.8797', '0.8976', '0.9557', '0.8875', '0.9504', '0.8494']","['0.9493', '0.9898', '0.7940', '0.9398', '0.9003', '0.8891', '0.9418', '0.8656', '0.7302', '0.8360']","['0.9520', '0.8842', '0.8558', '0.8760', '0.8899', '0.8933', '0.9487', '0.8764', '0.8259', '0.8426']","['0.9493', '0.9898', '0.7940', '0.9398', '0.9003', '0.8891', '0.9418', '0.8656', '0.7302', '0.8360']","['0.9951', '0.9684', '0.9932', '0.9766', '0.9867', '0.9899', '0.9952', '0.9872', '0.9959', '0.9837']","[[655, 4, 4, 6, 0, 12, 6, 1, 2, 0], [0, 779, 1, 2, 2, 0, 1, 2, 0, 0], [5, 48, 555, 42, 13, 5, 4, 18, 6, 3], [0, 14, 8, 671, 1, 6, 0, 4, 7, 3], [3, 15, 0, 0, 614, 0, 1, 21, 3, 25], [6, 6, 0, 42, 1, 561, 13, 1, 1, 0], [3, 9, 5, 0, 0, 22, 647, 0, 1, 0], [5, 21, 5, 7, 14, 2, 0, 631, 1, 43], [4, 71, 17, 30, 2, 13, 4, 14, 498, 29], [5, 8, 3, 18, 51, 4, 1, 19, 5, 581]]","[7, 7, 0, 7, 8, 0, 4, 0, 8, 4, 5, 9, 8, 9, 4, 8]","[7, 7, 0, 7, 8, 0, 4, 0, 8, 4, 5, 9, 8, 9, 4, 8]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.25009387731188326
8,"['0.9681', '0.9860', '0.8011', '0.8852', '0.8944', '0.9192', '0.9505', '0.7970', '0.8475', '0.9036']","['0.9291', '0.8788', '0.8805', '0.8952', '0.9187', '0.8542', '0.9095', '0.9478', '0.8824', '0.8686']","['0.9681', '0.9860', '0.8011', '0.8852', '0.8944', '0.9192', '0.9505', '0.7970', '0.8475', '0.9036']","['0.9482', '0.9293', '0.8390', '0.8901', '0.9064', '0.8855', '0.9295', '0.8659', '0.8646', '0.8858']","['0.9681', '0.9860', '0.8011', '0.8852', '0.8944', '0.9192', '0.9505', '0.7970', '0.8475', '0.9036']","['0.9919', '0.9828', '0.9879', '0.9882', '0.9914', '0.9844', '0.9897', '0.9949', '0.9878', '0.9849']","[[668, 1, 6, 2, 1, 3, 7, 0, 2, 0], [0, 776, 3, 0, 5, 0, 1, 1, 0, 1], [5, 22, 560, 36, 16, 14, 6, 5, 32, 3], [1, 17, 14, 632, 1, 32, 2, 4, 9, 2], [6, 12, 0, 0, 610, 0, 6, 6, 10, 32], [6, 3, 0, 9, 0, 580, 28, 2, 1, 2], [3, 3, 5, 0, 0, 18, 653, 0, 1, 4], [10, 19, 36, 8, 15, 2, 0, 581, 14, 44], [9, 24, 12, 14, 1, 21, 14, 2, 578, 7], [11, 6, 0, 5, 15, 9, 1, 12, 8, 628]]","[0, 3, 2, 8, 8, 8, 9, 8, 7, 8, 8, 9, 8, 8, 8, 8]","[0, 3, 2, 8, 8, 8, 9, 8, 7, 8, 8, 9, 8, 8, 8, 8]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,1.2352952659130096
9,"['0.9362', '0.9886', '0.8555', '0.9370', '0.9340', '0.8605', '0.9287', '0.8615', '0.9223', '0.9424']","['0.9773', '0.9131', '0.9403', '0.8610', '0.9245', '0.9394', '0.9565', '0.9501', '0.9011', '0.8430']","['0.9362', '0.9886', '0.8555', '0.9370', '0.9340', '0.8605', '0.9287', '0.8615', '0.9223', '0.9424']","['0.9563', '0.9494', '0.8959', '0.8974', '0.9292', '0.8983', '0.9424', '0.9036', '0.9116', '0.8899']","['0.9362', '0.9886', '0.8555', '0.9370', '0.9340', '0.8605', '0.9287', '0.8615', '0.9223', '0.9424']","['0.9976', '0.9881', '0.9940', '0.9828', '0.9918', '0.9945', '0.9954', '0.9947', '0.9891', '0.9806']","[[646, 1, 2, 11, 4, 9, 10, 1, 6, 0], [0, 778, 3, 0, 3, 0, 0, 3, 0, 0], [1, 15, 598, 37, 15, 3, 4, 5, 19, 2], [0, 8, 13, 669, 1, 2, 0, 6, 12, 3], [1, 5, 0, 0, 637, 0, 2, 4, 3, 30], [2, 4, 0, 42, 1, 543, 8, 1, 11, 19], [2, 18, 0, 0, 2, 17, 638, 0, 10, 0], [3, 4, 14, 1, 12, 1, 0, 628, 5, 61], [3, 17, 5, 11, 2, 3, 4, 1, 629, 7], [3, 2, 1, 6, 12, 0, 1, 12, 3, 655]]","[7, 4, 5, 8, 4, 8, 9, 4, 3, 7, 9, 4, 9, 7, 4, 4]","[7, 4, 5, 8, 4, 8, 9, 4, 3, 7, 9, 4, 9, 7, 4, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.3502745106816292
