cycle,accuracy_per_class,precision_per_class,recall_per_class,f1_score_per_class,sensitivity_per_class,specificity_per_class,confusion_matrix,oracle_label,ground_truth_label,oracle_confusion_matrix,oracle_iterations,training_loss
0,"['0.5443', '0.9514', '0.0314', '0.0157', '0.7271', '0.7757', '0.0943', '0.0000', '0.5629', '0.9743']","['0.5397', '0.3899', '0.4400', '0.3548', '0.3678', '0.3625', '0.4231', '0.0000', '0.7665', '0.7164']","['0.5443', '0.9514', '0.0314', '0.0157', '0.7271', '0.7757', '0.0943', '0.0000', '0.5629', '0.9743']","['0.5420', '0.5532', '0.0587', '0.0301', '0.4885', '0.4941', '0.1542', '0.0000', '0.6491', '0.8257']","['0.5443', '0.9514', '0.0314', '0.0157', '0.7271', '0.7757', '0.0943', '0.0000', '0.5629', '0.9743']","['0.9484', '0.8346', '0.9956', '0.9968', '0.8611', '0.8484', '0.9857', '0.9998', '0.9810', '0.9571']","[[381, 250, 0, 6, 33, 8, 12, 0, 7, 3], [14, 666, 1, 1, 12, 3, 1, 0, 2, 0], [14, 22, 22, 2, 488, 46, 51, 0, 54, 1], [92, 577, 0, 11, 10, 0, 7, 0, 3, 0], [75, 53, 10, 5, 509, 11, 18, 0, 19, 0], [0, 2, 0, 1, 0, 543, 0, 0, 0, 154], [127, 114, 16, 3, 293, 44, 66, 0, 35, 2], [0, 0, 0, 0, 0, 602, 0, 0, 0, 98], [3, 23, 1, 2, 39, 224, 1, 1, 394, 12], [0, 1, 0, 0, 0, 17, 0, 0, 0, 682]]",-1,-1,-1,-1,1.4692589044570923
1,"['0.6286', '0.8757', '0.7814', '0.1929', '0.0000', '0.1729', '0.0000', '0.8229', '0.7671', '0.9757']","['0.6188', '0.5349', '0.3158', '0.4945', '0.0000', '0.7806', '0.0000', '0.5517', '0.5159', '0.7606']","['0.6286', '0.8757', '0.7814', '0.1929', '0.0000', '0.1729', '0.0000', '0.8229', '0.7671', '0.9757']","['0.6237', '0.6641', '0.4498', '0.2775', '0.0000', '0.2830', '0.0000', '0.6606', '0.6169', '0.8548']","['0.6286', '0.8757', '0.7814', '0.1929', '0.0000', '0.1729', '0.0000', '0.8229', '0.7671', '0.9757']","['0.9570', '0.9154', '0.8119', '0.9781', '1.0000', '0.9946', '1.0000', '0.9257', '0.9200', '0.9659']","[[440, 97, 63, 53, 0, 1, 0, 0, 45, 1], [17, 613, 31, 35, 0, 0, 0, 0, 4, 0], [3, 3, 547, 4, 0, 0, 0, 0, 143, 0], [110, 363, 70, 135, 0, 0, 0, 0, 22, 0], [17, 16, 595, 23, 0, 0, 0, 0, 49, 0], [0, 4, 0, 1, 0, 121, 0, 394, 89, 91], [122, 43, 366, 21, 0, 0, 0, 1, 146, 1], [0, 0, 0, 0, 0, 12, 0, 576, 5, 107], [2, 4, 60, 1, 0, 13, 0, 68, 537, 15], [0, 3, 0, 0, 0, 8, 0, 5, 1, 683]]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, 8, 8, 8]","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 0, 8, 8, 8]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,1.329634666442871
2,"['0.7057', '0.8471', '0.6057', '0.5129', '0.7800', '0.4843', '0.1371', '0.7471', '0.8357', '0.9000']","['0.7098', '0.7928', '0.5714', '0.6931', '0.5146', '0.5641', '0.2609', '0.6138', '0.8298', '0.8886']","['0.7057', '0.8471', '0.6057', '0.5129', '0.7800', '0.4843', '0.1371', '0.7471', '0.8357', '0.9000']","['0.7077', '0.8191', '0.5881', '0.5895', '0.6201', '0.5211', '0.1798', '0.6740', '0.8327', '0.8943']","['0.7057', '0.8471', '0.6057', '0.5129', '0.7800', '0.4843', '0.1371', '0.7471', '0.8357', '0.9000']","['0.9679', '0.9754', '0.9495', '0.9748', '0.9183', '0.9584', '0.9568', '0.9478', '0.9810', '0.9875']","[[494, 3, 21, 55, 3, 0, 97, 1, 25, 1], [4, 593, 17, 56, 6, 0, 22, 0, 2, 0], [1, 0, 424, 2, 206, 1, 40, 0, 26, 0], [53, 140, 8, 359, 58, 0, 69, 0, 13, 0], [4, 4, 83, 20, 546, 0, 32, 0, 11, 0], [0, 1, 0, 0, 0, 339, 3, 308, 16, 33], [139, 5, 164, 24, 239, 5, 96, 1, 27, 0], [0, 0, 0, 0, 0, 132, 0, 523, 0, 45], [1, 2, 25, 2, 3, 56, 8, 18, 585, 0], [0, 0, 0, 0, 0, 68, 1, 1, 0, 630]]","[9, 9, 8, 9, 6, 5, 9, 0, 0, 0, 5, 6, 0, 6, 9, 0]","[9, 9, 8, 9, 6, 5, 9, 0, 0, 0, 5, 6, 0, 6, 9, 0]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.8633055686950684
3,"['0.8471', '0.9214', '0.5129', '0.4857', '0.5529', '0.8929', '0.2143', '0.3171', '0.9057', '0.9800']","['0.6453', '0.7828', '0.5374', '0.7623', '0.5513', '0.5836', '0.2604', '0.9174', '0.8942', '0.8138']","['0.8471', '0.9214', '0.5129', '0.4857', '0.5529', '0.8929', '0.2143', '0.3171', '0.9057', '0.9800']","['0.7326', '0.8465', '0.5249', '0.5934', '0.5521', '0.7058', '0.2351', '0.4713', '0.8999', '0.8892']","['0.8471', '0.9214', '0.5129', '0.4857', '0.5529', '0.8929', '0.2143', '0.3171', '0.9057', '0.9800']","['0.9483', '0.9716', '0.9510', '0.9832', '0.9500', '0.9292', '0.9324', '0.9968', '0.9881', '0.9751']","[[593, 4, 8, 42, 2, 3, 29, 0, 18, 1], [15, 645, 14, 12, 0, 0, 12, 0, 2, 0], [8, 0, 359, 3, 163, 3, 148, 0, 16, 0], [96, 159, 1, 340, 4, 1, 87, 0, 11, 1], [7, 4, 129, 27, 387, 2, 135, 0, 9, 0], [0, 1, 0, 0, 0, 625, 0, 13, 4, 57], [196, 8, 157, 20, 145, 8, 150, 0, 15, 1], [0, 0, 0, 0, 0, 381, 0, 222, 0, 97], [4, 2, 0, 2, 1, 35, 15, 7, 634, 0], [0, 1, 0, 0, 0, 13, 0, 0, 0, 686]]","[6, 8, 9, 3, 0, 4, 2, 5, 4, 6, 9, 8, 0, 8, 1, 6]","[6, 8, 9, 3, 0, 4, 2, 5, 4, 6, 9, 8, 0, 8, 1, 6]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.8071185946464539
4,"['0.8043', '0.8957', '0.7500', '0.6743', '0.4514', '0.5529', '0.1343', '0.6671', '0.9000', '0.9829']","['0.6976', '0.9457', '0.4296', '0.7867', '0.6556', '0.6998', '0.2410', '0.6504', '0.8886', '0.8037']","['0.8043', '0.8957', '0.7500', '0.6743', '0.4514', '0.5529', '0.1343', '0.6671', '0.9000', '0.9829']","['0.7472', '0.9200', '0.5463', '0.7262', '0.5347', '0.6177', '0.1725', '0.6587', '0.8943', '0.8843']","['0.8043', '0.8957', '0.7500', '0.6743', '0.4514', '0.5529', '0.1343', '0.6671', '0.9000', '0.9829']","['0.9613', '0.9943', '0.8894', '0.9797', '0.9737', '0.9737', '0.9530', '0.9602', '0.9875', '0.9733']","[[563, 3, 13, 46, 0, 0, 54, 1, 19, 1], [3, 627, 17, 31, 0, 0, 21, 0, 1, 0], [4, 0, 525, 2, 74, 0, 84, 0, 11, 0], [65, 21, 18, 472, 39, 0, 71, 0, 14, 0], [3, 3, 307, 17, 316, 0, 43, 0, 11, 0], [0, 1, 0, 1, 0, 387, 2, 241, 8, 60], [167, 6, 340, 24, 52, 3, 94, 0, 13, 1], [0, 0, 0, 0, 0, 126, 0, 467, 2, 105], [2, 2, 2, 6, 1, 28, 20, 8, 630, 1], [0, 0, 0, 1, 0, 9, 1, 1, 0, 688]]","[3, 3, 4, 3, 3, 2, 3, 1, 3, 4, 4, 3, 3, 3, 6, 4]","[3, 3, 4, 3, 3, 2, 3, 1, 3, 4, 4, 3, 3, 3, 6, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.7809211611747742
5,"['0.7643', '0.9257', '0.6300', '0.6386', '0.6686', '0.6629', '0.1657', '0.7686', '0.9429', '0.9514']","['0.7299', '0.8698', '0.4873', '0.7694', '0.5680', '0.8070', '0.3213', '0.7664', '0.8128', '0.8740']","['0.7643', '0.9257', '0.6300', '0.6386', '0.6686', '0.6629', '0.1657', '0.7686', '0.9429', '0.9514']","['0.7467', '0.8969', '0.5495', '0.6979', '0.6142', '0.7278', '0.2187', '0.7675', '0.8730', '0.9111']","['0.7643', '0.9257', '0.6300', '0.6386', '0.6686', '0.6629', '0.1657', '0.7686', '0.9429', '0.9514']","['0.9686', '0.9846', '0.9263', '0.9787', '0.9435', '0.9824', '0.9611', '0.9740', '0.9759', '0.9848']","[[535, 0, 11, 58, 3, 0, 67, 0, 25, 1], [2, 648, 16, 18, 5, 0, 10, 0, 1, 0], [1, 0, 441, 2, 159, 0, 77, 0, 20, 0], [39, 84, 13, 447, 55, 0, 55, 0, 7, 0], [3, 4, 172, 19, 468, 0, 25, 0, 9, 0], [0, 1, 0, 1, 0, 464, 1, 142, 68, 23], [152, 6, 251, 29, 131, 0, 116, 0, 14, 1], [0, 0, 0, 0, 0, 84, 0, 538, 7, 71], [1, 2, 1, 6, 2, 6, 10, 12, 660, 0], [0, 0, 0, 1, 1, 21, 0, 10, 1, 666]]","[8, 8, 5, 8, 2, 0, 8, 8, 6, 2, 4, 8, 2, 8, 8, 8]","[8, 8, 5, 8, 2, 0, 8, 8, 6, 2, 4, 8, 2, 8, 8, 8]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.6307973861694336
6,"['0.8457', '0.8771', '0.5814', '0.7186', '0.6929', '0.6829', '0.1443', '0.8157', '0.9457', '0.9771']","['0.6607', '0.9669', '0.5056', '0.7452', '0.5850', '0.8885', '0.3051', '0.7716', '0.8910', '0.8465']","['0.8457', '0.8771', '0.5814', '0.7186', '0.6929', '0.6829', '0.1443', '0.8157', '0.9457', '0.9771']","['0.7419', '0.9199', '0.5409', '0.7316', '0.6344', '0.7722', '0.1959', '0.7931', '0.9175', '0.9072']","['0.8457', '0.8771', '0.5814', '0.7186', '0.6929', '0.6829', '0.1443', '0.8157', '0.9457', '0.9771']","['0.9517', '0.9967', '0.9368', '0.9727', '0.9454', '0.9905', '0.9635', '0.9732', '0.9871', '0.9803']","[[592, 0, 8, 47, 2, 1, 32, 0, 17, 1], [4, 614, 13, 52, 3, 0, 13, 0, 1, 0], [9, 0, 407, 6, 169, 0, 100, 0, 9, 0], [85, 13, 11, 503, 41, 0, 41, 0, 6, 0], [4, 3, 138, 26, 485, 0, 34, 0, 10, 0], [0, 0, 0, 1, 0, 478, 0, 153, 28, 40], [200, 3, 227, 31, 128, 0, 101, 0, 8, 2], [0, 0, 0, 0, 0, 46, 0, 571, 2, 81], [2, 2, 1, 7, 1, 6, 10, 9, 662, 0], [0, 0, 0, 2, 0, 7, 0, 7, 0, 684]]","[2, 2, 2, 3, 6, 5, 3, 2, 1, 4, 5, 2, 2, 9, 2, 4]","[2, 2, 2, 3, 6, 5, 3, 2, 1, 4, 5, 2, 2, 9, 2, 4]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.633501410484314
7,"['0.8257', '0.8971', '0.9100', '0.7214', '0.2671', '0.4014', '0.0371', '0.7086', '0.9100', '0.9771']","['0.7216', '0.9115', '0.3824', '0.7978', '0.6727', '0.7871', '0.3095', '0.8826', '0.5718', '0.8382']","['0.8257', '0.8971', '0.9100', '0.7214', '0.2671', '0.4014', '0.0371', '0.7086', '0.9100', '0.9771']","['0.7702', '0.9042', '0.5385', '0.7577', '0.3824', '0.5317', '0.0663', '0.7861', '0.7023', '0.9024']","['0.8257', '0.8971', '0.9100', '0.7214', '0.2671', '0.4014', '0.0371', '0.7086', '0.9100', '0.9771']","['0.9646', '0.9903', '0.8367', '0.9797', '0.9856', '0.9879', '0.9908', '0.9895', '0.9243', '0.9790']","[[578, 0, 44, 41, 2, 1, 7, 0, 26, 1], [2, 628, 26, 39, 2, 0, 3, 0, 0, 0], [3, 0, 637, 2, 32, 0, 8, 0, 17, 1], [40, 45, 52, 505, 42, 0, 9, 0, 7, 0], [4, 10, 460, 17, 187, 0, 10, 0, 12, 0], [0, 0, 2, 1, 0, 281, 0, 56, 326, 34], [172, 4, 423, 22, 12, 1, 26, 0, 40, 0], [0, 0, 1, 0, 0, 61, 0, 496, 47, 95], [2, 2, 21, 6, 1, 4, 21, 5, 637, 1], [0, 0, 0, 0, 0, 9, 0, 5, 2, 684]]","[8, 6, 3, 3, 5, 4, 8, 0, 0, 4, 6, 2, 3, 4, 5, 3]","[8, 6, 3, 3, 5, 4, 8, 0, 0, 4, 6, 2, 3, 4, 5, 3]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,1.2810299396514893
8,"['0.8243', '0.8986', '0.4857', '0.7300', '0.7486', '0.6771', '0.2100', '0.7729', '0.9014', '0.9914']","['0.7088', '0.9559', '0.5113', '0.7874', '0.5551', '0.9186', '0.3025', '0.7956', '0.9212', '0.7685']","['0.8243', '0.8986', '0.4857', '0.7300', '0.7486', '0.6771', '0.2100', '0.7729', '0.9014', '0.9914']","['0.7622', '0.9264', '0.4982', '0.7576', '0.6375', '0.7796', '0.2479', '0.7841', '0.9112', '0.8659']","['0.8243', '0.8986', '0.4857', '0.7300', '0.7486', '0.6771', '0.2100', '0.7729', '0.9014', '0.9914']","['0.9624', '0.9954', '0.9484', '0.9781', '0.9333', '0.9933', '0.9462', '0.9779', '0.9914', '0.9668']","[[577, 0, 5, 52, 5, 0, 44, 0, 16, 1], [4, 629, 14, 32, 12, 0, 9, 0, 0, 0], [6, 0, 340, 2, 166, 0, 184, 0, 2, 0], [56, 23, 17, 511, 65, 0, 22, 0, 6, 0], [3, 2, 102, 13, 524, 0, 51, 0, 5, 0], [0, 0, 6, 0, 0, 474, 1, 131, 18, 70], [165, 2, 176, 34, 167, 0, 147, 0, 7, 2], [0, 0, 1, 0, 0, 35, 0, 541, 0, 123], [3, 2, 4, 4, 4, 4, 28, 7, 631, 13], [0, 0, 0, 1, 1, 3, 0, 1, 0, 694]]","[2, 5, 5, 0, 0, 4, 5, 6, 2, 2, 5, 8, 3, 6, 0, 7]","[2, 5, 5, 0, 0, 4, 5, 6, 2, 2, 5, 8, 3, 6, 0, 7]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.7982749342918396
9,"['0.7486', '0.8971', '0.6614', '0.8257', '0.7186', '0.9314', '0.1171', '0.3786', '0.9471', '0.9814']","['0.7774', '0.9843', '0.5144', '0.7032', '0.5527', '0.6275', '0.3905', '0.9498', '0.8984', '0.8696']","['0.7486', '0.8971', '0.6614', '0.8257', '0.7186', '0.9314', '0.1171', '0.3786', '0.9471', '0.9814']","['0.7627', '0.9387', '0.5787', '0.7595', '0.6248', '0.7499', '0.1802', '0.5414', '0.9221', '0.9221']","['0.7486', '0.8971', '0.6614', '0.8257', '0.7186', '0.9314', '0.1171', '0.3786', '0.9471', '0.9814']","['0.9762', '0.9984', '0.9306', '0.9613', '0.9354', '0.9386', '0.9797', '0.9978', '0.9881', '0.9837']","[[524, 0, 15, 89, 5, 2, 43, 0, 21, 1], [1, 628, 16, 48, 3, 0, 4, 0, 0, 0], [2, 0, 463, 5, 169, 2, 46, 0, 13, 0], [16, 4, 12, 578, 68, 1, 18, 0, 3, 0], [2, 1, 144, 31, 503, 0, 12, 0, 7, 0], [0, 0, 0, 1, 0, 652, 0, 12, 13, 22], [128, 3, 247, 62, 159, 0, 82, 0, 17, 2], [0, 0, 0, 0, 0, 357, 0, 265, 1, 77], [1, 2, 3, 8, 2, 14, 5, 1, 663, 1], [0, 0, 0, 0, 1, 11, 0, 1, 0, 687]]","[7, 5, 2, 5, 3, 3, 5, 8, 3, 5, 5, 5, 2, 0, 2, 0]","[7, 5, 2, 5, 3, 3, 5, 8, 3, 5, 5, 5, 2, 0, 2, 0]","[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]",0,0.5916233360767365
